N	3gram	Ircho_Kome	Tvorches
1	в то же	11	25
2	то же время	11	24
3	и т д	1	17
4	в том что	15	11
5	в соответствии с	1	8
6	о том что	7	8
7	и в то	2	7
8	в конечном счете	2	6
9	не может быть	1	6
10	и т п	4	5
11	в самом деле	13	5
12	в том же	2	5
13	по отношению к	4	5
14	до сих пор	12	4
15	по крайней мере	1	4
16	с точки зрения	6	4
17	в одной из	1	4
18	с самого начала	5	4
19	с полным правом	2	3
20	чуть ли не	2	3
21	точно так же	1	3
22	том что в	1	3
23	в отличие от	3	3
24	если не считать	1	3
25	во всяком случае	3	3
26	едва ли не	4	3
27	с другой стороны	2	3
28	в этой связи	3	3
29	хотя и не	2	3
30	и все же	2	3
31	и не может	1	3
32	что он не	3	2
33	тот же день	1	2
34	а может быть	1	2
35	для того чтобы	8	2
36	в том числе	2	2
37	тем не менее	3	2
38	у него в	1	2
39	что у него	1	2
40	так и в	1	2
41	но при этом	1	2
42	в тот же	1	2
43	в конце концов	3	2
44	потому что он	1	2
45	не сводится к	1	2
46	в этой области	1	2
47	том числе и	2	2
48	и в самом	7	2
49	к тому же	9	2
50	в высшей степени	2	2
51	так как он	2	2
52	таким образом и	2	2
53	по самой своей	1	2
54	в связи с	3	2
55	в свою очередь	10	2
56	вместе с тем	5	2
57	человека и его	1	2
58	можно сказать что	1	2
59	на этот вопрос	1	2
60	отношении к ней	1	2
61	мы находим у	1	2
62	так же как	1	2
63	не только в	1	2
64	в первую очередь	2	2
65	мы узнаем что	1	2
66	что в каждом	1	1
67	и как раз	1	1
68	в этот момент	1	1
69	то по крайней	1	1
70	не может служить	1	1
71	одного из них	1	1
72	уже после опубликования	1	1
73	как будто бы	1	1
74	не было в	1	1
75	и даже не	1	1
76	каждом из нас	1	1
77	о том как	5	1
78	в ту ночь	1	1
79	нет ничего кроме	1	1
80	в согласии с	1	1
81	в ответ на	4	1
82	то что не	1	1
83	один из них	1	1
84	об этом не	1	1
85	приходит в ужас	1	1
86	в частности с	1	1
87	он не может	1	1
88	в каждом из	2	1
89	прежде всего они	1	1
90	в случае с	1	1
91	друг на друга	1	1
92	о его службе	1	1
93	и в свою	2	1
94	а с точки	1	1
95	и если бы	1	1
96	в моей жизни	1	1
97	до того в	1	1
98	потому что в	2	1
99	именно потому что	2	1
100	ничего общего с	1	1
101	к человеку и	1	1
102	на площади и	1	1
103	в построении сюжета	2	1
104	и далеко не	1	1
105	и тем самым	1	1
106	в чем не	2	1
107	по себе не	1	1
108	в ужас от	1	1
109	то ни было	3	1
110	и того же	1	1
111	на него в	1	1
112	но и он	1	1
113	на то чтобы	1	1
114	то же самое	3	1
115	даже не в	1	1
116	по этому поводу	1	1
117	к тому что	1	1
118	у него не	1	1
119	бы то ни	3	1
120	конце концов к	1	1
121	из действующих лиц	1	1
122	в построении образов	1	1
123	столь же ясно	1	1
124	в третий раз	1	1
125	сих пор еще	1	1
126	о том чтобы	3	1
127	и в том	1	1
128	и не стал	1	1
129	и в этом	1	1
130	к вопросу о	1	1
131	за то что	1	1
132	которую она должна	1	1
133	к ней в	1	1
134	мы понимаем что	1	1
135	все тот же	1	1
136	приходит к мысли	2	1
137	признать что в	1	1
138	можно принять за	1	1
139	равно как и	3	1
140	к себе в	2	1
141	до начала действия	1	1
142	и в герое	1	1
143	но и в	1	1
144	на второй план	1	1
145	же ясно что	1	1
146	само собой разумеющимся	1	1
147	в чем же	2	1
148	в чем он	1	1
149	так и не	1	1
150	и в дальнейшем	1	1
151	имеем в виду	2	1
152	выясняется что он	1	1
153	этот вопрос не	1	1
154	служит как бы	2	1
155	в русском переводе	1	1
156	из самых ярких	1	1
157	в повседневной жизни	1	1
158	в тех же	2	1
159	в г в	1	1
160	с одной стороны	4	1
161	свою вину и	1	1
162	не был бы	1	1
163	не с точки	1	1
164	в настоящее время	1	1
165	в то время	3	1
166	таким образом в	1	1
167	даже если он	1	1
168	уйти из жизни	1	1
169	из слоновой кости	1	1
170	и никогда не	1	1
171	в отношении к	1	1
172	не зная о	2	1
173	что никогда не	1	1
174	можно было бы	1	1
175	мы имеем в	2	1
176	и между ними	1	1
177	в этом случае	2	1
178	если он не	1	1
179	молодого человека в	3	1
180	один из самых	1	1
181	одного и того	1	1
182	его для того	1	1
183	друг за другом	2	1
184	тем что он	1	1
185	но только не	1	1
186	к людям которых	1	1
187	в нем и	1	1
188	все это делает	1	1
189	он говорит о	1	1
190	вопрос о том	1	1
191	в виду что	1	1
192	ни в чем	2	1
193	как уже говорилось	1	1
194	мы не можем	1	1
195	если бы он	3	1
196	если бы не	1	1
