N	2gram	Vinokur_St	EvropaiC
1	таким образом	16	34
2	в том	56	31
3	и в	61	24
4	том что	49	20
5	все эти	7	19
6	то что	27	18
7	не может	10	18
8	может быть	16	17
9	до сих	13	15
10	народа в	1	15
11	все же	12	15
12	сих пор	12	15
13	точки зрения	16	14
14	в этом	37	13
15	все это	13	13
16	самом деле	14	12
17	с этим	6	12
18	между тем	7	12
19	в своем	8	12
20	по отношению	3	11
21	но и	28	11
22	отношению к	3	11
23	все что	1	10
24	не только	36	10
25	так и	15	10
26	как и	11	10
27	культуры в	3	10
28	во всех	8	10
29	как бы	8	10
30	что в	41	9
31	при этом	4	9
32	в результате	5	9
33	не в	15	9
34	и все	3	9
35	и не	23	9
36	потому что	13	9
37	и что	8	9
38	на то	5	9
39	того же	4	9
40	в самом	14	8
41	с точки	10	8
42	чем у	2	8
43	более или	2	8
44	ясно что	10	8
45	или менее	2	8
46	к тому	9	8
47	для того	15	8
48	если бы	11	8
49	того чтобы	15	8
50	а между	2	8
51	так же	7	8
52	из этих	7	8
53	так как	7	7
54	что при	3	7
55	того что	14	7
56	что и	8	7
57	на самом	8	7
58	что он	23	7
59	не менее	8	7
60	о которых	3	7
61	о котором	2	7
62	из этого	1	7
63	о том	30	7
64	вместе с	5	7
65	по своей	2	7
66	в этой	13	7
67	в сознании	2	7
68	по существу	3	7
69	для этого	2	7
70	мы можем	1	6
71	и на	7	6
72	несмотря на	4	6
73	при чем	6	6
74	что с	4	6
75	только в	11	6
76	тому же	2	6
77	от друга	1	6
78	отличается от	2	6
79	друг от	1	6
80	еще не	4	6
81	должна быть	3	6
82	так что	8	6
83	и при	1	6
84	тогда как	1	6
85	что касается	4	6
86	как на	10	6
87	в каждый	1	6
88	в общем	2	6
89	с другой	11	6
90	в то	10	6
91	лишь при	1	6
92	у них	1	6
93	и для	4	6
94	и к	5	5
95	как к	3	5
96	а потому	2	5
97	в его	19	5
98	из всех	1	5
99	что это	5	5
100	пор не	1	5
101	другой стороны	9	5
102	у него	3	5
103	его в	4	5
104	так или	3	5
105	в которой	13	5
106	но все	9	5
107	и с	6	5
108	или иначе	3	5
109	именно в	8	5
110	и без	4	5
111	по своему	2	5
112	на все	2	5
113	не выше	1	5
114	по сравнению	1	5
115	сравнению с	1	5
116	быть и	2	5
117	не будет	1	5
118	и их	3	5
119	оказывается что	1	5
120	далеко не	1	5
121	его собственной	3	5
122	лишь в	3	5
123	так называемого	1	5
124	в себе	3	5
125	и от	2	5
126	что все	3	5
127	столь же	5	5
128	как будто	5	5
129	к этому	4	5
130	в пользу	5	5
131	в целом	5	5
132	из них	11	5
133	но в	16	5
134	иначе говоря	1	4
135	не так	2	4
136	и то	6	4
137	этой области	5	4
138	на вопрос	7	4
139	самого себя	1	4
140	которых мы	1	4
141	из того	2	4
142	этом случае	3	4
143	хотя и	4	4
144	тем не	4	4
145	мало того	1	4
146	совершенно не	7	4
147	народ и	1	4
148	из которых	1	4
149	в их	3	4
150	в виде	3	4
151	связи с	3	4
152	что его	1	4
153	одним из	2	4
154	в конце	5	4
155	в таком	4	4
156	с тем	3	4
157	состоит из	1	4
158	не могут	2	4
159	между собой	1	4
160	и у	2	4
161	и сейчас	6	4
162	том случае	1	4
163	а с	6	4
164	что мы	5	4
165	в течение	7	4
166	ни один	2	4
167	хотя бы	8	4
168	то ни	2	4
169	в такой	2	4
170	что эта	5	4
171	факт что	6	4
172	целый ряд	3	4
173	тот факт	5	4
174	всегда будет	2	4
175	отношение к	3	4
176	что для	4	4
177	все-таки не	1	4
178	что как	3	4
179	без того	1	4
180	том же	3	4
181	и проч	1	4
182	в области	16	4
183	он не	11	4
184	конце концов	2	4
185	если мы	1	4
186	всех этих	2	4
187	об эволюции	2	4
188	в одну	1	4
189	то же	7	4
190	совершенно так	1	4
191	никогда не	7	4
192	ближе к	1	3
193	бы то	2	3
194	на почве	2	3
195	от него	1	3
196	то очевидно	2	3
197	что оно	4	3
198	данном случае	7	3
199	народ не	1	3
200	и по	6	3
201	которые не	3	3
202	в начале	5	3
203	с одной	3	3
204	тогда когда	1	3
205	еще больше	1	3
206	даже в	5	3
207	освободиться от	1	3
208	ни было	1	3
209	в нашем	1	3
210	в разных	1	3
211	и говорить	1	3
212	как у	1	3
213	для нас	7	3
214	прежде всего	11	3
215	у нас	12	3
216	одно из	3	3
217	говорить что	1	3
218	целом ряде	1	3
219	в этих	5	3
220	чем в	3	3
221	что по	1	3
222	в нем	9	3
223	заключается в	5	3
224	сомнению что	2	3
225	представление о	5	3
226	очевидно что	1	3
227	очень много	1	3
228	можно назвать	3	3
229	не подлежит	2	3
230	случаях когда	1	3
231	же как	5	3
232	настоящее время	2	3
233	что таким	1	3
234	в истории	5	3
235	может не	2	3
236	вследствие этого	1	3
237	и это	4	3
238	в сторону	2	3
239	ничего общего	3	3
240	что их	1	3
241	у обоих	1	3
242	и вообще	5	3
243	гораздо больше	2	3
244	тем более	4	3
245	только одно	1	3
246	и потому	3	3
247	в данном	16	3
248	и других	1	3
249	отличие от	1	3
250	вопрос о	9	3
251	но даже	1	3
252	но тогда	1	3
253	в ней	9	3
254	двух или	1	3
255	должны быть	4	3
256	с этой	5	3
257	это не	8	3
258	в тех	5	3
259	тем самым	2	3
260	и до	2	3
261	конечно не	2	3
262	уже и	1	3
263	не вполне	1	3
264	от того	1	3
265	при помощи	4	3
266	каждый из	1	3
267	а в	18	3
268	как известно	2	3
269	было бы	21	3
270	как мы	1	3
271	они должны	1	3
272	что только	2	3
273	образом в	1	3
274	нечего и	1	3
275	но не	5	3
276	бы в	2	3
277	в настоящее	2	3
278	не надо	2	3
279	тот же	2	3
280	не то	1	3
281	все в	2	2
282	с которыми	3	2
283	представить себе	1	2
284	что за	1	2
285	что они	9	2
286	только не	2	2
287	во втором	5	2
288	но на	2	2
289	все его	1	2
290	что у	8	2
291	что эти	1	2
292	смотреть на	2	2
293	них в	1	2
294	то есть	2	2
295	то в	3	2
296	в свет	5	2
297	на том	1	2
298	стоят в	1	2
299	для себя	3	2
300	из таких	2	2
301	при таких	1	2
302	от которого	2	2
303	для него	10	2
304	и общей	1	2
305	а это	1	2
306	это обстоятельство	1	2
307	те же	1	2
308	которые по	1	2
309	а затем	1	2
310	то и	1	2
311	него в	1	2
312	но как	1	2
313	и из	1	2
314	борьбы с	3	2
315	будет иметь	1	2
316	в виду	6	2
317	том и	1	2
318	всех прочих	1	2
319	работы и	1	2
320	но с	7	2
321	в своих	2	2
322	не было	7	2
323	не потому	3	2
324	быть признана	1	2
325	не знает	2	2
326	не очень	2	2
327	и некоторые	1	2
328	что элементы	1	2
329	и сам	4	2
330	из нее	3	2
331	во внимание	2	2
332	на нее	3	2
333	и там	1	2
334	вовсе не	24	2
335	такой же	6	2
336	но для	3	2
337	в один	1	2
338	жизни и	6	2
339	то время	2	2
340	в процессе	3	2
341	если он	1	2
342	в среде	1	2
343	тому что	8	2
344	виде как	1	2
345	представляет собою	3	2
346	давно уже	3	2
347	я не	13	2
348	между ними	1	2
349	как не	1	2
350	с ними	1	2
351	их в	2	2
352	есть в	2	2
353	между прочим	10	2
354	которые могут	1	2
355	и так	3	2
356	в одно	1	2
357	при таком	2	2
358	в которых	5	2
359	никто не	4	2
360	есть только	2	2
361	можно ли	5	2
362	они не	2	2
363	себя и	1	2
364	не имеет	5	2
365	высшей степени	1	2
366	почти все	2	2
367	ему и	1	2
368	зависимости от	2	2
369	ни для	2	2
370	что оба	2	2
371	нет в	1	2
372	должен быть	3	2
373	в эту	3	2
374	по его	5	2
375	вопросе о	1	2
376	в них	2	2
377	этих двух	4	2
378	во всяком	8	2
379	со временем	1	2
380	ответить на	1	2
381	а к	2	2
382	принять во	1	2
383	в основе	4	2
384	и более	4	2
385	в котором	11	2
386	и только	3	2
387	на этом	1	2
388	по тем	1	2
389	эти примеры	1	2
390	доказать что	2	2
391	выше на	1	2
392	этого последнего	1	2
393	она не	3	2
394	при отсутствии	1	2
395	всяком случае	8	2
396	к нему	2	2
397	именно потому	1	2
398	одной стороны	2	2
399	также и	10	2
400	ту же	1	2
401	в другом	5	2
402	же касается	3	2
403	и уже	3	2
404	на долю	1	2
405	только один	1	2
406	к тем	1	2
407	говорить о	3	2
408	о них	3	2
409	что многие	1	2
410	тех же	1	2
411	которую он	3	2
412	так чтобы	1	2
413	из двух	3	2
414	конечно в	1	2
415	с общим	1	2
416	не следует	1	2
417	только то	1	2
418	и те	4	2
419	этот вопрос	6	2
420	же время	5	2
421	лишь о	1	2
422	это может	1	2
423	очень мало	4	2
424	в вопросе	1	2
425	рассматривать как	1	2
426	я в	1	2
427	что же	6	2
428	к ним	1	2
429	на путь	1	2
430	тех пор	1	2
431	это отсутствие	1	2
432	общего с	3	2
433	о которой	3	2
434	той же	5	2
435	том чтобы	1	2
436	таких условиях	1	2
437	при условии	1	2
438	такой форме	1	2
439	для самого	1	2
440	в высшей	1	2
441	на него	3	2
442	в глазах	1	2
443	только при	1	2
444	по этому	5	2
445	на более	1	2
446	во всей	1	2
447	что она	5	2
448	в частности	6	2
449	свои силы	2	2
450	одна из	1	2
451	этого слова	2	2
452	в сущности	2	2
453	но если	5	2
454	и его	11	2
455	что до	3	2
456	от них	1	2
457	от себя	1	2
458	один общий	1	2
459	в отдельных	2	2
460	в ту	1	2
461	независимо от	1	2
462	для этой	1	2
463	тем же	3	2
464	пришлось бы	1	2
465	точку зрения	3	2
466	если это	3	2
467	что на	3	2
468	почти ничего	1	2
469	гораздо более	5	2
470	из этой	2	2
471	он должен	2	2
472	существование и	1	1
473	к сожалению	4	1
474	показывающих что	2	1
475	были бы	2	1
476	потому чтобы	1	1
477	начиная с	2	1
478	своих предшественников	1	1
479	люди которые	3	1
480	само собой	1	1
481	они являются	1	1
482	не изменил	1	1
483	дело однако	1	1
484	открытий а	1	1
485	и другие	3	1
486	на деле	1	1
487	отнесся к	1	1
488	в другой	1	1
489	равной мере	2	1
490	равных условиях	1	1
491	в более	1	1
492	один из	1	1
493	никакого сомнения	3	1
494	то обстоятельство	3	1
495	это делает	1	1
496	говоря уже	2	1
497	которые совершенно	1	1
498	проч все	1	1
499	они и	1	1
500	на эти	7	1
501	в зрелом	1	1
502	же и	4	1
503	за последнее	1	1
504	различие между	1	1
505	на тех	1	1
506	и среди	1	1
507	если в	2	1
508	то я	1	1
509	малейшего намека	1	1
510	свидетельствует о	2	1
511	те которые	2	1
512	того как	8	1
513	нас не	3	1
514	без разбора	1	1
515	и самому	1	1
516	каждого своя	1	1
517	и пр	4	1
518	с и	1	1
519	есть немало	1	1
520	пор они	1	1
521	за исключением	1	1
522	которые должно	1	1
523	бы себе	1	1
524	от частных	1	1
525	том числе	3	1
526	уже в	3	1
527	мы не	3	1
528	наших глазах	2	1
529	но еще	1	1
530	в угоду	1	1
531	с такой	1	1
532	время в	1	1
533	народа о	1	1
534	каждого отдельного	1	1
535	что я	3	1
536	и кто	1	1
537	у каждого	1	1
538	у другого	1	1
539	без исключения	1	1
540	именно как	1	1
541	по всему	1	1
542	еще более	5	1
543	лишь то	1	1
544	не говорить	1	1
545	а вместо	1	1
546	простой народ	1	1
547	была бы	10	1
548	требует еще	1	1
549	тогда и	1	1
550	или с	2	1
551	этой мысли	2	1
552	указание на	1	1
553	не своей	1	1
554	естественно что	2	1
555	приложении к	1	1
556	для народа	1	1
557	бы на	1	1
558	в своей	12	1
559	человек с	1	1
560	эти вопросы	3	1
561	тот который	1	1
562	с тех	1	1
563	он и	1	1
564	или нет	1	1
565	кроме того	3	1
566	вникнуть в	1	1
567	очень медленно	1	1
568	в корне	1	1
569	в ее	6	1
570	своем пути	1	1
571	никак не	1	1
572	что так	3	1
573	не приходится	5	1
574	для борьбы	1	1
575	по мнению	4	1
576	по адресу	3	1
577	тут не	3	1
578	что такое	2	1
579	ее в	2	1
580	и тут	1	1
