N	3gram	Nazirov_Tv	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	1	7
3	во всяком случае	2	6
4	по крайней мере	4	5
5	а с другой	1	5
6	до сих пор	1	5
7	в том числе	1	5
8	том числе и	1	4
9	о том что	6	4
10	к тому же	1	4
11	в том что	8	3
12	в конце концов	1	3
13	так же как	1	3
14	в связи с	2	3
15	точно так же	3	3
16	тем не менее	2	3
17	волю к жизни	1	2
18	ничего общего с	1	2
19	некоторые из них	1	2
20	и потому что	1	2
21	те и другие	1	2
22	той или иной	1	2
23	не только для	1	2
24	говорили о том	1	2
25	с самого начала	3	2
26	после его смерти	1	2
27	то или иное	1	2
28	то ни было	1	2
29	заключает в себе	1	2
30	то же самое	1	2
31	и те и	1	2
32	так и от	1	2
33	можно сказать что	2	2
34	бы то ни	1	2
35	то же время	18	2
36	в то же	19	2
37	влечет за собой	2	2
38	друг на друга	1	2
39	но все это	1	2
40	и в этом	1	2
41	сами по себе	2	1
42	так и в	2	1
43	жизни то есть	1	1
44	у него в	1	1
45	но при этом	1	1
46	не похоже на	1	1
47	в этот период	1	1
48	все более и	1	1
49	именно потому что	1	1
50	в свою очередь	2	1
51	в настоящее время	1	1
52	чуть ли не	1	1
53	а вместе с	1	1
54	но в то	5	1
55	между человеком и	1	1
56	в этой области	1	1
57	в соответствии с	7	1
58	не может быть	2	1
59	с первого взгляда	1	1
60	то есть о	1	1
61	по отношению к	3	1
62	потому что сама	1	1
63	и в то	3	1
64	в данном случае	2	1
65	мы имеем в	1	1
66	и все же	3	1
67	нет ничего кроме	1	1
68	в разные стороны	1	1
69	в отличие от	2	1
70	же время он	2	1
71	и мир его	1	1
72	и превращается в	1	1
73	это не означает	2	1
74	в первую очередь	1	1
75	в прямом смысле	1	1
76	и того же	1	1
77	не может не	1	1
78	имеем в виду	1	1
79	может быть в	1	1
80	в самом деле	2	1
81	в таком случае	2	1
82	и через нее	1	1
83	в одном из	2	1
84	но и потому	1	1
85	таким образом уже	1	1
86	только то что	1	1
87	можно говорить лишь	1	1
88	с другой стороны	2	1
89	уже говорили о	1	1
90	мы уже говорили	2	1
91	к мысли о	1	1
92	можно только в	1	1
93	о том как	1	1
94	это и есть	1	1
95	более и более	1	1
96	это связано с	1	1
97	добра и зла	2	1
98	одного и того	1	1
