N	2gram	Bakhtin_KF	Problemy
1	и в	28	106
2	и не	28	90
3	как бы	9	70
4	может быть	45	66
5	в его	42	56
6	в этом	15	52
7	в нем	32	51
8	не может	29	49
9	как и	5	44
10	что он	2	44
11	точки зрения	13	40
12	но и	9	40
13	для него	13	39
14	и его	18	39
15	а не	17	38
16	то же	5	36
17	не только	5	36
18	то что	7	33
19	но в	5	33
20	прежде всего	4	32
21	он не	6	29
22	в то	3	29
23	все это	10	29
24	и все	9	28
25	в одном	5	27
26	не в	13	27
27	к себе	2	26
28	же время	2	26
29	в самом	1	25
30	и с	1	25
31	к нему	12	25
32	с точки	10	25
33	себе самому	1	25
34	не как	4	24
35	вовсе не	7	24
36	самом деле	3	24
37	рядом с	3	23
38	и на	3	23
39	слова и	1	23
40	по себе	2	22
41	в каждом	3	22
42	что я	5	22
43	там где	5	21
44	как мы	1	21
45	все же	5	20
46	никогда не	5	20
47	только в	18	20
48	потому что	2	20
49	что в	4	19
50	с его	2	19
51	отношению к	22	19
52	слова в	2	19
53	уже не	7	18
54	по отношению	26	18
55	в себе	21	18
56	еще не	5	18
57	о нем	4	18
58	на самом	3	18
59	но не	12	18
60	все эти	11	18
61	и к	1	17
62	с ним	5	17
63	а в	5	17
64	в том	6	17
65	это не	10	17
66	так и	2	17
67	если бы	8	16
68	в своей	11	16
69	этом смысле	3	16
70	в другом	3	16
71	до конца	3	15
72	и для	10	15
73	и наконец	1	15
74	в своем	17	14
75	как раз	1	14
76	а как	2	14
77	другого человека	1	14
78	в отношении	1	14
79	так как	1	14
80	я не	6	14
81	он и	2	14
82	с другим	4	14
83	лишь в	8	14
84	но все	6	13
85	его в	5	13
86	большинстве случаев	1	13
87	в мире	8	13
88	и это	12	13
89	себя и	5	13
90	в большинстве	1	13
91	в целом	10	13
92	при этом	4	12
93	отношении к	2	12
94	и как	2	12
95	и даже	1	12
96	к тому	1	12
97	во всяком	1	12
98	в котором	24	12
99	что и	7	12
100	не знает	5	12
101	себе и	3	12
102	было бы	8	12
103	между тем	4	12
104	как в	2	12
105	том что	4	12
106	у меня	1	12
107	но это	6	12
108	ничего не	3	12
109	в одной	1	12
110	тем что	3	11
111	их в	1	11
112	входит в	4	11
113	должно быть	6	11
114	это слово	1	11
115	слово и	1	11
116	видения и	2	11
117	мы уже	1	11
118	в форме	1	11
119	бы и	3	11
120	так чтобы	1	11
121	этого слова	2	11
122	сознания и	3	11
123	она не	2	11
124	или как	2	11
125	а я	1	11
126	слово не	3	10
127	что не	3	10
128	сих пор	1	10
129	в него	2	10
130	до сих	1	10
131	для себя	7	10
132	с собою	1	10
133	приводит к	1	10
134	той же	1	10
135	как не	1	10
136	лишь как	3	10
137	отношение к	6	10
138	ведь и	1	10
139	хотя бы	5	9
140	хотя и	1	9
141	но он	1	9
142	точек зрения	1	9
143	могут быть	3	9
144	в единство	3	9
145	всяком случае	1	9
146	ни в	12	9
147	в единстве	8	9
148	или в	1	9
149	раз и	2	9
150	и потому	2	9
151	же и	1	8
152	в результате	1	8
153	и до	1	8
154	о том	3	8
155	и он	1	8
156	несмотря на	1	8
157	ни было	4	8
158	но как	5	8
159	здесь не	3	8
160	и от	1	8
161	мы должны	1	8
162	должна быть	4	8
163	был бы	3	8
164	что это	4	8
165	в человеке	1	8
166	с ними	4	8
167	и так	1	8
168	из его	3	8
169	он есть	1	8
170	его целом	10	8
171	как к	2	8
172	того что	3	8
173	это и	3	8
174	же не	1	8
175	менее всего	6	8
176	знает и	2	8
177	и о	1	8
178	бы он	2	8
179	от него	3	7
180	тем как	3	7
181	мысли и	1	7
182	в виду	3	7
183	в жизни	2	7
184	отличается от	1	7
185	вопрос о	2	7
186	в себя	8	7
187	только на	1	7
188	ее как	2	7
189	что все	1	7
190	что она	1	7
191	от себя	10	7
192	не было	8	7
193	не о	2	7
194	как его	4	7
195	между ними	1	7
196	себя как	2	7
197	в этих	1	7
198	во всех	11	7
199	то ни	2	7
200	кажется что	2	7
201	и др	1	7
202	с которым	1	7
203	его к	2	7
204	и ее	2	7
205	были бы	2	7
206	бы то	2	7
207	его с	2	7
208	в процессе	2	7
209	его и	2	7
210	тот же	3	7
211	в их	9	7
212	все равно	1	7
213	в виде	2	7
214	но эта	6	7
215	мира и	4	7
216	и другого	3	7
217	и их	6	7
218	такой же	1	7
219	во всем	7	6
220	я для	1	6
221	него в	1	6
222	в своих	4	6
223	не менее	3	6
224	с этим	1	6
225	но эти	1	6
226	превращается в	1	6
227	конечно не	7	6
228	этого мира	3	6
229	не становится	1	6
230	одна из	1	6
231	не мог	1	6
232	на почве	1	6
233	и этим	3	6
234	человек и	2	6
235	но ведь	5	6
236	на этом	1	6
237	а с	2	6
238	человека как	1	6
239	в этой	2	6
240	я в	1	6
241	себя в	8	6
242	и здесь	7	6
243	отношения к	1	6
244	ни был	2	6
245	может стать	1	6
246	зависимости от	1	6
247	в основе	5	6
248	и во	1	6
249	он может	2	6
250	друг друга	1	6
251	и пр	3	6
252	но с	1	6
253	на его	1	6
254	жизни и	8	6
255	на то	1	6
256	и только	7	6
257	для этого	2	6
258	но для	3	6
259	и свой	2	5
260	с собой	1	5
261	именно в	5	5
262	с тем	2	5
263	мир и	1	5
264	в зависимости	1	5
265	того же	1	5
266	этот мир	2	5
267	другого как	1	5
268	я и	5	5
269	в чем	4	5
270	той или	3	5
271	не могу	3	5
272	когда я	3	5
273	его как	5	5
274	бы его	1	5
275	что может	1	5
276	автора как	2	5
277	себе как	2	5
278	один из	2	5
279	та же	3	5
280	в последнем	1	5
281	то есть	1	5
282	ним и	3	5
283	была бы	1	5
284	художественного творчества	1	5
285	него нет	1	5
286	функции в	1	5
287	со всеми	2	5
288	поэтому и	1	5
289	здесь мы	4	5
290	вместе с	1	5
291	ни на	1	5
292	совершенно не	7	5
293	но здесь	3	5
294	мы не	3	5
295	в мир	2	5
296	нет и	3	5
297	том же	1	5
298	в ее	17	5
299	другого и	2	5
300	меня не	4	5
301	поэтому он	1	5
302	и то	2	5
303	они не	1	5
304	он как	1	5
305	я теперь	1	5
306	где он	3	5
307	ведь это	2	5
308	по своему	3	5
309	нисколько не	4	5
310	лежит в	1	5
311	он ни	2	5
312	но при	1	5
313	в ней	3	5
314	быть и	3	5
315	когда он	1	5
316	с человеком	3	5
317	или иной	2	5
318	тому что	2	5
319	мира в	6	5
320	для другого	4	5
321	все что	1	4
322	только что	1	4
323	еще более	2	4
324	нами в	2	4
325	в духе	1	4
326	в первом	1	4
327	тона и	1	4
328	слово может	1	4
329	как другого	1	4
330	и мысли	1	4
331	всего этого	1	4
332	за собой	1	4
333	уже и	1	4
334	будет и	1	4
