N	3gram	Bakhtin_KF	Otkroven
1	для того чтобы	1	3
2	в нем нет	1	3
3	в этом мире	1	2
4	а не в	2	2
5	никогда не было	1	2
6	не может быть	11	2
7	и в этом	3	2
8	любви к человеку	1	1
9	и не быть	2	1
10	он ни был	2	1
11	в том что	2	1
12	все что есть	1	1
13	не в том	1	1
14	не растворяется в	1	1
15	в том случае	1	1
16	и то что	1	1
17	бы и не	2	1
18	и вопрос о	1	1
19	бы он ни	2	1
20	и в ее	1	1
21	и все же	1	1
22	не есть просто	1	1
23	и не в	1	1
24	смысле этого слова	1	1
25	люди а не	1	1
26	во всяком случае	1	1
27	и вложена в	1	1
28	это не есть	3	1
29	и в его	1	1
30	вместо того чтобы	1	1
31	на своем я	1	1
32	в отношении ко	1	1
33	само по себе	1	1
34	и все эти	2	1
35	но и тут	1	1
36	потому что в	1	1
37	на то что	1	1
38	не было и	1	1
