N	2gram	Medvedev_I	Freidism
1	и не	2	34
2	в этом	2	28
3	и в	1	28
4	к отцу	1	16
5	все эти	1	15
6	так и	1	14
7	по отношению	1	13
8	для него	1	12
9	все это	1	12
10	отношению к	1	11
11	и с	3	10
12	никогда не	1	10
13	он не	2	10
14	и др	1	9
15	а в	1	8
16	что в	2	7
17	того что	1	7
18	жизни и	1	7
19	в основе	1	6
20	для того	1	6
21	и о	1	6
22	со всеми	1	5
23	его ученики	1	5
24	тех же	1	5
25	того чтобы	1	5
26	говорить о	1	5
27	по поводу	1	5
28	ничего не	2	5
29	если бы	1	4
30	я не	1	4
31	нисколько не	1	4
32	не дает	1	4
33	в целом	1	4
34	не так	1	3
35	и очень	1	3
36	утверждает что	1	3
37	и тот	1	3
38	в них	1	3
39	нам в	1	3
40	того же	1	3
41	не остается	1	3
42	есть только	1	3
43	и сам	1	3
44	и со	1	3
45	себя в	1	3
46	них не	1	3
47	факты и	1	2
48	самого себя	2	2
49	и творчества	1	2
50	только для	1	2
51	доказать что	1	2
52	с другой	1	2
53	то она	1	2
54	бы в	1	2
55	что при	1	2
56	а также	1	2
57	но когда	1	2
58	от этого	1	2
59	это было	1	2
60	должен быть	2	2
61	в эту	1	2
62	а с	1	2
63	и та	1	2
64	во многом	1	2
65	какую роль	1	1
66	по существу	1	1
67	художественного творчества	1	1
68	перед отцом	1	1
69	следовательно в	1	1
70	тем что	1	1
71	к нам	1	1
72	не сомневаюсь	1	1
73	странное и	1	1
74	это был	1	1
75	ничего в	1	1
76	то и	1	1
77	своего исследования	1	1
78	точно и	1	1
79	и еще	1	1
80	следующим образом	1	1
81	на котором	1	1
82	стороны он	1	1
83	комплекс в	1	1
84	ненависть к	1	1
85	творчества то	1	1
86	и чрезвычайно	1	1
87	оказывается для	1	1
88	у всех	1	1
89	и без	1	1
90	г стр	1	1
91	с любым	1	1
92	личности для	1	1
93	сомневаюсь что	1	1
94	для других	1	1
95	о ней	1	1
96	как отец	1	1
97	же это	1	1
