N	4gram	Losev_Dial	Vladivir
1	в то же время	3	9
2	в том что в	1	5
3	и в то же	2	5
4	в то время как	6	5
5	не что иное как	6	4
6	то это значит что	3	4
7	не говоря уже о	6	4
8	и в этом смысле	1	4
9	не содержит в себе	1	4
10	на самом же деле	1	3
11	во что бы то	1	3
12	как мы уже сказали	1	3
13	что бы то ни	1	3
14	заключается в том что	1	3
15	бы то ни стало	1	3
16	и в том что	1	2
17	ничего не говорит о	2	2
18	не имеет никакого отношения	3	2
19	больше и не меньше	1	2
20	до тех пор пока	1	2
21	говоря уже о том	2	2
22	уже о том что	2	2
23	имеет никакого отношения к	2	2
24	или по крайней мере	4	2
25	с одной стороны и	1	2
26	это значит что есть	1	2
27	одно и то же	2	2
28	и не меньше как	1	2
29	в связи с этим	1	2
30	бы то ни было	1	2
31	если иметь в виду	2	2
32	и тем не менее	2	2
33	но в то же	1	2
34	не больше и не	1	2
35	есть не что иное	3	2
36	с этой точки зрения	4	1
37	мере до некоторой степени	1	1
38	ни в каком случае	2	1
39	это ровно ничего не	1	1
40	из которых состоит мир	1	1
41	при чем же тут	1	1
42	по крайней мере до	1	1
43	никакого отношения ни к	1	1
44	всего прочего и прежде	2	1
45	от всего прочего и	2	1
46	что это есть не	1	1
47	несомненно содержит в себе	1	1
48	и во всяком случае	1	1
49	точка зрения с которой	1	1
50	уже по одному тому	2	1
51	ни в каком смысле	5	1
52	в сравнении с другими	1	1
53	не было ни в	2	1
54	прочего и прежде всего	2	1
55	одной и той же	4	1
56	ни к чему не	1	1
57	в каком смысле не	3	1
58	заключается не в том	1	1
59	в такой же мере	1	1
60	что в сравнении с	1	1
61	субъекта и объекта и	1	1
62	по крайней мере в	3	1
63	без которых он не	1	1
64	иметь в виду что	1	1
65	дело не в этом	1	1
66	да и то не	1	1
67	не чем иным как	1	1
68	тут тоже нет ничего	1	1
69	ровно ничего не говорит	3	1
70	выдвигает на первый план	1	1
71	где на первом плане	1	1
72	в это время не	1	1
73	заговорил о том что	1	1
74	в таком случае эта	1	1
75	а это значит что	2	1
76	и т д в	2	1
77	и то и другое	1	1
78	что это вовсе не	1	1
79	ни в чем не	1	1
80	которую к тому же	1	1
81	что для нас в	1	1
82	по одному тому что	3	1
83	и прежде всего от	2	1
84	первых двух ипостасей в	1	1
85	себе ничего не говорит	1	1
86	рационалистическая метафизика с другой	1	1
87	по себе ничего не	1	1
88	крайней мере до некоторой	1	1
89	так же как и	1	1
90	в самом деле если	1	1
91	возникает вопрос о том	1	1
92	в сравнении с этой	1	1
93	это значит что тут	1	1
94	не в том что	4	1
