N	2gram	Tiupa_Hudo	Retstnzi
1	не может	10	4
2	и в	34	3
3	достоевского и	1	2
4	если в	4	2
5	в центре	4	2
6	один из	6	2
7	и школы	1	2
8	может и	3	1
9	в особенности	1	1
10	несмотря на	7	1
11	самых первых	1	1
12	может быть	12	1
13	не только	22	1
14	точки зрения	7	1
15	с точки	5	1
16	событий и	1	1
17	может не	1	1
18	для него	15	1
19	подхода к	1	1
20	в ней	6	1
21	тех же	2	1
22	в каждом	1	1
23	связи с	4	1
24	не из	1	1
25	эта вторая	1	1
26	бы на	2	1
27	на месте	2	1
28	с другими	2	1
29	лучше всего	1	1
30	его от	1	1
31	если бы	7	1
32	смысл и	1	1
33	исходя из	1	1
34	литературного произведения	1	1
35	на примере	2	1
36	художественного и	1	1
37	с самых	1	1
38	в его	17	1
39	и тому	1	1
40	не менее	9	1
41	именно с	1	1
42	но и	13	1
43	о художественной	1	1
44	вторая половина	2	1
45	в выборе	1	1
46	к тому	11	1
47	анализа и	1	1
48	не смог	1	1
49	во второй	7	1
50	можно назвать	2	1
51	тому что	8	1
52	вопрос что	1	1
53	увидеть в	1	1
54	в то	12	1
55	из этих	3	1
56	и событий	1	1
57	он в	2	1
58	ни один	1	1
59	осуществления в	1	1
60	же время	11	1
61	то же	14	1
62	по своим	2	1
63	при анализе	1	1
64	а не	23	1
65	бы в	2	1
66	нет и	2	1
67	в системе	2	1
68	и не	15	1
69	на нее	1	1
70	и все	10	1
71	и на	6	1
72	себя от	1	1
73	русской литературы	1	1
74	художественного целого	8	1
