N	2gram	Medvedev_B	Mirosoze
1	и в	1	97
2	не только	1	63
3	а не	1	53
4	и не	2	39
5	в ней	2	37
6	не было	1	36
7	прежде всего	1	29
8	в своей	1	25
9	о свободе	1	24
10	у нас	3	24
11	что в	1	23
12	до конца	1	19
13	и потому	1	17
14	было бы	1	16
15	и на	1	13
16	все это	2	12
17	должна быть	1	10
18	и во	1	9
19	вопрос о	1	8
20	за пределы	1	8
21	что все	1	7
22	и нет	1	6
23	всего в	1	6
24	можно было	2	6
25	и более	1	6
26	его не	1	6
27	к ней	1	6
28	еще не	1	5
29	во всяком	1	5
30	так и	1	5
31	как будто	1	5
32	будто бы	1	4
33	в эпоху	1	4
34	не все	1	4
35	все же	1	3
36	значительной степени	1	3
37	не вполне	1	3
38	в пределах	1	3
39	в значительной	1	3
40	всяком случае	1	3
41	выходит за	1	3
42	стоит на	1	3
43	об этом	1	3
44	с другой	1	2
45	их что	1	2
46	не о	1	2
47	между ними	1	2
48	и ее	1	2
49	на самом	1	2
50	же не	1	2
51	своей книге	1	2
52	и о	1	2
53	со всем	1	1
54	другой стороны	1	1
55	из ее	1	1
56	говорить о	1	1
57	точке зрения	1	1
58	он свою	1	1
59	не то	2	1
60	склонен видеть	1	1
61	бы только	1	1
62	представляется нам	1	1
63	по отдельным	1	1
64	также не	1	1
65	иначе не	1	1
66	также что	1	1
67	никак не	1	1
68	творчества и	1	1
69	только одной	1	1
70	одной из	1	1
71	на которой	1	1
72	целиком в	1	1
73	выпадают из	1	1
74	а о	1	1
75	не склонен	1	1
76	не со	1	1
77	тем более	1	1
78	говорить об	1	1
79	в области	1	1
80	к формальному	1	1
81	меньше чем	1	1
