N	3gram	Vygotskiy_	UchenyiS
1	в конечном счете	2	4
2	не может быть	4	4
3	то ни было	1	3
4	с другой стороны	8	3
5	в этой области	1	3
6	бы то ни	1	3
7	в то же	1	3
8	то же время	1	3
9	и то что	4	2
10	в художественном произведении	2	2
11	в том что	30	2
12	художественное произведение а	1	2
13	в самом деле	8	2
14	не могут быть	1	2
15	до сих пор	9	2
16	материала и формы	1	2
17	и в частности	2	2
18	а между тем	1	2
19	в конце концов	6	2
20	то же самое	8	2
21	в этом отношении	3	2
22	по крайней мере	1	2
23	в этом смысле	3	2
24	и в этой	4	2
25	он может быть	2	1
26	в эстетический объект	1	1
27	не все и	1	1
28	быть не может	1	1
29	только материал для	1	1
30	то что было	1	1
31	исследования должно быть	1	1
32	друг с другом	6	1
33	сам по себе	4	1
34	дело конечно не	1	1
35	они находятся в	1	1
36	то о чем	2	1
37	которые могли бы	1	1
38	тем что он	1	1
39	произведения искусства как	1	1
40	в этой же	1	1
41	может быть в	1	1
42	с тем что	3	1
43	все и не	1	1
44	сводится к следующему	1	1
45	с одной стороны	15	1
46	то что ему	3	1
47	она все же	1	1
48	но не могут	1	1
49	можно сказать что	3	1
50	равно как и	2	1
51	самом деле есть	1	1
52	в значительной мере	1	1
53	и что все	1	1
54	на первый план	2	1
55	все что угодно	1	1
56	не в том	1	1
57	и не только	1	1
58	а не только	1	1
59	на то что	25	1
60	чем то что	1	1
61	не только в	5	1
62	и прежде всего	1	1
63	более или менее	1	1
64	и в то	1	1
65	обе эти тенденции	1	1
66	в данном случае	3	1
67	то что все	2	1
68	само по себе	3	1
69	о котором говорил	1	1
70	мы имеем в	1	1
71	нам думается что	2	1
72	в этом случае	2	1
73	том что она	1	1
74	все же не	1	1
75	при таком понимании	2	1
76	это было бы	1	1
