N	4gram	Vinokur_Vv	Istorich
1	не что иное как	5	11
2	но вместе с тем	1	8
3	и т д все	2	6
4	с этой точки зрения	2	6
5	точно так же как	1	6
6	и т д но	5	6
7	и т д в	2	5
8	и т д мы	1	5
9	только после того как	2	5
10	и т д и	1	5
11	есть не что иное	3	5
12	состоит в том что	2	4
13	то же самое что	2	4
14	и тем не менее	3	4
15	это только одна сторона	1	3
16	на этот вопрос мы	1	3
17	но это только одна	1	3
18	с одной стороны и	3	3
19	т д все эти	1	3
20	дело не только в	1	3
21	бы то ни было	1	3
22	и т д однако	3	2
23	в том что он	1	2
24	в соответствии с этим	1	2
25	но дело не в	1	2
26	здесь не может быть	1	2
27	в том отношении что	3	2
28	одной и той же	2	2
29	но в том-то и	1	2
30	одно и то же	2	2
31	ответ на этот вопрос	2	2
32	приводят к тому что	1	2
33	могло бы составить предмет	1	2
34	не сам по себе	1	2
35	дело в том что	3	2
36	наряду с этим в	1	2
37	и т д эти	1	2
38	в том-то и дело	1	1
39	не может быть названа	1	1
40	еще как мы видели	1	1
41	вопрос о том что	3	1
42	другой стороны вполне возможно	1	1
43	большей или меньшей степенью	1	1
44	во всяком случае не	2	1
45	на вопрос о том	4	1
46	и т д для	1	1
47	в том что в	1	1
48	с другой стороны вполне	1	1
49	обстоит как раз наоборот	1	1
50	именно в этой форме	1	1
51	быта и т д	2	1
52	с течением времени все	1	1
53	вовсе не в том	1	1
54	дело обстоит как раз	1	1
55	в связи с этим	1	1
56	сама по себе не	1	1
57	как мы уже знаем	2	1
58	заключается в том что	2	1
59	том-то и дело что	1	1
60	но дело не только	1	1
61	ответ на вопрос о	1	1
62	о том что такое	5	1
63	и т д а	2	1
64	котором здесь идет речь	1	1
65	а в том чтобы	1	1
66	то же самое и	1	1
67	т д все это	1	1
68	легко представить себе что	1	1
69	не только в том	1	1
70	в том смысле что	1	1
71	прийти к выводу что	1	1
72	это сказывается и в	1	1
73	ясность в этот вопрос	1	1
74	невозможно но все же	1	1
75	с другой стороны как	1	1
76	ответ на вопрос что	1	1
77	вопрос о том какие	1	1
78	о котором здесь идет	1	1
79	и т д такая	1	1
80	говоря уже о том	1	1
81	ответить на этот вопрос	1	1
82	но в этом случае	1	1
83	не в том как	1	1
84	что в одном случае	1	1
85	уже о том что	1	1
86	только в том чтобы	1	1
87	не говоря уже о	1	1
88	самом деле представляет собой	1	1
89	только в том что	1	1
90	в свое время не	2	1
91	в широком смысле этого	2	1
92	с тем что в	1	1
93	в зависимости от того	1	1
94	мы имеем дело с	1	1
95	но с другой стороны	1	1
96	говорилось о том что	1	1
97	течением времени все более	1	1
98	в большей или меньшей	1	1
99	связи с этим и	1	1
100	том смысле в каком	1	1
101	и в этом смысле	1	1
102	какой бы то ни	1	1
103	обратим внимание на то	1	1
104	не только в этом	1	1
105	в то же время	6	1
