N	3gram	Bakhtin_Pr	UchenyiS
1	не может быть	8	4
2	с другой стороны	3	3
3	в то же	8	3
4	то же время	8	3
5	и то что	1	2
6	в том что	6	2
7	до сих пор	8	2
8	хотя бы и	2	2
9	тех или иных	2	2
10	а между тем	2	2
11	в конце концов	1	2
12	смысле этого термина	1	2
13	то же самое	1	2
14	в этом отношении	1	2
15	по крайней мере	2	2
16	в этом смысле	5	2
17	а не то	1	1
18	то что было	1	1
19	имеем в виду	3	1
20	друг с другом	6	1
21	есть язык в	1	1
22	не может обойтись	1	1
23	и в конце	2	1
24	язык в его	1	1
25	так или иначе	1	1
26	и в их	2	1
27	в своей совокупности	1	1
28	в широком смысле	2	1
29	не входит в	1	1
30	но в то	3	1
31	очень часто встречается	1	1
32	никогда не может	2	1
33	он прежде всего	1	1
34	только одним из	1	1
35	большей или меньшей	6	1
36	таков прежде всего	1	1
37	смысле можно сказать	1	1
38	но прежде всего	1	1
39	можно сказать что	6	1
40	равно как и	1	1
41	относятся к области	1	1
42	конечно не в	1	1
43	до крайности до	1	1
44	проблем связанных с	1	1
45	но это же	1	1
46	в той же	1	1
47	или меньшей степени	5	1
48	на то что	2	1
49	часто встречается у	1	1
50	литературного жанра в	1	1
51	является одним из	2	1
52	этом смысле можно	1	1
53	не только в	1	1
54	одним из самых	1	1
55	и прежде всего	5	1
56	более или менее	3	1
57	и в то	3	1
58	в данном случае	1	1
59	мы имеем в	3	1
60	этом отношении очень	1	1
61	теории и истории	1	1
62	и все они	1	1
63	бы те основные	1	1
64	в точном смысле	1	1
65	в этом случае	1	1
66	в большей или	5	1
67	все же не	1	1
68	но именно этот	1	1
69	но конечно не	2	1
70	это было бы	1	1
