N	2gram	Propp_Isto	Freidism
1	таким образом	15	34
2	и не	12	34
3	точки зрения	4	31
4	не может	19	30
5	и пр	2	29
6	в этом	19	28
7	может быть	19	28
8	и в	41	28
9	прежде всего	6	26
10	в его	4	25
11	и его	11	22
12	мы можем	11	20
13	как бы	8	19
14	как мы	6	18
15	то что	12	17
16	к отцу	2	16
17	вовсе не	6	16
18	с точки	1	15
19	все эти	8	15
20	так как	21	15
21	с ним	9	14
22	в своей	4	14
23	так и	8	14
24	самом деле	1	14
25	и все	6	13
26	как и	8	13
27	к матери	1	13
28	по отношению	3	13
29	но в	7	13
30	во всех	8	13
31	в самом	2	12
32	то же	12	12
33	ни в	4	12
34	что он	29	12
35	том что	18	12
36	все это	9	12
37	и потому	1	12
38	и наконец	6	12
39	мы видели	17	12
40	только в	10	11
41	мы знаем	4	11
42	сказать что	5	11
43	отношению к	3	11
44	его в	7	11
45	все что	4	10
46	один из	7	10
47	не только	30	10
48	и с	4	10
49	но и	20	10
50	конечно не	2	10
51	что же	2	10
52	тот же	2	10
53	никогда не	16	10
54	в том	14	10
55	мы уже	10	10
56	он не	8	10
57	не в	12	10
58	и на	12	9
59	те же	2	9
60	уже не	8	9
61	во всяком	3	9
62	мы не	10	9
63	с его	4	9
64	к этому	5	9
65	к нему	8	9
66	в чем	5	9
67	а не	9	9
68	мы должны	7	9
69	и др	4	9
70	могут быть	3	9
71	при этом	7	8
72	все же	14	8
73	еще не	13	8
74	с этим	3	8
75	было бы	4	8
76	и вот	2	8
77	знаем что	5	8
78	а в	12	8
79	в ней	4	8
80	всяком случае	3	8
81	что в	21	7
82	и к	1	7
83	не могут	3	7
84	связь с	7	7
85	в жизни	2	7
86	хотя бы	1	7
87	если мы	1	7
88	что все	1	7
89	из них	2	7
90	на протяжении	1	7
91	того что	7	7
92	но не	8	7
93	об этом	7	7
94	и у	3	7
95	в нем	12	7
96	быть и	1	7
97	к смерти	1	7
98	в этой	2	7
99	отношение к	6	7
100	в себе	3	7
101	жизни и	3	7
102	в то	6	7
103	и ее	6	7
104	учение о	1	6
105	если он	5	6
106	не менее	5	6
107	но мы	3	6
108	к тому	4	6
109	можно сказать	3	6
110	в основе	2	6
111	в свою	1	6
112	для того	2	6
113	из этих	6	6
114	мы имеем	27	6
115	что такое	2	6
116	во время	7	6
117	здесь в	1	6
118	в таком	1	6
119	большинстве случаев	1	6
120	она не	3	6
121	совсем не	1	6
122	и что	15	6
123	и о	2	6
124	и только	4	6
125	для этого	1	6
126	всех этих	6	6
127	не можем	3	6
128	что это	6	5
129	в более	3	5
130	ее в	3	5
131	с ними	2	5
132	вместе с	17	5
133	со стороны	3	5
134	на первый	6	5
135	тех же	2	5
136	того чтобы	1	5
137	увидим что	2	5
138	на основании	1	5
139	и до	2	5
140	и те	2	5
141	что она	6	5
142	это не	14	5
143	в ее	3	5
144	что и	13	5
145	в которой	2	5
146	тому что	2	5
147	между ними	1	5
148	в этих	16	5
149	и по	7	5
150	не было	3	5
151	другими словами	3	5
152	во второй	1	5
153	не знает	2	5
154	как это	6	5
155	далеко не	3	5
156	только то	1	5
157	от того	4	5
158	в большинстве	1	5
159	ничего не	7	5
160	в заключение	1	5
161	мы и	1	4
162	в основном	2	4
163	уже знаем	5	4
164	характер и	1	4
165	борьбы с	1	4
166	сводится к	3	4
167	по себе	2	4
168	если бы	3	4
169	именно и	1	4
170	теперь мы	1	4
171	именно в	2	4
172	связанные с	3	4
173	как в	17	4
174	себя и	1	4
175	этот вопрос	3	4
176	зависимости от	4	4
177	из которого	1	4
178	и желаний	1	4
179	данном случае	7	4
180	в данном	8	4
181	в котором	3	4
182	в первый	1	4
183	мы увидим	6	4
184	потому что	13	4
185	только как	1	4
186	и оно	2	4
187	не всегда	6	4
188	в этот	1	4
189	только на	2	4
190	в мир	1	4
191	а только	1	4
192	так же	6	4
193	отметить что	2	4
194	связанных с	1	4
195	на которые	1	4
196	на него	3	4
197	в своем	3	4
198	все время	2	4
199	одна из	7	4
200	только с	1	4
201	но это	5	4
202	дает нам	3	4
203	всех своих	1	4
204	что оно	1	4
205	этот процесс	1	4
