N	3gram	Berdyaev_V	Komedia
1	в том что	2	29
2	вместе с тем	1	9
3	с другой стороны	1	8
4	бы то ни	1	7
5	в конце концов	1	7
6	хоть и не	1	6
7	после того как	1	6
8	и т д	2	5
9	за то что	3	5
10	том что он	2	5
11	к тому что	3	4
12	но все же	1	4
13	по сравнению с	1	4
14	но и в	2	3
15	как и в	1	2
16	так и в	1	2
17	все тот же	2	2
18	я думаю что	1	2
19	к человеку не	1	1
20	законы по которым	1	1
21	что он так	1	1
22	и все это	1	1
23	с такой силой	1	1
24	что он был	1	1
25	и до того	1	1
26	а между тем	2	1
27	вместо того чтобы	2	1
28	и никогда не	1	1
29	с тобой а	1	1
30	и в этом	1	1
31	в этих словах	1	1
32	вслед за ним	1	1
33	но прежде всего	1	1
34	еще не был	1	1
35	и во всяком	1	1
36	свою роль в	1	1
37	в общественной жизни	1	1
38	в ней и	1	1
39	по крайней мере	1	1
40	бы это ни	1	1
41	как бы в	1	1
42	все это как	1	1
43	его не дали	1	1
44	другой стороны в	1	1
45	и для их	1	1
46	от него в	1	1
47	любовь к человеку	1	1
