N	2gram	Medvedev_S	formyVre
1	и в	3	148
2	в этом	5	73
3	прежде всего	1	46
4	и не	1	37
5	в его	3	36
6	и его	1	36
7	вовсе не	1	35
8	но и	2	33
9	то же	2	32
10	не только	3	32
11	так и	1	29
12	может быть	2	27
13	не в	3	26
14	как и	1	25
15	как бы	2	25
16	только в	2	23
17	в то	1	23
18	в том	5	22
19	то что	2	22
20	связи с	1	21
21	же время	1	21
22	все эти	1	21
23	таким образом	2	18
24	у него	1	18
25	еще не	2	18
26	по существу	2	18
27	те же	1	17
28	все же	1	16
29	в связи	1	16
30	не может	1	16
31	в них	1	15
32	никогда не	1	15
33	и как	1	14
34	в конце	2	14
35	все это	7	14
36	в котором	1	13
37	с ним	1	13
38	в частности	2	13
39	а в	1	13
40	конечно не	1	12
41	время в	1	12
42	не было	1	12
43	отнюдь не	1	12
44	что в	2	12
45	ничего не	1	12
46	но не	1	12
47	и наконец	1	12
48	его в	1	11
49	между ними	1	11
50	с другой	1	9
51	том что	2	9
52	в результате	2	8
53	в этих	1	8
54	с одной	1	8
55	в мире	1	8
56	и по	1	8
57	один из	1	8
58	мы еще	1	8
59	во всяком	1	8
60	это не	1	8
61	и потому	1	8
62	отношению к	2	8
63	в целом	1	8
64	между собой	1	7
65	в процессе	1	7
66	было бы	2	7
67	место в	1	7
68	именно в	1	6
69	только для	1	6
70	на первый	1	6
71	о том	1	6
72	с помощью	1	6
73	за пределы	2	6
74	одной стороны	1	6
75	в сущности	1	6
76	друг от	1	6
77	мы не	1	6
78	от друга	1	6
79	новое и	1	5
80	тем что	1	5
81	в своей	1	5
82	хотя бы	1	5
83	что все	1	5
84	в смысле	2	5
85	в этой	1	5
86	в него	1	5
87	далеко не	2	5
88	они не	1	5
89	ни были	1	5
90	не без	1	5
91	первый план	1	5
92	бы он	1	5
93	и только	3	5
94	даже в	1	4
95	по себе	1	4
96	в данном	1	4
97	по отношению	2	4
98	на ней	1	4
99	переходим к	1	4
100	в чем	1	4
101	что он	1	4
102	перед нами	1	4
103	это и	2	4
104	и более	1	4
105	же самое	1	4
106	всяком случае	1	4
107	тем более	2	4
108	мы должны	1	4
109	и о	1	4
110	тому что	1	3
111	это значит	1	3
112	в заключение	1	3
113	литературе и	1	3
114	бы в	1	3
115	но только	1	3
116	не место	1	3
117	литературы и	2	3
118	главным образом	2	3
119	область литературы	1	3
120	и есть	1	3
121	все то	1	3
122	и затем	1	3
123	по самому	1	3
124	том как	1	3
125	еще и	1	3
126	наконец в	1	3
127	вступает в	1	3
128	тем же	1	3
129	в таких	1	3
130	он ни	1	3
131	но она	1	3
132	что на	1	3
133	в строгом	1	2
134	исторического развития	2	2
135	на следующий	1	2
136	как только	2	2
137	из себя	1	2
138	связь между	1	2
139	и должно	1	2
140	в каждом	1	2
141	по природе	2	2
142	не исчерпываются	1	2
143	но как	1	2
144	даже не	1	2
145	должна быть	2	2
146	в область	1	2
147	литературного развития	1	2
148	социальной группой	1	2
149	и стиля	1	2
150	единства и	1	2
151	идей и	2	2
152	для нас	3	2
153	в соответствующих	1	2
154	ведь это	2	2
155	образом в	1	2
156	слова но	1	2
157	между собою	1	2
158	или даже	2	2
159	или не	1	2
160	как то	1	2
161	когда мы	1	2
162	него и	1	2
163	со своими	1	2
164	этих вопросов	1	1
165	именно на	1	1
166	более не	1	1
167	себя по	1	1
168	тех кто	1	1
169	ровно ничего	1	1
170	стиль в	1	1
171	не меняет	1	1
172	именно и	1	1
173	конечном счете	1	1
174	они ни	1	1
175	он по	1	1
176	развития литературы	4	1
177	темы и	1	1
178	и история	1	1
179	это же	1	1
180	писатель как	1	1
181	далеки от	1	1
182	этого и	1	1
183	не выходит	1	1
184	для изучения	1	1
185	ввести в	2	1
186	нашей работы	1	1
187	тогда и	1	1
188	к которому	2	1
189	два или	1	1
190	в конечном	1	1
191	как же	3	1
192	я и	1	1
193	должно было	1	1
194	естествознания и	1	1
195	опираясь на	1	1
196	свои права	1	1
197	в лучшем	1	1
198	не дает	1	1
199	для наших	1	1
200	между тем	1	1
201	не из	1	1
202	бы они	1	1
203	характера это	1	1
204	и что	2	1
205	самому существу	1	1
206	это вовсе	1	1
207	на определенных	1	1
208	на отдельные	1	1
209	вопросом о	1	1
210	и стало	1	1
211	жанра и	1	1
212	что это	1	1
213	никак не	1	1
214	два типа	1	1
215	психологии и	1	1
216	мы понимаем	1	1
217	о художественных	1	1
218	внутреннего единства	1	1
219	обходится без	1	1
220	выходит за	1	1
221	может не	1	1
222	реализма и	1	1
223	в те	1	1
224	стало быть	1	1
225	в любой	1	1
226	всему этому	1	1
227	тотчас же	1	1
228	быть не	1	1
229	развития и	1	1
230	свойств и	1	1
231	их между	2	1
232	она может	2	1
233	новые и	1	1
234	на этот	1	1
235	в настоящее	1	1
236	истории литературы	10	1
237	благодаря этому	1	1
238	на тех	1	1
239	исторической жизни	2	1
240	в виде	1	1
241	в свои	1	1
242	сама по	1	1
243	быть для	1	1
244	проникли в	1	1
245	в области	1	1
246	что эти	1	1
247	сказать и	1	1
248	и цельного	1	1
249	это как	1	1
250	несколько упрощенно	1	1
251	конце концов	2	1
252	дело не	2	1
253	его исторической	1	1
254	только то	1	1
255	литературе мы	1	1
256	изучения и	1	1
257	их на	1	1
258	же это	1	1
259	лучшем случае	1	1
260	им не	2	1
261	и никак	1	1
