N	4gram	Propp_Isto	Problemy
1	в то же время	1	26
2	в то время как	3	3
3	одно и то же	2	3
4	но тем не менее	1	2
5	с одной стороны и	1	1
6	сюда же относится и	1	1
7	мы видели что в	1	1
8	с другой стороны эта	1	1
9	нами до сих пор	1	1
10	подобно тому как он	1	1
11	и вместе с тем	1	1
12	говорит он что в	1	1
13	тем не менее в	1	1
14	потому что с ним	1	1
15	иметь в виду что	1	1
16	за ним как за	1	1
17	в том числе и	2	1
18	но для наших целей	1	1
19	но в таком случае	1	1
20	вопрос о том что	1	1
21	уже после того как	2	1
22	и т д и	1	1
23	само по себе но	1	1
24	так же как и	4	1
25	по мере того как	3	1
26	до сих пор не	1	1
27	поэтому она и не	1	1
