N	2gram	Propp_Russ	Problemy
1	и в	59	106
2	и не	6	90
3	как бы	18	70
4	может быть	14	66
5	т е	41	59
6	в его	3	56
7	в этом	18	52
8	в нем	3	51
9	не может	6	49
10	как и	19	44
11	что он	2	44
12	точки зрения	3	40
13	но и	20	40
14	для него	1	39
15	и его	2	39
16	а не	3	38
17	то же	6	36
18	не только	28	36
19	в пределах	2	35
20	то что	10	33
21	но в	5	33
22	прежде всего	2	32
23	он не	1	29
24	в то	3	29
25	все это	12	29
26	и все	4	28
27	в одном	4	27
28	не в	2	27
29	к другому	2	27
30	к себе	1	26
31	и с	12	25
32	к нему	3	25
33	с точки	3	25
34	и т	13	25
35	не как	1	24
36	самом деле	1	24
37	рядом с	1	23
38	и на	14	23
39	в каждом	2	22
40	что я	1	22
41	таким образом	10	22
42	там где	3	21
43	как мы	11	21
44	все же	7	20
45	никогда не	1	20
46	только в	4	20
47	потому что	15	20
48	что в	35	19
49	с его	1	19
50	отношению к	1	19
51	слова в	3	19
52	уже не	9	18
53	по отношению	1	18
54	т п	1	18
55	в себе	1	18
56	еще не	7	18
57	на самом	3	18
58	но не	7	18
59	все эти	5	18
60	и к	3	17
61	с ним	2	17
62	а в	16	17
63	в том	33	17
64	это не	14	17
65	так и	8	17
66	так же	7	16
67	если бы	1	16
68	в своей	1	16
69	в другом	1	16
70	у него	2	15
71	до конца	5	15
72	и для	3	15
73	и наконец	2	15
74	и сам	1	14
75	в своем	3	14
76	как раз	1	14
77	в конце	1	14
78	а как	1	14
79	так как	25	14
80	он и	1	14
81	с другим	2	14
82	но все	3	13
83	на него	1	13
84	точка зрения	1	13
85	с другими	3	13
86	его в	9	13
87	большинстве случаев	2	13
88	и это	2	13
89	себя и	2	13
90	перед нами	2	13
91	в большинстве	2	13
92	в целом	2	13
93	при этом	11	12
94	и как	2	12
95	и даже	1	12
96	к тому	4	12
97	во всяком	1	12
98	в котором	2	12
99	что и	8	12
100	не знает	1	12
101	себе и	1	12
102	так что	4	12
103	и что	8	12
104	было бы	3	12
105	между тем	9	12
106	как в	10	12
107	том что	33	12
108	но это	5	12
109	ничего не	4	12
110	слово в	1	12
111	в одной	1	12
112	тем что	7	11
113	их в	7	11
114	входит в	4	11
115	с другой	1	11
116	должно быть	2	11
117	это слово	1	11
118	мы уже	2	11
119	в форме	3	11
120	не могут	1	11
121	сливается с	1	11
122	так чтобы	2	11
123	слово с	1	11
124	этого слова	3	11
125	она не	4	11
126	или как	1	11
127	как будто	6	11
128	что не	1	10
129	в него	2	10
130	для себя	1	10
131	приводит к	4	10
132	слова с	1	10
133	далеко не	5	10
134	как не	2	10
135	отношение к	1	10
136	в той	1	9
137	в них	10	9
138	друг с	1	9
139	что у	3	9
140	хотя и	3	9
141	но он	3	9
142	точек зрения	1	9
143	из одного	1	9
144	могут быть	3	9
145	всяком случае	1	9
146	ни в	1	9
147	или в	7	9
148	и потому	3	9
149	же и	1	8
150	и до	3	8
151	о том	14	8
152	мы увидим	8	8
153	все время	1	8
