N	2gram	Nazirov_Tv	ViktorSh
1	в книге	3	3
2	конце концов	1	2
3	в конце	5	2
4	и в	40	2
5	в том	13	2
6	том что	14	2
7	в другом	1	1
8	все время	3	1
9	но это	10	1
10	столь же	2	1
11	том же	3	1
12	ведь это	1	1
13	нет есть	1	1
14	главным образом	1	1
15	связанным с	1	1
16	в самом	6	1
17	более к	1	1
18	не одно	1	1
19	для них	2	1
20	а только	1	1
21	от других	2	1
22	именно в	6	1
23	что сами	1	1
24	ни к	2	1
25	самом деле	4	1
26	за свою	1	1
27	другом месте	1	1
28	ясно что	1	1
29	с большой	5	1
30	в частности	4	1
31	так в	1	1
32	крайней мере	4	1
33	время в	3	1
34	и его	14	1
35	сводится к	2	1
36	к чему	1	1
37	бы уже	1	1
38	хотя бы	5	1
39	собр соч	2	1
40	по поводу	1	1
41	стоило бы	1	1
42	далеко не	3	1
43	тем более	1	1
44	по крайней	4	1
45	в которых	3	1
46	к этому	4	1
47	только в	7	1
48	же с	10	1
49	потому что	10	1
50	в их	5	1
51	и только	2	1
52	то же	19	1
53	чего не	1	1
54	и не	12	1
55	гораздо более	2	1
56	я не	5	1
57	дело в	4	1
58	да и	1	1
59	в этом	11	1
60	так как	6	1
61	все это	14	1
62	в устах	2	1
