N	2gram	Potebnia_M	TeoriaLi
1	в мире	3	26
2	не только	32	24
3	и в	48	24
4	то есть	53	22
5	состоит в	1	22
6	может быть	46	22
7	при этом	6	20
8	в том	47	20
9	тогда как	8	18
10	я в	1	18
11	и не	28	17
12	а в	14	15
13	но и	30	14
14	а не	22	14
15	так и	17	14
16	в себе	26	14
17	внутренней речи	1	13
18	но не	8	13
19	в этом	19	12
20	сводится к	1	12
21	но в	8	12
22	в его	6	12
23	то же	35	12
24	своего рода	1	11
25	том что	28	11
26	точки зрения	4	11
27	и его	4	11
28	что в	30	10
29	по отношению	12	10
30	как это	1	10
31	лишь в	2	10
32	отношению к	10	10
33	в душе	17	9
34	только в	29	9
35	в данном	3	9
36	с другой	8	9
37	в искусстве	6	9
38	не в	24	9
39	в то	16	9
40	в своей	2	8
41	же время	8	8
42	как бы	10	8
43	не может	18	8
44	в самом	11	7
45	не столько	2	7
46	и т.п	1	7
47	в своем	6	7
48	себя в	1	7
49	а также	1	7
50	отличие от	2	7
51	во второй	1	7
52	отношение к	2	7
53	однако в	1	7
54	место в	4	7
55	в области	3	7
56	в нем	16	7
57	другой стороны	4	6
58	более или	6	6
59	как и	22	6
60	не менее	9	6
61	еще не	9	6
62	то что	37	6
63	со стороны	4	6
64	уже не	11	6
65	с его	1	6
66	в ее	3	6
67	с другими	9	6
68	или иначе	1	6
69	между ними	4	6
70	или менее	6	6
71	тем самым	11	6
72	в первой	1	6
73	кто говорит	1	5
74	ни в	2	5
75	в виду	1	5
76	так или	2	5
77	как в	17	5
78	в художественном	1	5
79	а а	2	5
80	можно сказать	4	5
81	не является	1	5
82	того чтобы	5	5
83	для того	8	5
84	я с	1	5
85	по преимуществу	1	5
86	данном случае	3	5
87	для него	14	5
88	а и	5	5
89	того что	24	5
90	я есть	1	5
91	в себя	1	5
92	между тем	19	5
93	он не	4	5
94	и тем	8	5
95	в пределах	1	5
96	и о	6	5
97	могут быть	6	5
98	художественного произведения	6	5
99	искусства в	1	5
100	порядка в	1	4
101	не на	1	4
102	не следует	6	4
103	и сам	1	4
104	в этих	2	4
105	значении этого	1	4
106	отношения к	2	4
107	что он	8	4
108	в слове	41	4
109	языка в	6	4
110	входит в	3	4
111	говорить о	6	4
112	отношении к	3	4
113	и а	1	4
114	и т.д	1	4
115	сказать что	8	4
116	в нашем	1	4
117	к тому	9	4
118	этого слова	14	4
119	во времени	2	4
120	никогда не	2	4
121	и того	2	4
122	это не	2	4
123	хотя и	3	4
124	слова в	7	4
125	говоря словами	2	4
126	в их	2	4
127	его в	6	4
128	но он	3	4
129	не знает	4	4
130	или даже	1	4
131	так в	4	4
132	мира и	1	4
133	по своему	2	4
134	со своей	2	4
135	в воображении	1	4
136	а только	7	4
137	произведения искусства	2	4
138	субъекта и	1	4
139	в свою	6	4
140	и что	13	4
141	в форме	2	4
142	далеко не	5	4
143	того же	5	4
144	одного и	2	4
145	в силу	7	4
146	в целом	5	4
147	и ее	1	4
148	и к	5	3
149	к действительности	1	3
150	в таком	6	3
151	на меня	1	3
152	для себя	3	3
153	с этой	2	3
154	даже в	3	3
155	была бы	5	3
156	говорит и	1	3
157	только не	5	3
158	подобно тому	3	3
159	если бы	20	3
160	все эти	1	3
161	а именно	1	3
162	именно в	5	3
163	например в	9	3
164	в жизни	1	3
165	в порядке	1	3
166	к его	2	3
167	их в	3	3
168	никто не	5	3
169	из которого	1	3
170	тем не	7	3
171	перед нами	3	3
172	свою очередь	6	3
173	между собой	1	3
174	своей природе	1	3
175	сводятся к	2	3
176	потому что	82	3
177	одной стороны	4	3
178	искусства и	3	3
