N	4gram	Vygotskiy_	Literetu
1	состоит в том что	1	8
2	с этой точки зрения	2	5
3	только в том что	1	2
4	до тех пор пока	2	2
5	и в самом деле	14	2
6	состоит в том чтобы	1	2
7	одно и то же	3	2
8	не что иное как	1	1
9	все более и более	4	1
10	когда речь идет о	1	1
11	в том что в	1	1
12	одного и того же	1	1
13	и вместе с тем	3	1
14	например с точки зрения	1	1
15	в такой же мере	1	1
16	с другой стороны читатель	1	1
17	мы никогда не можем	1	1
18	не так как у	1	1
19	в том что он	3	1
20	в жизни а не	1	1
21	тем что в ней	1	1
22	может быть определена как	1	1
