N	4gram	Vygotskiy_	formyVre
1	одного и того же	8	9
2	как мы уже говорили	1	6
3	с одной стороны и	2	5
4	в том числе и	2	5
5	мы имеем в виду	1	5
6	одно и то же	1	5
7	в то время как	4	4
8	в связи с этим	1	4
9	можно прямо сказать что	1	3
10	так же как и	2	3
11	но для того чтобы	1	2
12	все более и более	3	2
13	как мы уже указывали	1	2
14	само собой разумеется что	1	2
15	друг с другом но	1	1
16	с этой точки зрения	7	1
17	отделены друг от друга	1	1
18	в том что в	2	1
19	имеют свою логику развития	1	1
20	ничего не меняет в	1	1
21	как мы увидим в	1	1
22	связи друг с другом	2	1
23	совершенно так же как	1	1
24	одной и той же	3	1
25	в тех случаях когда	1	1
26	и вместе с тем	1	1
27	приходит к выводу что	1	1
28	только в том что	2	1
29	мы до сих пор	1	1
30	в данном случае мы	1	1
31	той же ступени развития	1	1
32	с двух сторон как	1	1
33	с этим меняется и	1	1
34	в том что он	3	1
35	но во всяком случае	1	1
36	не отделены друг от	1	1
37	различных своих сторонах и	1	1
38	в различных своих сторонах	1	1
39	но вместе с тем	3	1
40	друг с другом в	2	1
41	его не только в	1	1
42	в одном ряду с	1	1
