N	4gram	Tiupa_Narr	Narrotol
1	в даме с собачкой	1	9
2	в то же время	3	8
3	состоит в том что	2	6
4	во времени и пространстве	4	5
5	мы имеем дело с	1	5
6	свободен теперь как птица	2	4
7	обращает на себя внимание	3	3
8	в коммуникативном событии рассказывания	1	3
9	дело в том что	1	3
10	матери и племянницы в	3	3
11	и он свободен теперь	1	2
12	той мере в какой	1	2
13	своего дядю преосвященного как	1	2
14	которым можно было бы	2	2
15	главное действующее лицо события	1	2
16	человека который свободен теперь	1	2
17	мысль о том что	1	2
18	как будто он прямо	2	2
19	рассказывания в этом последнем	1	2
20	было как будто он	1	2
21	в той мере в	1	2
22	дьяконицей чем матерью а	1	2
23	и пережил их одиннадцать	1	2
24	действующее лицо события свидетель	1	2
25	жизнь находился при архиереях	1	2
26	сами участвуем как слушатели-читатели	1	2
27	что это за человек	1	2
28	широкое небо залитое солнцем	1	2
29	сисой всю свою жизнь	1	2
30	дядю преосвященного как бы	1	2
31	бы отдал только бы	2	2
32	не мигая глядела на	1	2
33	всю свою жизнь находился	1	2
34	как бы желая разгадать	1	2
35	идет по полю быстро	2	2
36	как уже говорилось выше	1	2
37	который свободен теперь как	1	2
38	тихо робко вошла мать	1	2
39	залитое солнцем и он	1	2
40	последнем мы и сами	1	2
41	бы быть прочитан как	2	2
42	бы желая разгадать что	1	2
43	будто он прямо родился	2	2
44	состоит в своего рода	1	2
45	и сами участвуем как	1	2
46	самого рассказывания в этом	1	2
47	и в то же	1	2
48	одного и того же	1	2
49	события свидетель и судия	1	2
50	этом последнем мы и	1	2
51	архиереях и пережил их	1	2
52	следует иметь в виду	1	2
53	себя больше дьяконицей чем	1	2
54	полю быстро весело постукивая	2	2
55	на протяжении этого эпизода	2	2
56	захотелось вдруг за границу	3	2
57	и у нас нет	1	2
58	мы и сами участвуем	1	2
59	чувствовала себя больше дьяконицей	1	2
60	похоже было как будто	1	2
61	свою жизнь находился при	1	2
62	мог бы быть прочитан	2	2
63	глядела на своего дядю	1	2
64	при архиереях и пережил	1	2
65	на своего дядю преосвященного	1	2
66	желая разгадать что это	1	2
67	в этом последнем мы	1	2
68	разгадать что это за	1	2
69	преосвященного как бы желая	1	2
70	пережил их одиннадцать душ	1	2
71	от эпизода к эпизоду	2	2
72	быстро весело постукивая палочкой	2	2
73	по полю быстро весело	2	2
74	он прямо родился монахом	2	2
75	он свободен теперь как	1	2
76	находился при архиереях и	1	2
77	в той или иной	2	2
78	лицо события свидетель и	1	2
79	небо залитое солнцем и	1	2
80	к тому же в	1	2
81	катя не мигая глядела	1	2
82	мигая глядела на своего	1	2
83	больше дьяконицей чем матерью	1	2
84	солнцем и он свободен	1	2
85	точно так же как	2	2
86	новое и главное действующее	1	1
87	героя мыслимо именно как	1	1
88	данным текстом преимущественно в	1	1
89	матери умирающего героя было	1	1
90	прозу чехова от классического	1	1
91	универсуме с такой системой	1	1
92	уединение предающегося воспоминаниям героя	1	1
93	фигуры и наличие хотя	1	1
94	состояний а тут ваше	1	1
95	не поговорил с ним	1	1
96	седьмые эпизоды представляют собой	1	1
97	если во втором эпизоде	1	1
98	что отчасти мотивировано полудремотным	1	1
99	личная память читателя оказывается	1	1
100	его как ребенка называя	1	1
101	протяжении этого эпизода нет	1	1
102	то в третьем от	1	1
103	выстраиваются как кажется без	1	1
104	и т.д на одном	1	1
105	заблуждении а в той	1	1
106	будущего ни психологически сомнение	1	1
107	нам впервые дано увидеть	1	1
108	умаление поскольку обладает более	1	1
109	художественного пространства делает очевидным	1	1
110	сколько не подлежит сомнению	1	1
111	и наличие хотя бы	1	1
112	то же самое происходит	1	1
113	прожитого которое представлялось живым	1	1
114	своей матери а в	1	1
115	кроме матери даже поступательное	1	1
116	эпизод создается отсутствием келейника	1	1
117	умер но еще не	1	1
118	думал он как хорошо	1	1
119	в мир произведения особая	1	1
120	когда-то много-много лет назад	1	1
121	и не могло быть	1	1
122	открывается во всей его	1	1
123	мотивом светлой пасхальной радости	1	1
124	в ней не только	1	1
125	символ бессмертия матери материнского	1	1
126	внутри абзаца что отчасти	1	1
127	интуиции художника но именно	1	1
128	евангелия оба вторых эпизода	1	1
129	ли это видение решающим	1	1
130	и представлялось ему что	1	1
131	и столь же очевидным	1	1
132	героем первого евангелия оба	1	1
133	не достает он веровал	1	1
134	в полном его составе	1	1
135	нагорели все было как	1	1
136	одаривает всех живущих в	1	1
137	крайне затруднительно если не	1	1
138	а то и пародийно	1	1
139	дополнительного персонажа сопровождается хотя	1	1
140	что он архиерей и	1	1
141	с посмертным воскресным пасхальным	1	1
142	волосы в которых весело	1	1
143	в тексте архиерея стилистическая	1	1
144	в самую ткань текста	1	1
145	видение решающим звеном интриги?	1	1
146	настоящего времени в речи	1	1
147	двенадцать явственно приобретает символическую	1	1
148	он идет быстро весело	1	1
149	сыне тем самым личная	1	1
150	этот итеративный по терминологии	1	1
151	никогда и не было	1	1
152	же обстоит дело теперь?	1	1
153	трех докторов перед смертью	1	1
154	хотела искала предлога чтобы	1	1
155	также не случаен художественно	1	1
156	достает он веровал но	1	1
157	вторыми третьими и т.д	1	1
158	первая дюжина эпизодов составляет	1	1
159	себя в другом и	1	1
160	иначе хотя раньше тоже	1	1
161	в обоих эпизодах его	1	1
162	мы будем вспоминать о	1	1
163	смерть архиерея семантическая опустошенность	1	1
164	но в своем предсмертном	1	1
165	далекое прошлое в детство	1	1
166	еще одной эпилоговой нулевой	1	1
167	руси христианства эта укорененность	1	1
168	перед глазами белая зубчатая	1	1
169	толпой молящихся он может	1	1
170	что каждый из двух	1	1
171	извещены повествователем о неадекватности	1	1
172	и сакральной парадигмой такого	1	1
173	нелепого вызывающего смех если	1	1
174	в казусности его наличия	1	1
175	черные тени тянущееся вверх	1	1
176	степени здесь сохраняется повествованием	1	1
177	краткости и незначительности следует	1	1
178	эпизода суть возвращения героя	1	1
179	близко все и деревья	1	1
180	непредвзято как результат творческой	1	1
181	сакральной парадигмой такого ухода	1	1
182	и поехал в собор	1	1
183	не в заблуждении а	1	1
184	еще одна из модификаций	1	1
185	жизни литературного героя и	1	1
186	колокольня вся залитая светом	1	1
187	чеховского архиерея в качестве	1	1
188	этом свидетельствует не только	1	1
189	поступательное движение сюжета от	1	1
190	сюжета относительно евангельского манифестирована	1	1
191	значении этого слова а	1	1
192	в готовом стабильно дифференцированном	1	1
193	и нелепого вызывающего смех	1	1
194	с этой точки зрения	1	1
195	оно живет в готовом	1	1
196	которому нынешнее настоящее оказывается	1	1
197	даже белые кресты на	1	1
198	в едином но сложном	1	1
199	дифференцированном и оцененном мире	1	1
200	о матери архиерей вспоминает	1	1
201	аналогичного настроению любимого героем	1	1
202	героя вновь обесцениваются единством	1	1
203	семантического параллелизма если в	1	1
204	усиливает зеркальный эффект семантической	1	1
205	тоже так называла оба	1	1
206	кадр со сменой ракурса	1	1
207	без помощи зеркала сделать	1	1
208	присоединением к главному герою	1	1
209	что угнетало его своею	1	1
210	читателя формой незримого присутствия	1	1
211	и три слова долго	1	1
212	в тексте случай употребления	1	1
213	садился в карету незначительный	1	1
214	прекрасным радостным каким вероятно	1	1
215	практически неощутим он приходится	1	1
216	душа дрожит от обремененного	1	1
217	и детских больших глаз	1	1
218	цельный внутри себя мир	1	1
219	предстает очевидной лиминальной фазой	1	1
220	духовной связи какой личность	1	1
221	раньше тоже так называла	1	1
222	эпизода во вторник после	1	1
223	владыка преосвященнейший как именует	1	1
224	во всей его полноте	1	1
225	значении термина поскольку лишена	1	1
226	фразе эпизода они еще	1	1
227	лишь изредка цитатно а	1	1
228	свечным салом своего рода	1	1
229	далее выходила сходилась начинала	1	1
230	ему что он уже	1	1
231	нарратора и персонажа были	1	1
232	петр неочевидный но существенный	1	1
233	как пламя внешне одинокое	1	1
234	павлуша который в детстве	1	1
235	и пространстве преосвященный посидел	1	1
236	ребенку не в чем	1	1
237	и только покидая жизнь	1	1
238	ветхости петра к полюсу	1	1
239	благополучно точно так же	2	1
240	собачкой здесь отсутствует тем	1	1
241	переход от первой формы	1	1
242	материнского рода но и	1	1
243	персонажа продолжает звучать и	1	1
244	предсмертным видением героя и	1	1
245	низа и верха каменных	1	1
246	то что каждый из	1	1
247	сюжетологическом значении термина поскольку	1	1
248	павлом он идет по	1	1
249	милое дорогое незабвенное детство	1	1
250	произведения не в судьбе	1	1
251	богу известно глубинными хронотопическими	1	1
252	актуализируя момент преображения освобождения	1	1
253	тех немногочисленных случаях когда	1	1
254	лишена неожиданности да и	1	1
255	участвуем как слушатели-читатели события	1	1
256	предыдущих при соотнесении с	1	1
257	персонажа немало анекдотического в	1	1
258	году как будет по	2	1
259	повествующего не о смерти	1	1
260	тринадцатым эпилоговым заключительную главу	1	1
261	эпизод беседы с отцом	1	1
262	же будут каждый год	2	1
263	он размышлял о жизни	1	1
264	мысли о детях о	1	1
265	параллели между уходом из	1	1
266	общая смеховая реакция оба	1	1
267	последних днях жизни не	1	1
268	же о том что	1	1
269	том свете архиерей сидел	1	1
270	страдает от боли в	1	1
271	другой день эпизод отмеченный	1	1
272	к прошлому то есть	1	1
273	и в двух предыдущих	1	1
274	монахи пели стройно четкая	1	1
275	случае купец еракин а	1	1
276	задумавшись то в предпоследнем	1	1
277	в обременительных обязанностей в	1	1
278	удается хотя они и	1	1
279	ключ к проникновению в	1	1
280	конца текста если начальный	1	1
281	горняя вечность бытия в	1	1
282	неким побочным ее продуктом	1	1
283	пара двенадцатых эпизодов вновь	1	1
284	не было и не	1	1
285	отчасти же усиливает ненавязчивый	1	1
286	в качестве таковых рассмотреть	1	1
287	как в тумане в	1	1
288	было скажем с гуровым	1	1
289	ослабевает утрачивает способность вставать	1	1
290	обоих десятых эпизодах внутренне	1	1
291	хотя они и не	1	1
292	неба которое над проснувшимися	1	1
293	событиями лишенными какой бы	1	1
294	сомнение и неуверенность ни	1	1
295	ко второй практически неощутим	1	1
296	различные и по длительности	1	1
297	доложил келейник когда преосвященный	1	1
298	келейник когда преосвященный входил	1	1
299	после восьми лет проведенных	1	1
300	веселый красивый звон дорогих	1	1
301	ярко светило солнце и	1	1
302	сюжета затем следует краткий	1	1
303	одному богу известно глубинными	1	1
304	же люди что были	2	1
305	увидеть внешний облик героя	1	1
306	семантические рифмы обнаруживаемые между	1	1
307	дважды упоминаемое в тексте	1	1
308	фокализация картин жизни пасхального	1	1
309	что вообще характерно для	1	1
310	будущего впереди лишь новое	1	1
311	день душа дрожит от	1	1
312	переосмысления тональности повествующего голоса	1	1
313	который откладывал все дела	1	1
314	будущем эта мифологическая бессобытийность	1	1
315	в мальчика ветхого человека	1	1
316	уносился мыслями в далекое	1	1
317	было бы поговорить отвести	1	1
318	чувствовал не раскаяние в	1	1
319	если первоначально зримое присутствие	1	1
320	брата никанора где слово	1	1
321	культуре конфигурациям к схематизму	1	1
322	слава богу хоть и	1	1
323	вас приехали доложил келейник	1	1
324	внимание такая символическая деталь	1	1
325	сообщают о приезде матери	1	1
326	это сообщение составляет явную	1	1
327	принятия на руси христианства	1	1
328	не прошлым а настоящим	1	1
329	значимые странности нарративной дискурсии	1	1
330	мира анарративный фон событийной	1	1
331	общего инварианта белые березы	1	1
332	вторая дюжина с тринадцатым	1	1
333	половине второго ударили к	1	1
334	момента более не будет	1	1
335	мифов-нарраций никогда не было	1	1
336	миром прослеженный циклический параллелизм	1	1
337	текста дискурсивно артикулирующую историю	1	1
338	источником всех его настроений	1	1
339	у себя в комнате	1	1
340	называют владыкой волнует все	1	1
341	то есть умирающий герой	1	1
342	думает о своей матери	1	1
343	те же будут каждый	2	1
344	разумеется усиливает зеркальный эффект	1	1
345	три доктора а на	1	1
346	из дольнего мира в	1	1
347	особая личностно-актуальная форма восприятия	1	1
348	было на самом деле	1	1
349	образован присоединением к главному	1	1
350	фитили нагорели все было	1	1
351	стоит отчего не падает	1	1
