N	2gram	Bakhtin_Fr	NovoeSre
1	а не	6	17
2	не может	9	16
3	и в	67	16
4	нового времени	6	12
5	и не	23	11
6	и есть	5	10
7	что в	14	9
8	в эпоху	17	9
9	в том	16	8
10	жизни и	11	8
11	он не	9	8
12	в этом	27	7
13	может быть	4	7
14	средние века	2	7
15	в новой	1	7
16	не будет	2	7
17	как и	19	7
18	общественной жизни	1	6
19	ни в	5	6
20	не знает	1	6
21	не в	8	6
22	лишь в	3	6
23	с его	11	6
24	но это	10	6
25	никогда не	6	6
26	и к	7	5
27	не только	23	5
28	в ней	10	5
29	истории в	1	5
30	все это	15	5
31	xix века	1	5
32	в жизни	4	5
33	в нем	20	5
34	с ее	7	5
35	должен быть	2	5
36	культуры в	1	5
37	и общественной	1	5
38	перестает быть	3	4
39	и потому	1	4
40	и мы	1	4
41	по своему	5	4
42	не во	1	4
43	потому что	8	4
44	большую роль	2	4
45	это не	5	4
46	прежде всего	19	4
47	в них	12	4
48	то что	9	4
49	не было	3	4
50	и все	18	4
51	не менее	4	4
52	не имеет	4	4
53	и для	4	4
54	о том	8	4
55	во всех	20	3
56	в наши	1	3
57	и пр	1	3
58	должна быть	1	3
59	тому как	2	3
60	отдельных людей	1	3
61	в ее	2	3
62	эти формы	1	3
63	за пределы	4	3
64	старого мира	1	3
65	конечно не	5	3
66	подобно тому	2	3
67	в истории	2	3
68	не существует	1	3
69	в духе	4	3
70	с другой	3	3
71	в основе	6	3
72	в средние	2	3
73	к ним	2	3
74	в россии	1	3
75	сказать что	12	3
76	с тем	3	3
77	к жизни	1	3
78	в своей	6	3
79	в мире	1	3
80	как в	4	3
81	жизни в	3	3
82	перейти к	1	3
83	но и	23	3
84	это было	4	3
85	к тому	4	3
86	человека и	1	3
87	еще не	5	3
88	с этим	6	2
89	все они	7	2
90	более не	2	2
91	и большая	1	2
92	и от	6	2
93	и весь	1	2
94	это и	10	2
95	в центре	1	2
96	права на	2	2
97	и что	3	2
98	не могли	1	2
99	на протяжении	2	2
100	это связано	1	2
101	что она	4	2
102	права и	3	2
103	не имеют	1	2
104	и было	1	2
105	с одной	2	2
106	хотя бы	2	2
107	мы не	6	2
108	нем нет	1	2
109	будет уже	1	2
110	того чтобы	9	2
111	старый мир	3	2
112	вот почему	1	2
113	хотя и	6	2
114	переход к	1	2
115	сильнее и	2	2
116	истории а	1	2
117	так и	14	2
118	как это	5	2
119	самой жизни	2	2
120	я называю	1	2
121	но она	5	2
122	культура средневековья	1	2
123	сама жизнь	1	2
124	думать что	2	2
125	одной стороны	2	2
126	можно было	5	2
127	свободы от	1	2
128	другой стороны	2	2
129	времени и	4	2
130	из ее	1	2
131	у него	4	2
132	место в	3	2
133	к самой	1	2
134	свободы и	2	2
135	а в	4	2
136	свободы в	1	2
137	все время	3	2
138	и даже	6	2
139	века и	2	2
140	и формы	1	2
141	люди не	1	2
142	и с	18	2
143	мы говорим	1	2
144	и начинается	1	2
145	связана с	5	2
146	по существу	4	2
147	для этого	2	2
148	нет и	4	2
149	могут быть	1	2
150	в себе	3	2
151	и на	12	2
152	строю жизни	1	2
153	уже не	1	2
154	мира а	2	2
155	века но	1	2
156	что все	4	2
157	времени в	2	2
158	духа в	2	2
159	все эти	12	2
160	есть в	5	2
161	же как	4	2
162	такой же	5	2
163	вместе с	5	2
164	общества и	1	2
165	одна из	1	2
166	стремление к	1	2
167	жизнью в	2	2
168	мира и	10	2
169	роль в	5	2
170	как будто	2	2
171	в природе	1	2
172	но не	6	2
173	в то	17	2
174	в новом	3	2
175	том что	13	2
176	в мировой	3	2
177	ведь и	3	2
178	мир и	5	2
179	так же	13	2
180	для нового	2	2
181	и это	5	2
182	можно назвать	1	2
183	в смысле	1	2
184	в одну	1	2
185	себя в	1	2
186	но в	20	2
187	и т.п	31	2
188	мысли и	6	2
189	формы и	2	2
190	обращение к	1	2
191	средневековья и	2	2
192	связаны с	8	2
193	войны и	2	2
194	в той	2	1
195	еще достаточно	1	1
196	женщины в	3	1
197	она сама	1	1
198	своего рода	7	1
199	красота и	1	1
200	в самом	7	1
201	человеком хотя	1	1
202	ближе к	1	1
203	во всем	1	1
204	дальнейшее развитие	1	1
205	нет ничего	1	1
206	всего они	1	1
207	для бога	1	1
208	ее на	1	1
209	и того	1	1
210	до этого	1	1
211	шекспира и	2	1
212	можно сказать	4	1
213	и мысли	2	1
214	то он	2	1
215	все что	3	1
216	человека в	1	1
217	то они	1	1
218	во все	2	1
219	получить силу	1	1
220	но оно	4	1
221	для всех	4	1
222	замкнутой и	1	1
223	и быть	1	1
224	в более	1	1
225	это конечно	4	1
226	и государства	2	1
227	до сих	3	1
228	и человека	1	1
229	бы к	1	1
230	как ни	1	1
231	смену эпох	1	1
232	и более	1	1
233	бы он	2	1
234	характерная для	1	1
235	и этот	2	1
236	в котором	3	1
237	по природе	1	1
238	по преимуществу	2	1
239	находится во	1	1
240	жизни для	1	1
241	и мира	2	1
242	значение в	1	1
243	века с	2	1
244	то это	1	1
245	франции и	1	1
246	выходит за	3	1
247	ничем не	1	1
248	и разложения	1	1
249	как другие	1	1
250	что этот	1	1
251	отличие от	3	1
252	по всем	1	1
253	и всеми	1	1
254	мир в	4	1
255	от жизни	1	1
256	нет ни	2	1
257	же и	2	1
258	конечно есть	1	1
259	нельзя сказать	1	1
260	они не	5	1
261	из них	5	1
262	к ней	2	1
263	на нем	2	1
264	будущее и	2	1
265	значение становится	1	1
266	к природе	2	1
267	жить в	1	1
268	также что	1	1
269	и сейчас	2	1
270	свидетельствует о	1	1
271	он также	1	1
272	мы уже	13	1
273	жизни а	1	1
274	которая в	2	1
275	переходит в	3	1
276	и философы	1	1
277	уже в	1	1
278	во власти	1	1
279	еще по	1	1
280	в свою	1	1
281	в значительной	2	1
282	от мира	2	1
283	из этих	4	1
