N	4gram	Propp_Morf	Problema
1	и тем не менее	2	15
2	не что иное как	2	14
3	в то время как	3	12
4	есть не что иное	1	11
5	и т д и	1	9
6	не имеет ничего общего	1	9
7	то это значит что	1	6
8	бы то ни было	2	6
9	во что бы то	1	4
10	что бы то ни	1	4
11	в собственном смысле слова	3	4
12	одно и то же	1	4
13	ни в коем случае	1	4
14	точно так же и	1	4
15	в связи с этим	4	4
16	бы то ни стало	1	4
17	в тех случаях когда	2	3
18	это не значит что	2	3
19	как мы увидим ниже	4	3
20	то во всяком случае	1	3
21	с этой точки зрения	1	3
22	в настоящее время уже	1	3
23	в том что он	1	3
24	прежде чем перейти к	1	3
25	говорить о том что	2	3
26	все более и более	1	2
27	один и тот же	1	2
28	только в том случае	1	2
29	и т д все	1	2
30	если это так то	1	2
31	в этом случае он	1	2
32	но если это так	2	2
33	о том что такое	1	1
34	друг к другу и	2	1
35	и т д можно	1	1
36	в точном смысле слова	1	1
37	и т д в	2	1
38	в то же время	1	1
39	и в других случаях	1	1
40	как и в других	2	1
41	похожи друг на друга	1	1
42	иметь в виду следующее	1	1
43	но это и не	1	1
44	и т д здесь	1	1
45	а в другом случае	1	1
46	что это и не	1	1
47	в этих случаях не	1	1
48	в том что все	1	1
49	до сих пор не	1	1
50	друг на друга что	1	1
51	в том случае когда	1	1
52	состоит в том что	3	1
53	в том или другом	1	1
54	в том случае если	2	1
55	как мы уже видели	1	1
56	на те или иные	1	1
57	и т д это	1	1
58	на то что в	1	1
59	не может быть и	1	1
60	с точки зрения их	1	1
61	о которых говорилось выше	1	1
62	вопрос о том как	1	1
63	действующих лиц в этой	1	1
64	а на самом деле	1	1
65	в коем случае не	1	1
66	указанием на то что	1	1
67	можно было бы сказать	1	1
68	же в этих случаях	1	1
69	с теми или другими	1	1
70	во всех этих случаях	1	1
71	здесь как и в	1	1
