N	4gram	Ircho_Kome	Analitik
1	в то же время	11	14
2	состоит в том что	1	7
3	одного и того же	1	6
4	обращает на себя внимание	3	4
5	бы то ни было	3	3
6	той мере в какой	1	2
7	с этой точки зрения	1	2
8	в той мере в	1	2
9	который в свою очередь	1	2
10	в тех случаях когда	1	2
11	не говоря уже о	2	2
12	одних и тех же	1	2
13	один и тот же	3	2
14	и к тому же	2	2
15	к тому же в	1	2
16	и в том что	1	1
17	лицом к лицу с	1	1
18	каков бы ни был	1	1
19	мы имеем в виду	2	1
20	и в этом случае	1	1
21	и в самом деле	7	1
22	если бы он был	1	1
23	в этом случае в	1	1
24	до тех пор пока	1	1
25	подобно тому как мы	1	1
26	к тому же не	1	1
27	и все же если	1	1
28	тем не менее в	1	1
29	на себя внимание в	1	1
30	только в том что	1	1
31	в самом деле не	1	1
32	то же самое что	1	1
33	и там и здесь	3	1
34	в том числе и	2	1
35	состоит в том чтобы	1	1
36	на себя внимание что	1	1
37	несмотря на то что	1	1
38	не следует забывать что	1	1
39	в собственном смысле слова	1	1
40	о своей любви к	1	1
41	в ответ на слова	1	1
42	не следует думать что	1	1
43	по отношению ко всем	1	1
44	как и вся его	1	1
45	в самом его конце	1	1
46	не выходят за пределы	1	1
47	у меня в доме	1	1
48	на этот раз не	1	1
49	но и в том	1	1
