N	2gram	Berdyaev_V	Problemy
1	и в	16	106
2	и не	20	90
3	как бы	5	70
4	может быть	1	66
5	в его	4	56
6	в этом	4	52
7	в нем	4	51
8	как и	4	44
9	что он	4	44
10	но и	5	40
11	для него	2	39
12	а не	7	38
13	то же	1	36
14	не только	2	36
15	то что	9	33
16	но в	3	33
17	прежде всего	2	32
18	все это	5	29
19	и все	4	28
20	в одном	1	27
21	не в	3	27
22	в самом	1	25
23	и с	1	25
24	к нему	1	25
25	и т	2	25
26	вовсе не	1	24
27	и на	1	23
28	что я	3	22
29	как мы	1	21
30	все же	1	20
31	никогда не	3	20
32	только в	2	20
33	потому что	4	20
34	что в	3	19
35	с его	3	19
36	уже не	2	18
37	еще не	8	18
38	но не	2	18
39	все эти	3	18
40	с ним	2	17
41	а в	2	17
42	в том	3	17
43	это не	2	17
44	так и	4	17
45	так же	1	16
46	в своей	3	16
47	о мире	1	15
48	у него	1	15
49	и для	3	15
50	и сам	2	14
51	в своем	1	14
52	в конце	3	14
53	так как	9	14
54	я не	1	14
55	лишь в	3	14
56	но все	1	13
57	на него	1	13
58	в мире	5	13
59	и это	2	13
60	себя и	1	13
61	в целом	1	13
62	к тому	3	12
63	во всяком	2	12
64	в котором	4	12
65	что и	3	12
66	себе и	1	12
67	и что	3	12
68	между тем	2	12
69	как в	1	12
70	том что	2	12
71	но это	3	12
72	ничего не	1	12
73	тем что	2	11
74	их в	3	11
75	с другой	1	11
76	должно быть	3	11
77	это слово	1	11
78	бы в	1	11
79	в форме	2	11
80	не могут	2	11
81	бы и	3	11
82	этого слова	1	11
83	она не	1	11
84	конце концов	1	11
85	в речах	1	10
86	что не	4	10
87	свой предмет	1	10
88	для себя	1	10
89	слова с	1	10
90	как не	3	10
91	лишь как	1	10
92	отношение к	1	10
93	другой стороны	1	9
94	в них	3	9
95	хотя бы	3	9
96	ивана карамазова	2	9
97	хотя и	5	9
98	могут быть	2	9
99	ни в	3	9
100	да и	2	9
101	раз и	1	9
102	и потому	7	9
103	человека в	1	9
104	же и	1	8
105	в результате	1	8
106	и до	1	8
107	мы увидим	1	8
108	но как	1	8
109	и от	1	8
110	должна быть	3	8
111	что это	1	8
112	в человеке	1	8
113	с ними	1	8
114	и так	1	8
115	уже в	1	8
116	того что	5	8
117	менее всего	1	8
118	от него	2	7
119	в виду	1	7
120	в жизни	3	7
121	вопрос о	1	7
122	в себя	2	7
123	что все	4	7
124	что они	7	7
125	не было	3	7
126	лишь на	1	7
127	в этих	3	7
128	во всех	3	7
129	то ни	1	7
130	с которым	1	7
131	его к	2	7
132	и ее	1	7
133	бы то	1	7
134	его с	1	7
135	в процессе	1	7
136	его и	2	7
137	т д	2	7
138	тот же	3	7
139	в их	1	7
140	все равно	2	7
141	в виде	1	7
142	мира и	1	7
143	не ты	1	7
144	что было	2	6
145	во всем	1	6
146	него в	1	6
147	в своих	1	6
148	и нет	1	6
149	превращается в	3	6
150	конечно не	2	6
151	этого мира	3	6
152	одна из	2	6
153	человек и	1	6
154	на этом	1	6
155	а с	2	6
156	человека как	2	6
157	можно было	2	6
158	в этой	1	6
159	я в	1	6
160	и самое	1	6
161	за ним	3	6
162	в которых	1	6
163	зависимости от	1	6
164	и вот	1	6
165	и во	2	6
166	но с	1	6
167	жизни и	3	6
168	с тем	2	5
169	мир и	2	5
170	а между	2	5
171	него не	1	5
172	крайней мере	1	5
173	этот мир	1	5
174	на себя	5	5
175	в чем	3	5
176	когда я	2	5
177	если б	1	5
178	что ты	3	5
179	это он	1	5
180	один из	2	5
181	в последнем	2	5
182	то есть	1	5
183	вместе с	1	5
184	по крайней	1	5
185	мы не	2	5
186	в мир	1	5
187	нет и	2	5
188	в ее	1	5
189	и то	2	5
190	они не	1	5
191	между собою	1	5
192	как можно	1	5
193	в ней	4	5
194	есть и	1	5
195	же что	1	5
196	тому что	3	5
197	мира в	2	5
198	является в	2	4
199	все что	4	4
200	мы и	2	4
201	с этой	1	4
202	в духе	2	4
203	в одно	1	4
204	то это	3	4
205	он был	1	4
206	уже и	1	4
207	находится в	1	4
208	от них	1	4
209	на котором	1	4
210	все в	1	4
211	не была	1	4
212	в которой	1	4
213	и говорит	1	4
214	сознания не	1	4
215	и своего	1	4
216	не есть	6	4
217	оно не	3	4
218	если оно	1	4
219	этих трех	3	4
220	и утверждения	1	4
221	им и	1	4
222	в едином	1	4
223	теперь в	1	4
224	если не	3	4
225	великого инквизитора	36	4
226	в словах	1	4
227	то и	1	4
228	и если	1	4
229	на два	1	4
230	сознании и	1	4
231	о своем	1	4
232	к миру	1	4
233	только слово	1	4
234	что оно	1	4
235	тоже не	1	4
236	хоть и	1	4
237	перестает быть	1	4
238	слова не	1	4
239	бы ни	1	4
240	это как	1	4
241	конечно в	1	4
242	это в	1	4
243	таким же	1	4
244	с которыми	1	3
245	говорить о	4	3
246	в нашу	1	3
247	о чем	1	3
248	говорит о	1	3
249	но что	1	3
250	жизнь в	1	3
251	есть то	1	3
252	и вообще	1	3
253	всего в	2	3
254	мы видим	1	3
255	я ничего	1	3
256	чем у	1	3
257	это очень	1	3
258	пути и	1	3
259	к чему	3	3
260	будто бы	1	3
261	в изображении	1	3
262	иван карамазов	1	3
263	и мир	1	3
264	могли бы	1	3
265	материалом для	2	3
266	в вечность	1	3
267	и мы	3	3
268	и есть	4	3
269	значение в	1	3
270	и по	1	3
271	так ли	1	3
272	с внутренним	1	3
273	от этой	1	3
274	кто же	1	3
275	только себя	1	3
276	я тогда	1	3
277	слова которое	1	3
278	на нее	1	3
279	себя за	1	3
280	того чтобы	2	3
281	это все	2	3
282	и уже	1	3
283	говорят что	1	3
284	им в	1	3
285	в сознании	1	3
286	же ты	3	3
287	того как	1	3
288	ненависть к	1	3
289	б и	1	3
290	не для	1	3
291	тут не	1	3
292	ее в	2	3
293	и всегда	1	3
294	у нас	1	3
295	кто бы	1	3
296	мы будем	1	3
297	со словами	1	3
298	места в	1	3
299	или даже	1	3
300	и могут	1	3
301	чтобы сделать	2	3
302	а к	2	3
303	он говорит	1	3
304	а его	1	3
305	не с	2	3
306	нового времени	1	3
307	человека и	6	3
308	карамазова и	1	3
309	что на	1	3
310	и эта	1	3
311	бытия в	1	3
312	и другие	1	2
313	но может	1	2
314	и очень	1	2
315	а ты	1	2
316	самого себя	2	2
317	которая в	1	2
318	любовь к	3	2
