N	2gram	Vygotskiy_	VrazhdaK
1	не только	36	9
2	в этом	47	8
3	и в	47	8
4	и что	14	8
5	что в	23	7
6	и все	5	7
7	но и	19	7
8	то что	40	7
9	о нем	1	6
10	как и	19	6
11	и даже	3	6
12	и с	5	6
13	все же	7	6
14	в котором	6	6
15	в начале	6	6
16	в нем	6	6
17	но в	9	6
18	то же	16	5
19	у него	2	5
20	и не	27	5
21	между тем	2	5
22	об этом	4	5
23	не было	1	5
24	же время	1	5
25	в то	10	5
26	это не	6	4
27	при этом	4	4
28	несмотря на	2	4
29	с ним	5	4
30	для нас	4	4
31	все это	5	4
32	в виду	5	4
33	в своих	2	4
34	что он	13	4
35	уже в	3	4
36	о том	5	4
37	может быть	20	4
38	в ней	5	4
39	целый ряд	6	4
40	в истории	1	4
41	как бы	13	4
42	так же	26	4
43	что у	4	3
44	в его	7	3
45	в том	38	3
46	его в	7	3
47	раз в	4	3
48	связи с	4	3
49	мысль на	1	3
50	но он	3	3
51	в связи	1	3
52	я не	3	3
53	и как	7	3
54	далеко не	1	3
55	тем что	14	3
56	речь идет	1	3
57	в чем	5	3
58	и у	1	3
59	человека в	1	3
60	эти слова	1	3
61	том что	28	3
62	в этот	3	3
63	он не	5	3
64	и уже	1	3
65	я хотел	1	3
66	в конце	5	3
67	и о	4	3
68	наряду с	2	3
69	что есть	2	3
70	одним из	3	3
71	в своем	3	3
72	на то	5	3
73	с его	1	3
74	и его	14	3
75	к этому	2	3
76	по нашему	1	3
77	и во	5	3
78	в той	7	2
79	таким образом	38	2
80	начиная с	1	2
81	об их	1	2
82	и то	10	2
83	ответ на	3	2
84	и он	4	2
85	в момент	4	2
86	время и	1	2
87	его с	3	2
88	мы знаем	5	2
89	с точки	31	2
90	для него	6	2
91	его и	2	2
92	о чем	8	2
93	как раз	6	2
94	о которой	2	2
95	в них	3	2
96	как же	1	2
97	же в	1	2
98	отношения к	5	2
99	его на	1	2
100	их в	2	2
101	же как	14	2
102	в своей	4	2
103	рядом с	2	2
104	вместе с	19	2
105	в это	1	2
106	в известном	2	2
107	не менее	6	2
108	и это	2	2
109	к типу	1	2
110	на первый	1	2
111	еще не	5	2
112	сказал он	2	2
113	но как	3	2
114	а с	3	2
115	это в	2	2
116	в свою	3	2
117	на основе	5	2
118	в этой	7	2
119	в нашей	4	2
120	что к	1	2
121	человека с	1	2
122	при помощи	1	2
123	а в	3	2
124	на это	1	2
125	к ним	1	2
126	отношение к	8	2
127	в одну	2	2
128	уже не	1	2
129	из них	2	2
130	в себе	14	2
131	что я	1	2
132	в глазах	1	2
133	не может	23	2
134	место в	1	2
135	с которым	1	2
136	столь же	2	2
137	том же	7	2
138	точки зрения	39	2
139	тем более	1	2
140	одна из	2	2
141	в период	2	2
142	он сам	2	2
143	на место	1	2
144	в эти	1	2
145	отнюдь не	2	2
146	но это	4	2
147	во время	2	2
148	не мог	2	2
149	и ее	3	2
150	пришел к	1	2
151	никогда не	7	2
152	могли быть	2	2
153	жизнь его	2	1
154	к сожалению	1	1
155	говорит достоевский	1	1
156	в самом	15	1
157	с большими	1	1
158	во всем	4	1
159	то в	4	1
160	как к	4	1
161	именно к	1	1
162	так и	8	1
163	что они	11	1
164	в литературе	1	1
165	все что	7	1
166	другой не	1	1
167	для всех	2	1
168	до сих	6	1
169	один из	3	1
170	еще раз	1	1
171	короче говоря	2	1
172	можно говорить	2	1
173	и этот	1	1
174	ему в	1	1
175	из которых	3	1
176	приближается к	1	1
177	по всем	1	1
178	ближе к	2	1
179	они не	2	1
180	этот закон	2	1
181	только что	7	1
182	этот процесс	1	1
183	если в	6	1
184	также что	1	1
185	развитие в	1	1
186	и тотчас	1	1
187	того как	6	1
188	к этой	2	1
189	н и	1	1
190	в основном	4	1
191	знать и	1	1
192	об одном	4	1
193	еще до	1	1
194	мы начали	1	1
195	что уже	2	1
196	предположение что	1	1
197	он как	1	1
198	дает нам	1	1
199	еще более	1	1
200	предположить что	1	1
201	из всех	5	1
202	что общие	1	1
203	что это	7	1
204	хотя и	4	1
205	а это	2	1
206	воспоминания о	1	1
207	он и	1	1
208	и из	2	1
209	в ее	7	1
210	целого ряда	1	1
211	только не	14	1
212	того что	27	1
213	в недрах	1	1
214	в другой	4	1
215	чем у	3	1
216	в качестве	9	1
217	нас в	4	1
218	не являются	1	1
219	и психологическое	3	1
220	прежде всего	9	1
221	этот пробел	1	1
222	это слово	1	1
223	говорилось в	1	1
224	другой стороны	3	1
225	быть может	1	1
226	в этих	2	1
227	но на	3	1
228	в их	4	1
229	о своем	2	1
230	все равно	2	1
231	мы находим	3	1
232	что слово	2	1
233	предстоит еще	1	1
234	тому же	2	1
235	но с	4	1
236	и самые	2	1
237	без всяких	1	1
238	ко всем	6	1
239	что поэзия	1	1
240	не ясно	1	1
241	только иллюзия	1	1
242	а о	1	1
243	самим собой	2	1
244	этого не	1	1
245	из двух	3	1
246	как по	5	1
247	в одном	4	1
248	что за	1	1
249	во внимание	1	1
250	в другую	3	1
251	следует рассматривать	1	1
252	еще в	3	1
253	как при	1	1
254	но не	13	1
255	у людей	1	1
256	но вот	1	1
257	но для	2	1
258	за тем	1	1
259	если это	1	1
260	именно в	9	1
261	как новый	1	1
262	то время	8	1
263	представление о	8	1
264	в таком	2	1
265	в процессе	12	1
266	нам не	1	1
267	сходство с	1	1
268	пор мы	1	1
269	только два	1	1
270	внимание в	1	1
271	более что	1	1
272	мы получаем	1	1
273	как говорит	6	1
274	но ведь	1	1
275	правда в	1	1
276	ясно что	4	1
277	н м	2	1
278	также в	1	1
279	начинается с	2	1
280	в соответствии	1	1
281	себя как	1	1
282	такие же	1	1
283	об отношениях	1	1
284	не есть	4	1
285	не переставал	1	1
286	каким-то образом	1	1
287	как в	7	1
288	переставал любить	1	1
289	оказалось что	1	1
290	следовательно и	1	1
291	ли не	3	1
292	по своему	11	1
293	и я	1	1
294	никто не	2	1
295	но у	1	1
296	между обоими	2	1
297	отличается от	6	1
298	в свете	9	1
299	он одновременно	1	1
300	о котором	1	1
301	том как	2	1
302	в условиях	1	1
303	это было	2	1
304	из которого	3	1
305	это никогда	1	1
306	в сторону	1	1
307	возникает вопрос	2	1
308	достоевского который	1	1
309	по характеру	1	1
310	не имеет	6	1
311	ничего общего	1	1
312	но мы	5	1
313	полагает что	2	1
314	тем не	4	1
315	что тот	1	1
316	раз и	1	1
317	под влиянием	1	1
318	что как	2	1
319	на старом	1	1
320	сих пор	6	1
321	при виде	1	1
322	и вообще	3	1
323	гораздо больше	3	1
324	года и	1	1
325	совершенно прав	1	1
326	не был	1	1
327	с первого	1	1
328	на них	1	1
329	нашему мнению	2	1
330	этому же	2	1
331	жизнь и	1	1
332	с этим	5	1
333	еще один	2	1
334	во всех	9	1
335	до того	2	1
336	во всяком	2	1
337	только от	1	1
338	это и	7	1
339	было не	1	1
340	выражение в	6	1
341	все основания	1	1
342	того в	1	1
343	за шагом	1	1
344	первый план	1	1
345	знаем о	2	1
346	выше и	1	1
347	в мысли	7	1
348	не могли	5	1
349	мыслей и	2	1
350	к в	1	1
351	что этот	6	1
352	ему нужно	2	1
353	и написал	2	1
354	которой он	2	1
355	ли это	1	1
356	объяснить то	1	1
357	что исследователи	1	1
358	это как	1	1
359	тотчас же	1	1
360	полагали что	1	1
361	совпадает с	5	1
362	на той	1	1
363	но при	1	1
364	говорить не	1	1
365	потому что	26	1
366	целью в	1	1
367	шаг за	1	1
368	также и	2	1
369	одну из	2	1
370	и речи	19	1
371	совсем не	2	1
372	он часто	1	1
373	именно этот	1	1
374	нельзя не	2	1
375	анализу в	1	1
376	обратился к	1	1
377	только как	2	1
378	тех пор	1	1
379	к своей	1	1
380	в ответ	3	1
381	позволяет нам	3	1
382	в развитии	27	1
383	во второй	5	1
384	существуют в	1	1
385	с помощью	18	1
386	в частности	4	1
387	одним словом	2	1
388	и лишь	1	1
389	что мог	1	1
390	но зато	1	1
391	нужно было	4	1
392	не могло	3	1
393	увидел что	1	1
394	но они	1	1
395	и их	7	1
396	говорить о	1	1
397	он хочет	1	1
398	не с	3	1
399	что эта	7	1
400	одно и	3	1
401	отношении к	4	1
402	не об	1	1
403	всех этих	1	1
404	хотя в	1	1
405	точно так	3	1
406	как он	1	1
407	один раз	4	1
408	не могла	2	1
409	в форме	1	1
410	и другом	3	1
411	этот факт	4	1
412	только слова	1	1
413	этом смысле	2	1
414	тем самым	14	1
415	привела к	1	1
416	проникнуть в	1	1
417	что ее	2	1
418	по своей	12	1
419	от того	6	1
420	в обоих	1	1
421	в каком	2	1
422	свою очередь	3	1
423	голос и	1	1
424	через него	1	1
425	и можно	1	1
426	его отношение	2	1
427	и т.д	4	1
428	идет о	3	1
429	этот период	2	1
430	как известно	6	1
431	с другой	7	1
432	было бы	12	1
433	как эта	3	1
