N	4gram	Vygotskiy_	VeschiIm
1	не что иное как	2	12
2	бы то ни было	1	12
3	и т д и	1	11
4	т д и т	1	10
5	д и т д	1	10
6	одно и то же	3	5
7	с этой точки зрения	3	4
8	ни в каком случае	1	4
9	дело в том что	2	4
10	в то же время	1	4
11	в то время как	4	4
12	указывает на то что	3	3
13	это значило бы что	1	3
14	заключается в том что	6	2
15	если это так то	1	2
16	то с чем мы	1	2
17	в том что он	2	2
18	что оно есть не	1	2
19	но если это так	1	2
20	и как раз в	1	1
21	так как она есть	2	1
22	и в самом деле	2	1
23	какой бы то ни	1	1
24	и даже больше того	1	1
25	не только то что	1	1
26	только в зависимости от	1	1
27	что с точки зрения	1	1
28	решить вопрос о том	2	1
29	с одной стороны и	1	1
30	ни о чем не	1	1
31	мы видим таким образом	2	1
32	одного и того же	2	1
33	когда она еще не	1	1
34	оно есть не просто	1	1
35	но уже сейчас мы	1	1
36	сами по себе совершенно	1	1
37	что они находятся в	1	1
38	из того что мы	1	1
39	том что он не	1	1
40	сам по себе то	1	1
41	которое вкладывает в нее	1	1
42	никак не может быть	1	1
43	видим таким образом что	2	1
44	заключается в том чтобы	2	1
45	когда мы говорили о	1	1
46	один и тот же	1	1
