N	3gram	Propp_Russ	VerxiiNi
1	вместе с тем	10	8
2	с одной стороны	1	7
3	с точки зрения	3	6
4	во всяком случае	1	6
5	друг с другом	1	5
6	для того чтобы	6	5
7	более или менее	1	5
8	но все же	2	4
9	о том что	6	4
10	в том что	27	3
11	и таким образом	1	3
12	так же как	5	3
13	всяком случае не	1	3
14	в связи с	4	3
15	точно так же	1	3
16	а так как	1	3
17	тем не менее	3	3
18	ничего общего с	1	2
19	некоторые из них	1	2
20	и потому что	2	2
21	те и другие	1	2
22	и связанные с	2	2
23	с тем и	3	2
24	не только для	1	2
25	на то что	2	2
26	что и те	1	2
27	таким образом в	1	2
28	с одним из	1	2
29	но вместе с	3	2
30	мы должны признать	1	2
31	можно сказать что	1	2
32	в этом отношении	1	2
33	и в этом	2	2
34	может быть и	3	2
35	мы видели что	1	1
36	не совсем так	1	1
37	но и как	1	1
38	и некоторые другие	2	1
39	что здесь имеется	1	1
40	связанные с ним	1	1
41	потому что в	1	1
42	не потому что	1	1
43	сказать что в	1	1
44	в свою очередь	2	1
45	в одном и	1	1
46	а между тем	1	1
47	в настоящее время	3	1
48	что в течение	1	1
49	не отличаются от	1	1
50	иметь в виду	2	1
51	как видно из	1	1
52	и в китае	1	1
53	религии в которых	1	1
54	а вместе с	1	1
55	и том же	1	1
56	ни с одним	1	1
57	мы видим что	1	1
58	есть один из	1	1
59	не может быть	1	1
60	по отношению к	1	1
61	данном случае мы	1	1
62	так как по	1	1
63	в данном случае	7	1
64	в разные стороны	1	1
65	в отличие от	4	1
66	в этой роли	1	1
67	к которому восходят	1	1
68	после того как	3	1
69	с ней и	1	1
70	как бы олицетворение	1	1
71	в первую очередь	1	1
72	уже не имеет	1	1
73	что в этом	2	1
74	и того же	1	1
75	как эти боги	1	1
76	не более как	1	1
77	не может не	1	1
78	том что они	1	1
79	с тем что	1	1
80	связан и другой	1	1
81	в связь с	1	1
82	его уже не	1	1
83	могут рассматриваться как	1	1
84	того момента когда	1	1
85	и на то	1	1
86	в таком случае	1	1
87	в одном из	1	1
88	но и потому	1	1
89	а следовательно и	1	1
90	так как эти	1	1
91	состоит в том	16	1
92	несмотря на все	1	1
93	в чем именно	1	1
94	во всех других	1	1
95	тем и другим	1	1
96	но тем не	2	1
97	одном из своих	1	1
98	одном и том	1	1
99	в то время	3	1
100	при этом не	1	1
101	только тогда когда	3	1
102	сливаются в одно	1	1
103	это и есть	1	1
104	что и в	1	1
105	не только как	1	1
106	его жизнь в	1	1
107	и во время	1	1
108	но не с	1	1
109	с этого момента	2	1
110	греков и римлян	1	1
111	одного и того	1	1
112	на первое место	1	1
113	друг к другу	2	1
