N	2gram	Tiupa_Narr	Sotsiolo
1	в том	18	5
2	в этом	17	5
3	не только	32	3
4	как же	1	3
5	не в	14	3
6	и в	19	3
7	и только	2	3
8	в его	9	3
9	для нас	1	3
10	их между	1	2
11	что в	3	2
12	то что	11	2
13	таким образом	1	2
14	том что	14	2
15	или даже	2	2
16	дело не	1	2
17	как бы	4	2
18	в результате	2	2
19	было бы	4	2
20	как будто	3	2
21	в смысле	1	2
22	очевидно что	1	2
23	в частности	14	2
24	но и	23	2
25	может быть	25	2
26	по существу	2	2
27	она может	2	2
28	это и	3	2
29	по отношению	7	2
30	в конце	1	2
31	как только	1	2
32	отношению к	6	2
33	должна быть	2	2
34	далеко не	5	2
35	тем более	2	2
36	только в	4	2
37	к которому	2	2
38	то же	4	2
39	еще не	7	2
40	как то	1	1
41	а в	11	1
42	что он	6	1
43	в конечном	3	1
44	столь же	3	1
45	не желая	1	1
46	даже в	2	1
47	на что	1	1
48	быть не	1	1
49	в целом	1	1
50	в силу	4	1
51	исторического характера	1	1
52	более не	2	1
53	все эти	2	1
54	настаивает на	1	1
55	не было	2	1
56	когда мы	2	1
57	связи с	4	1
58	точке зрения	1	1
59	кто не	1	1
60	только то	1	1
61	не мешает	1	1
62	в мире	9	1
63	и потому	2	1
64	дает нам	1	1
65	все же	7	1
66	что это	3	1
67	от друга	1	1
68	по крайней	1	1
69	с другой	8	1
70	ни на	1	1
71	это же	1	1
72	могло и	1	1
73	с ним	1	1
74	между тем	3	1
75	собой не	2	1
76	о художественных	1	1
77	и более	1	1
78	но как	2	1
79	в этой	5	1
80	время в	2	1
81	и его	5	1
82	опираясь на	1	1
83	только когда	1	1
84	именно такого	1	1
85	в данном	5	1
86	в области	2	1
87	и по	1	1
88	их на	1	1
89	же самое	1	1
90	этом не	1	1
91	один из	3	1
92	так и	9	1
93	в то	3	1
94	может не	3	1
95	в котором	1	1
96	те же	4	1
97	между собой	2	1
98	мы переходим	1	1
99	отнюдь не	5	1
100	и не	20	1
101	но она	1	1
102	иначе говоря	6	1
103	он ни	1	1
104	к изучению	1	1
105	но не	6	1
106	может служить	1	1
107	они не	2	1
108	в него	1	1
109	благодаря этому	1	1
110	их друг	1	1
111	прежде всего	4	1
112	тем что	3	1
113	друг от	1	1
114	что данный	1	1
115	утверждает в	1	1
116	в чем	1	1
117	а с	3	1
118	же не	4	1
119	не дает	1	1
120	тех кто	1	1
121	в сущности	3	1
122	в область	2	1
123	конечном счете	2	1
124	его в	2	1
125	не от	2	1
126	зависит от	2	1
127	представляется нам	1	1
128	крайней мере	1	1
129	тотчас же	1	1
130	в процессе	1	1
131	новое и	1	1
132	вовсе не	1	1
133	даже не	3	1
134	с одной	7	1
135	и наконец	1	1
136	для изучения	1	1
137	о том	6	1
138	мы не	1	1
139	но именно	1	1
140	у него	4	1
141	по себе	5	1
142	на первый	2	1
143	могут оказаться	1	1
144	перед нами	4	1
145	бы он	1	1
146	это дает	1	1
147	все то	2	1
148	хотя бы	4	1
149	же время	4	1
150	наконец в	2	1
151	что на	2	1
152	это не	2	1
153	одной стороны	7	1
154	в связи	2	1
155	именно в	6	1
156	никогда не	3	1
157	и есть	2	1
158	не может	10	1
159	между ними	2	1
160	и как	5	1
161	жанр как	1	1
162	что все	1	1
163	место в	1	1
164	как и	7	1
165	сколь и	1	1
166	ничего не	2	1
167	но стоит	1	1
168	в них	1	1
