N	2gram	Vinokur_Ku	IolandNe
1	и с	11	3
2	что в	25	2
3	самого себя	1	2
4	он не	4	2
5	должен быть	8	2
6	бы что	1	2
7	ничего не	6	2
8	и не	23	2
9	в этом	31	2
10	говорить о	5	1
11	все эти	17	1
12	для того	23	1
13	а в	7	1
14	и о	3	1
15	же это	2	1
16	к нам	1	1
17	понятий и	1	1
18	утверждает что	1	1
19	это было	2	1
20	у всех	1	1
21	и со	1	1
22	что для	3	1
23	для него	2	1
24	не здесь	1	1
25	стали бы	1	1
26	тех же	2	1
27	тем что	9	1
28	чтобы доказать	1	1
29	не случайно	7	1
30	только что	2	1
31	от нее	1	1
32	а если	5	1
33	того же	6	1
34	с а	1	1
35	нам в	1	1
36	не так	2	1
37	и др	1	1
38	первую очередь	3	1
39	жизни и	1	1
40	и идей	1	1
41	с другой	14	1
42	в целом	5	1
43	более чем	1	1
44	точно и	1	1
45	очевидно что	4	1
46	другой стороны	12	1
47	я не	5	1
48	себя в	1	1
49	слишком много	1	1
50	могло бы	1	1
51	то и	4	1
52	после смерти	1	1
53	и еще	4	1
54	в первую	5	1
55	как только	2	1
56	если бы	21	1
57	отношению к	9	1
58	в руки	1	1
59	следующим образом	1	1
60	доказать что	3	1
61	по существу	9	1
62	и сам	1	1
63	того что	11	1
64	них не	1	1
65	а с	3	1
66	только для	3	1
67	по поводу	2	1
68	так то	1	1
69	а также	3	1
70	так и	10	1
71	следовательно в	1	1
72	от этого	4	1
73	его ученики	1	1
74	того чтобы	25	1
75	и без	2	1
76	другое дело	2	1
77	бы в	8	1
78	и ничего	1	1
79	не дает	1	1
80	а по	1	1
81	есть только	1	1
82	факты и	2	1
83	и в	44	1
84	никогда не	2	1
85	все это	10	1
86	по отношению	9	1
87	нисколько не	6	1
88	как о	2	1
89	то она	2	1
90	в них	10	1
91	во многом	2	1
