N	3gram	Medvedev_V	Problema
1	о том что	3	39
2	в том что	5	37
3	и т д	16	33
4	то же самое	1	30
5	в связи с	4	29
6	в данном случае	1	28
7	той или иной	1	26
8	по крайней мере	2	26
9	во всяком случае	2	25
10	с другой стороны	8	25
11	в таком случае	1	23
12	в конце концов	2	23
13	сама по себе	1	21
14	на то что	1	19
15	в этом смысле	1	19
16	для того чтобы	3	17
17	в то же	5	17
18	как будто бы	1	14
19	до сих пор	2	14
20	в этом случае	1	14
21	ничего общего с	1	13
22	сами по себе	1	13
23	того или иного	1	13
24	можно было бы	2	13
25	не может быть	8	12
26	но даже и	1	12
27	так или иначе	1	12
28	можно сказать что	4	12
29	в то время	1	12
30	то время как	1	12
31	тех или иных	1	11
32	с одной стороны	2	11
33	в той или	1	10
34	не только не	2	10
35	даже и не	1	10
36	вместе с тем	4	10
37	более или менее	6	10
38	только то что	2	10
39	не только в	2	10
40	по этому поводу	7	9
41	имеет ничего общего	1	9
42	не имеет ничего	1	9
43	не говоря уже	1	9
44	может быть и	1	9
45	только в том	2	8
46	это вовсе не	1	8
47	только тогда когда	1	8
48	мы не будем	1	8
49	о том как	3	7
50	говоря уже о	1	7
51	к тому же	1	7
52	чем иным как	1	7
53	те или иные	1	7
54	но и в	1	7
55	может быть даже	1	7
56	то или иное	1	7
57	не чем иным	1	7
58	иметь в виду	2	7
59	в этой области	3	7
60	в том или	1	7
61	в значительной мере	3	7
62	хотя и не	1	7
63	это и есть	3	7
64	тот или иной	1	7
65	в самом деле	1	6
66	и тем более	1	6
67	и то же	1	6
68	это то что	1	6
69	ни в какой	1	6
70	то что в	1	6
71	или иной мере	1	6
72	даже и в	1	6
73	в том смысле	1	6
74	в этом отношении	14	6
75	хотя бы и	5	5
76	имеем в виду	1	5
77	так же как	1	5
78	та или иная	3	5
79	том смысле что	1	5
80	того или другого	1	5
81	в том числе	2	5
82	уже по одному	2	5
83	в зависимости от	5	5
84	в какой мере	1	5
85	том или ином	1	5
