N	3gram	Nazirov_Vr	Vvedenie
1	в том что	2	15
2	о том что	1	13
3	не может быть	2	10
4	в этом смысле	1	10
5	тем не менее	1	9
6	до сих пор	1	7
7	в то же	4	6
8	то же время	4	6
9	с другой стороны	1	5
10	во всяком случае	1	5
11	по крайней мере	1	4
12	с точки зрения	2	4
13	в этом отношении	1	4
14	и в этом	1	4
15	не только как	1	4
16	заключается в том	1	3
17	и в самом	1	3
18	но в то	2	3
19	и то что	1	3
20	в известном смысле	1	3
21	в свою очередь	1	2
22	это сказалось в	1	2
23	и то же	1	2
24	а между тем	1	2
25	в конце концов	1	2
26	одно и то	1	2
27	точно так же	1	2
28	в соответствии с	1	2
29	что в нем	1	2
30	в связи с	3	2
31	всего то что	1	2
32	может быть и	1	2
33	о котором уже	1	1
34	что в ней	1	1
35	во внимание в	1	1
36	в том же	1	1
37	приняты во внимание	1	1
38	быть и речи	1	1
39	уже в начале	1	1
40	все равно не	1	1
41	как он сам	1	1
42	имеется в виду	1	1
43	его отношение к	1	1
44	связи с этим	1	1
45	у него в	1	1
46	но в известном	1	1
47	все же в	1	1
48	не было бы	1	1
49	именно в связи	1	1
50	как раз в	2	1
51	это не просто	1	1
52	так же как	1	1
53	в своих собственных	1	1
54	и никогда не	1	1
55	но и как	1	1
56	но в этом	1	1
57	важнее всего то	1	1
58	имел в виду	3	1
59	между прочим и	1	1
60	далеко не последнее	1	1
61	целого ряда других	1	1
62	не последнее место	1	1
63	и о которой	1	1
64	может быть применено	1	1
65	и из него	1	1
