N	2gram	Tiupa_Disk	Vvedenie
1	в том	29	38
2	в этом	29	35
3	и в	27	35
4	может быть	29	30
5	том что	27	30
6	не только	36	26
7	таким образом	4	21
8	также и	6	20
9	не может	17	19
10	то что	10	19
11	потому что	7	18
12	но также	2	16
13	только в	9	16
14	со стороны	17	16
15	о том	12	16
16	языка и	3	15
17	представляет собой	24	14
18	что в	8	13
19	в самом	4	13
20	и именно	1	13
21	и не	25	13
22	в нем	16	13
23	в его	9	12
24	того что	4	12
25	в их	5	12
26	точки зрения	6	12
27	что такое	1	12
28	как на	1	12
29	то же	12	11
30	в ее	4	11
31	по себе	3	11
32	в данном	9	11
33	этом смысле	1	11
34	как мы	2	11
35	прежде всего	17	10
36	не в	8	10
37	вопрос о	2	10
38	между тем	5	10
39	в той	2	10
40	но в	15	10
41	науки о	1	9
42	дело с	2	9
43	представляют собой	2	9
44	тем не	1	9
45	все же	8	9
46	из этих	3	9
47	но не	17	9
48	и как	9	9
49	не менее	6	9
50	в истории	5	9
51	это не	5	8
52	в качестве	45	8
53	как нечто	2	8
54	именно в	5	8
55	о котором	2	8
56	а только	1	8
57	с другой	14	8
58	и то	4	7
59	до сих	1	7
60	в большей	1	7
61	к выводу	1	7
62	как и	27	7
63	самом деле	2	7
64	но и	22	7
65	не трудно	1	7
66	сих пор	1	7
67	в разных	1	7
68	было бы	1	7
69	как бы	9	7
70	один из	3	6
71	об этом	3	6
72	этом случае	3	6
73	все это	2	6
74	не могут	2	6
75	его в	1	6
76	на этот	1	6
77	тем что	4	6
78	с тем	1	6
79	в какой	2	6
80	а именно	1	6
81	вместе с	3	6
82	в которых	5	6
83	же время	9	6
84	и это	3	6
85	так например	2	6
86	вовсе не	1	6
87	уже не	7	6
88	и даже	4	6
89	хотя бы	3	6
90	нельзя не	2	6
91	и что	2	6
92	сказать что	4	6
93	могут быть	5	6
94	том чтобы	2	6
95	но если	1	6
96	и его	4	6
97	в то	8	6
98	а в	5	6
99	н э	1	6
100	на почве	3	5
101	а потому	1	5
102	этого понятия	2	5
103	уже в	2	5
104	внимание на	5	5
105	с этой	2	5
106	хотя и	3	5
107	что и	5	5
108	в виду	2	5
109	другой стороны	5	5
110	с их	3	5
111	в них	6	5
112	в г	2	5
113	но с	1	5
114	в первом	4	5
115	одним из	2	5
116	дело в	3	5
117	что не	4	5
118	не есть	3	5
119	что он	6	5
120	одно из	4	5
121	от этого	1	5
122	по своему	3	5
123	данном случае	6	5
124	культуры в	1	5
125	во всяком	3	5
126	как уже	5	5
127	так что	1	5
128	и тем	2	5
129	а не	35	5
130	говорить о	3	5
131	дело не	3	5
132	в различных	2	5
133	и т.д	5	5
134	быть в	1	5
135	а как	1	5
136	независимо от	1	5
137	не просто	1	5
138	в целом	5	5
139	как это	2	5
140	всяком случае	2	5
141	в особенности	5	4
142	ответ на	1	4
143	этот процесс	1	4
144	с одной	12	4
145	с точки	3	4
146	этом отношении	4	4
147	о чем	4	4
148	из наиболее	2	4
149	как раз	1	4
150	в результате	3	4
151	по мере	2	4
152	в виде	1	4
153	в себе	22	4
154	особого рода	3	4
155	но все	2	4
156	из двух	5	4
157	в одном	5	4
158	в котором	7	4
159	заключается в	3	4
160	и ее	5	4
161	как она	1	4
162	в своей	10	4
163	да и	2	4
164	в чем	2	4
165	должен быть	1	4
166	к тому	6	4
167	по крайней	3	4
168	еще не	20	4
169	однако не	1	4
170	не имеет	1	4
171	времени и	5	4
172	в каждом	2	4
173	еще и	1	4
174	как о	1	4
175	и заключается	1	4
176	одной стороны	12	4
177	по отношению	13	4
178	мы имеем	4	4
179	не вполне	1	4
180	отличие от	13	4
181	в и	1	4
182	в отличие	13	4
183	в тексте	5	4
184	крайней мере	3	4
185	можно сказать	7	4
186	той же	2	4
187	отношению к	13	4
188	одной из	4	4
189	в области	3	4
190	из них	6	4
191	этого термина	2	3
192	своего рода	15	3
193	истории литературы	1	3
194	и к	4	3
195	в свое	3	3
196	с этим	3	3
197	что с	2	3
198	можно говорить	2	3
199	и на	8	3
200	как такового	1	3
201	зависит от	2	3
202	на том	2	3
203	такого рода	11	3
204	понятно что	1	3
205	при этом	22	3
206	что это	1	3
207	в основании	3	3
208	в сущности	3	3
209	говорит о	1	3
210	из которых	1	3
211	не как	5	3
212	в принципе	4	3
213	в этих	4	3
214	связи с	4	3
215	текста и	2	3
216	если бы	1	3
217	и сам	2	3
218	строгом смысле	1	3
219	а также	15	3
220	в силу	5	3
221	взгляде на	1	3
222	в конце	1	3
223	в в	1	3
224	в собственном	1	3
225	по содержанию	1	3
226	одновременно и	3	3
227	как в	16	3
228	с историей	1	3
229	большей или	2	3
230	другое дело	1	3
231	исторического знания	1	3
232	между ними	1	3
233	в известном	1	3
234	в каком	1	3
235	он мог	3	3
236	с понятием	2	3
237	той или	6	3
238	свое время	3	3
239	и того	6	3
240	литературы в	2	3
241	в конечном	2	3
242	бы и	1	3
243	культуры не	1	3
244	и других	1	3
245	все эти	2	3
246	как целое	1	3
247	и есть	2	3
248	что даже	2	3
249	на этом	3	3
250	до нас	2	3
251	стороны и	3	3
252	духовной жизни	1	3
253	своей природе	3	3
254	что же	4	3
255	в значительной	3	3
256	входит в	2	3
257	же как	1	3
258	в работе	1	3
259	в другом	5	3
260	в строгом	5	3
261	в ней	2	3
262	что представляет	2	3
263	под ней	1	3
264	области культуры	1	3
265	времени в	3	3
266	или же	1	3
267	которых не	1	3
268	во второй	1	3
269	в слове	1	3
270	в частности	18	3
271	со всей	1	3
272	только на	2	3
273	в изучении	1	3
274	или иных	1	3
275	не с	4	3
276	может служить	2	3
277	в этой	5	3
278	же самое	2	3
279	в начале	2	3
280	не следует	4	3
281	того же	5	3
282	от того	1	3
283	при помощи	1	3
284	о литературе	2	3
285	и наоборот	1	3
286	было сказано	2	3
287	или меньшей	2	3
288	отношение к	6	3
289	известном смысле	1	3
290	однако в	3	3
291	наряду с	1	3
292	только по	1	3
293	что может	1	3
294	в филологии	1	3
295	до конца	2	3
296	в своем	11	3
