N	3gram	Tiupa_Disk	Morfolog
1	в этом случае	3	10
2	не может быть	5	9
3	в связи с	1	9
4	по отношению к	13	7
5	с точки зрения	3	6
6	тем не менее	1	6
7	подобно тому как	4	5
8	с другой стороны	4	5
9	а также и	1	5
10	в том что	18	4
11	сказки о животных	2	4
12	на самом деле	1	4
13	не могут быть	1	4
14	но все же	1	4
15	на то что	1	3
16	в большинстве случаев	2	3
17	о том что	8	3
18	как и в	3	3
19	состоит в том	3	3
20	прежде всего следует	1	3
21	в том случае	1	3
22	далеко не все	1	3
23	на первый взгляд	1	3
24	в научной литературе	1	2
25	встречается и в	1	2
26	к чему не	1	2
27	о том как	1	2
28	ни к чему	1	2
29	до наших дней	1	2
30	дело не в	1	2
31	то что в	1	2
32	более или менее	2	2
33	друг на друга	1	2
34	том случае если	1	2
35	под углом зрения	1	2
36	в обоих случаях	1	2
37	это еще не	2	2
38	в данном случае	6	2
39	которое может быть	2	2
40	тех случаях когда	1	2
41	во всяком случае	2	2
42	в тех случаях	1	2
43	с одной стороны	12	2
44	в этом отношении	4	2
45	в свою очередь	3	1
46	а не от	1	1
47	к тому или	1	1
48	что далеко не	1	1
49	и даже не	1	1
50	он как бы	1	1
51	на русском языке	1	1
52	до известной степени	2	1
53	и может быть	3	1
54	лежат в основе	1	1
55	собой уже не	1	1
56	они и не	1	1
57	стремится к созданию	1	1
58	здесь как и	1	1
59	представляют собой в	1	1
60	что же касается	4	1
61	она могла бы	1	1
62	можно сказать что	3	1
63	только в том	2	1
64	и только третья	1	1
65	один из важнейших	1	1
66	далеко не всегда	1	1
67	потому что в	2	1
68	в то же	7	1
69	тех или иных	1	1
70	в качестве примера	2	1
71	и то же	2	1
72	в таком случае	1	1
73	на этом основании	1	1
74	в противном случае	1	1
75	в частности как	1	1
76	до сих пор	1	1
77	двух точек зрения	1	1
78	же время и	2	1
79	за тридевять земель	1	1
80	можно указать на	1	1
81	одно и то	2	1
82	он представляет собой	1	1
83	между собой и	1	1
84	той или иной	6	1
85	в волшебной сказке	2	1
86	так например в	1	1
87	во всех этих	1	1
88	в том или	1	1
89	не стремится к	1	1
90	с самого начала	2	1
91	том что он	1	1
92	может быть названа	1	1
93	что они хотят	1	1
94	чему не обязывающий	1	1
95	в е годы	2	1
96	но в этом	1	1
97	одновременно с этим	1	1
98	и там где	1	1
99	сюда же относятся	1	1
100	одна из них	1	1
101	к другому что	1	1
102	в другом случае	1	1
103	один из наиболее	1	1
104	в целом и	1	1
105	или во всяком	1	1
106	то что они	1	1
107	во втором случае	1	1
108	то же время	9	1
109	он не может	1	1
