N	2gram	Kanaev_Sov	Freidism
1	таким образом	11	34
2	и не	6	34
3	точки зрения	12	31
4	не может	17	30
5	и пр	2	29
6	в этом	7	28
7	может быть	12	28
8	и в	7	28
9	прежде всего	5	26
10	в его	2	25
11	и его	1	22
12	с помощью	4	20
13	мы можем	6	20
14	как бы	4	19
15	как мы	2	18
16	вовсе не	1	16
17	с точки	5	15
18	точка зрения	1	15
19	все эти	5	15
20	так как	4	15
21	с ним	1	14
22	самом деле	2	14
23	и все	3	13
24	как и	6	13
25	по отношению	1	13
26	но в	3	13
27	во всех	1	13
28	в самом	2	12
29	то же	3	12
30	ни в	1	12
31	том что	1	12
32	точку зрения	4	12
33	все это	3	12
34	и потому	3	12
35	и наконец	5	12
36	мы видели	4	12
37	только в	1	11
38	мы знаем	2	11
39	сказать что	1	11
40	отношению к	1	11
41	его в	1	11
42	все что	1	10
43	один из	1	10
44	не только	4	10
45	конечно не	1	10
46	что же	5	10
47	тот же	2	10
48	никогда не	1	10
49	в том	4	10
50	мы уже	1	10
51	он не	1	10
52	все те	2	10
53	не в	3	10
54	те же	1	9
55	уже не	2	9
56	во всяком	2	9
57	совершенно не	2	9
58	мы не	9	9
59	с его	1	9
60	к этому	1	9
61	к нему	1	9
62	а не	3	9
63	мы должны	4	9
64	могут быть	2	9
65	при этом	3	8
66	все же	3	8
67	еще не	3	8
68	с этим	2	8
69	было бы	3	8
70	знаем что	2	8
71	а в	4	8
72	по мнению	2	8
73	на этом	2	8
74	в ней	1	8
75	всяком случае	2	8
76	что в	2	7
77	и к	3	7
78	не могут	2	7
79	роль в	2	7
80	так сказать	2	7
81	если мы	4	7
82	что все	2	7
83	и для	1	7
84	из них	4	7
85	не является	1	7
86	но не	1	7
87	и у	1	7
88	с самого	3	7
89	в нем	3	7
90	быть и	2	7
91	в этой	3	7
92	в себе	3	7
93	жизни и	4	7
94	и прежде	1	7
95	в то	1	7
96	в корне	1	6
97	не менее	2	6
98	но мы	3	6
99	в свою	2	6
100	же время	1	6
101	внутреннего опыта	1	6
102	из этих	2	6
103	мы имеем	1	6
104	ни о	1	6
105	что такое	2	6
106	на самом	1	6
107	здесь в	1	6
108	чем же	1	6
109	в таком	2	6
110	она не	1	6
111	совсем не	1	6
112	и что	2	6
113	человека и	1	6
114	и только	1	6
115	не можем	7	6
116	что это	2	5
117	со всеми	2	5
118	в своих	1	5
119	главе мы	1	5
120	в процессе	1	5
121	вместе с	4	5
122	увидим что	1	5
123	говорить о	2	5
124	и до	1	5
125	и те	1	5
126	самого начала	3	5
127	что она	3	5
128	можем сказать	1	5
129	он сам	1	5
130	во внутреннем	1	5
131	той же	2	5
132	это не	4	5
133	в которой	2	5
134	между ними	1	5
135	первый период	2	5
136	и по	2	5
137	не было	1	5
138	не знает	1	5
139	внешнего опыта	1	5
140	в большинстве	1	5
141	ничего не	6	5
142	в заключение	1	5
