N	3gram	Berdyaev_N	Myshleni
1	в том что	1	133
2	так же как	2	39
3	с одной стороны	2	39
4	можно было бы	1	28
5	вместе с тем	2	26
6	с другой стороны	2	26
7	о том что	1	25
8	не может быть	4	23
9	в то время	1	22
10	в высшей степени	6	22
11	в зависимости от	1	22
12	то время как	1	20
13	в отличие от	1	18
14	во всяком случае	1	18
15	в этом смысле	2	18
16	до сих пор	1	17
17	и того же	1	17
18	одного и того	1	17
19	же как и	1	17
20	бы сказать что	1	15
21	в известном смысле	1	15
22	подобно тому как	3	14
23	это значит что	1	13
24	в том чтобы	1	12
25	в своем развитии	1	12
26	в такой же	1	11
27	такой же мере	1	10
28	том числе и	1	10
29	то что в	1	10
30	по своей природе	1	10
31	в том числе	1	10
32	как и в	1	9
33	то что он	1	8
34	не могут быть	1	8
35	по своему строению	1	8
36	и вместе с	1	7
37	вопрос о том	2	7
38	совершенно так же	1	6
39	заключает в себе	1	6
40	и не может	1	6
41	в том смысле	1	6
42	в том и	2	6
43	есть прежде всего	1	5
44	что в этом	1	5
45	сами по себе	1	5
46	мы не хотим	1	5
47	когда мы говорим	2	5
48	только потому что	1	5
49	не только в	1	5
50	к вопросу о	1	4
51	но и в	1	4
52	своей природе и	1	4
53	не знает что	1	4
54	в значительной степени	1	4
55	тому как в	1	4
56	мы говорим о	1	3
57	она не может	2	3
58	которые могут быть	1	3
59	и не могут	1	3
60	и во всех	1	3
61	и потому что	1	3
62	что он может	1	3
63	говорит что в	1	3
64	та или иная	1	3
65	я не могу	1	3
66	в основе их	1	3
67	что она не	1	2
68	что в силу	1	2
69	и к которому	1	2
70	наряду с этим	1	2
71	для себя и	1	2
72	том и заключается	2	2
73	хотим сказать что	1	2
74	в переходе от	1	2
75	не может остаться	1	2
76	мы говорим что	1	2
77	не только потому	1	2
78	выходит за пределы	1	2
79	не хотим сказать	1	2
80	он не может	2	2
81	в том случае	1	2
82	хотя и в	1	2
83	в большинстве случаев	1	2
84	и в высшей	1	2
85	том случае если	1	2
86	что совершается в	1	2
87	и на их	1	2
88	сказать что все	1	1
89	он не имеет	2	1
90	от того чтобы	1	1
91	но я могу	1	1
92	для этого она	1	1
93	переход к новому	1	1
94	я ни в	1	1
95	по своему типу	1	1
96	этого нельзя сказать	1	1
97	имея в виду	1	1
98	я думаю что	1	1
99	прежде всего как	1	1
100	не имеет никакой	1	1
101	в ней нет	1	1
102	мы должны перейти	1	1
103	было бы сказать	1	1
104	но это есть	1	1
105	не менее чем	1	1
106	потому что не	1	1
107	то что совершается	1	1
108	ни одна из	2	1
109	человека и в	1	1
110	и заключается что	2	1
111	и для другого	1	1
112	и пр в	1	1
113	между небом и	1	1
114	себе и в	1	1
115	про себя а	1	1
116	находится во власти	1	1
117	ни в чем	1	1
118	в человеческом обществе	1	1
119	но все время	1	1
120	в силу присущей	1	1
121	нет у него	1	1
122	не может уже	2	1
123	что она неизбежно	1	1
124	не значит что	3	1
125	не в том	1	1
126	бытия и небытия	1	1
127	но для этого	1	1
128	вообще не существует	1	1
129	есть в значительной	1	1
130	общественной жизни как	1	1
131	это не значит	2	1
132	а не в	1	1
133	и мы не	1	1
134	мы всегда должны	1	1
135	ни в какие	1	1
136	не в силах	1	1
137	о природе и	1	1
138	не право и	1	1
139	того же процесса	1	1
140	равно как и	2	1
141	и должно быть	2	1
142	в свою противоположность	1	1
143	значит что в	2	1
144	дня и ночи	1	1
145	но и потому	1	1
146	к более элементарным	1	1
147	мы конечно не	1	1
148	того чтобы быть	1	1
149	играть огромную роль	1	1
150	будет сказать что	1	1
151	и воля к	1	1
152	мысли но в	1	1
153	только для себя	1	1
154	то это есть	1	1
155	не быть в	1	1
156	протекает и развивается	1	1
157	и в истории	1	1
158	играют большую роль	1	1
159	это и есть	1	1
160	к жизни и	1	1
