N	4gram	Bakhtin_Pr	Vladivir
1	дело в том что	1	11
2	в то же время	3	9
3	и в то же	2	5
4	в то время как	1	5
5	не что иное как	1	4
6	не говоря уже о	1	4
7	на самом же деле	1	3
8	во что бы то	1	3
9	что бы то ни	1	3
10	бы то ни стало	1	3
11	на то что в	1	2
12	с одной стороны и	1	2
13	бы то ни было	2	2
14	и тем не менее	1	2
15	но в то же	1	2
16	есть не что иное	1	2
17	а в том как	1	1
18	притом не только в	1	1
19	в свое время был	1	1
20	не выходит за пределы	1	1
21	можно говорить и о	2	1
22	себя в известной степени	1	1
23	ни к чему не	1	1
24	и в частности для	1	1
25	чего бы то ни	1	1
26	решении вопроса о значении	1	1
27	иметь в виду что	1	1
28	не чем иным как	1	1
29	не довлеет себе а	1	1
30	мы имеем дело с	1	1
31	в строгом смысле слова	1	1
32	при решении вопроса о	1	1
33	ни в чем не	2	1
34	могут и должны быть	1	1
35	и прежде всего от	1	1
36	не выходя за пределы	2	1
37	и не может быть	1	1
38	не в том что	1	1
