N	2gram	Nazirov_Tr	Problema
1	и в	18	182
2	то есть	3	165
3	и не	7	152
4	то что	4	144
5	не есть	1	113
6	не только	8	104
7	потому что	2	89
8	в этом	9	88
9	может быть	7	82
10	в том	2	81
11	том что	4	81
12	не просто	2	80
13	только в	1	73
14	но и	4	70
15	в виде	2	69
16	и даже	4	66
17	по себе	1	64
18	не менее	1	58
19	о том	2	57
20	тем не	1	56
21	а не	1	56
22	так и	5	56
23	но в	6	55
24	так что	2	52
25	ни в	2	51
26	для нас	1	50
27	в себе	4	48
28	отнюдь не	3	48
29	прежде всего	4	45
30	в своей	1	45
31	что в	4	44
32	в его	3	44
33	не в	2	43
34	все эти	3	43
35	то же	5	42
36	таким образом	1	42
37	и что	4	40
38	и то	2	40
39	что он	6	40
40	во всяком	1	39
41	не может	5	39
42	в этой	4	39
43	как бы	7	39
44	в данном	2	38
45	хотя бы	1	37
46	в нем	4	37
47	того что	1	37
48	еще не	4	36
49	и все	4	36
50	и т	1	35
51	в виду	1	34
52	уже не	2	34
53	и с	7	34
54	как и	5	34
55	указывает на	1	34
56	в таком	2	33
57	не является	1	33
58	в то	5	32
59	но не	1	32
60	так же	4	31
61	в своем	3	31
62	связи с	1	31
63	в конце	3	31
64	но это	4	31
65	все это	4	31
66	в связи	1	29
67	все же	5	29
68	перед нами	2	29
69	как мы	1	29
70	об этом	4	29
71	данном случае	2	28
72	и о	1	28
73	и это	2	27
74	и как	3	27
75	ничего не	2	27
76	в результате	1	26
77	как будто	3	26
78	вместе с	1	26
79	это не	5	26
80	и его	6	26
81	и на	7	25
82	тем самым	3	25
83	всяком случае	1	25
84	с тем	2	24
85	не имеет	2	24
86	содержит в	1	23
87	при этом	3	23
88	тут же	2	23
89	и притом	1	23
90	конце концов	1	23
91	то и	2	23
92	раз и	2	22
93	только на	1	22
94	никогда не	2	22
95	есть в	1	22
96	сам по	1	22
97	его в	2	22
98	и от	1	22
99	и есть	1	22
100	и если	1	22
101	что и	2	22
102	в самом	2	21
103	и ее	2	21
104	а также	1	21
105	именно в	1	20
106	но как	1	20
107	можно было	1	20
108	и потому	1	20
109	о чем	3	20
110	тем что	2	20
111	несмотря на	5	20
112	в них	1	19
113	с ним	3	19
114	самом деле	1	19
115	но если	1	19
