N	3gram	Tiupa_Anal	RusskieA
1	в том что	12	49
2	состоит в том	2	29
3	в этот день	1	23
4	тем не менее	3	14
5	в этом случае	1	12
6	о том что	7	10
7	в том чтобы	2	9
8	для того чтобы	1	8
9	в данном случае	11	8
10	подобно тому как	3	8
11	состояла в том	1	7
12	не может быть	2	6
13	после того как	1	6
14	в связи с	1	5
15	не что иное	1	4
16	в отличие от	5	4
17	что в этом	1	4
18	в этих случаях	1	4
19	что иное как	1	4
20	на себя внимание	1	4
21	в то время	1	4
22	можно было бы	1	4
23	во всяком случае	6	4
24	к этому же	1	4
25	это имеет место	1	3
26	по отношению к	9	3
27	по своему происхождению	2	3
28	до сих пор	1	3
29	же как и	1	3
30	и в том	1	3
31	в свою очередь	7	3
32	с точки зрения	2	3
33	между тем это	1	3
34	к выводу что	1	3
35	обращает на себя	1	3
36	здесь мы имеем	1	3
37	до тех пор	1	3
38	как это имеет	1	3
39	в большинстве случаев	1	2
40	дело не в	1	2
41	совершенно очевидно что	2	2
42	из них в	1	2
43	можно судить по	1	2
44	но и как	1	2
45	также что в	1	2
46	с другой стороны	7	2
47	в этой связи	1	2
48	в тех случаях	1	2
49	во многих отношениях	2	2
50	не только по	1	2
51	ту или иную	1	2
52	как и в	6	2
53	можно сказать что	2	2
54	одна из наиболее	1	2
55	вопрос о том	1	2
56	на самом деле	1	2
57	ни одна из	1	2
58	в равной степени	2	2
59	не только в	5	2
60	всяком случае не	1	2
61	тех случаях когда	1	2
62	одна из них	1	2
63	с одной стороны	3	2
64	в этом отношении	3	2
65	не только как	1	2
66	мы имеем не	1	2
67	с этого момента	2	2
68	и как бы	2	1
69	принадлежат к числу	1	1
70	и наконец в	1	1
71	как и вообще	1	1
72	и он же	2	1
73	в году все	1	1
74	в этом ряду	2	1
75	одни и те	1	1
76	но дело здесь	1	1
77	на нее как	1	1
78	смены времен года	1	1
79	далеко не всегда	1	1
80	они как бы	1	1
81	и каким образом	1	1
82	в таком случае	2	1
83	в состав этого	1	1
84	одного и того	4	1
85	но это все	1	1
86	сам по себе	2	1
87	былинах и в	1	1
88	приходит к выводу	1	1
89	пишет об этом	1	1
90	а между тем	1	1
91	в такой же	1	1
92	место в текстах	1	1
93	в особенности же	1	1
94	между тем как	1	1
95	точно так же	1	1
96	тому же в	2	1
97	что в них	1	1
98	превращает смерть в	1	1
99	в этой роли	1	1
100	к тому же	7	1
101	из них не	1	1
102	на этот вопрос	1	1
103	мы видим что	1	1
104	однако все эти	1	1
105	и того же	4	1
106	есть на самом	1	1
107	при этом он	2	1
108	о чем речь	2	1
109	и а а	3	1
110	значении этого слова	1	1
111	сама по себе	3	1
112	это все же	1	1
113	в применении к	1	1
114	самом деле вот	1	1
115	в былинах и	1	1
116	имея в виду	1	1
117	в значительной степени	3	1
118	он так и	1	1
119	в одном из	1	1
120	но он не	1	1
121	цикла одна из	1	1
122	и те же	1	1
123	в противном случае	2	1
124	с полной уверенностью	1	1
125	и может быть	1	1
126	но и в	2	1
127	дело здесь не	4	1
128	нуждается в дальнейшем	1	1
129	в целом ряде	1	1
130	перед нами как	1	1
131	состоит не в	1	1
132	это бывает в	1	1
133	тот же смысл	1	1
134	тем более что	1	1
135	свое внимание на	1	1
136	таким образом в	1	1
137	о чем свидетельствует	1	1
138	из того что	1	1
139	хотя и не	1	1
140	дело в том	3	1
141	смысле этого слова	1	1
142	состоит не только	1	1
143	а в тех	1	1
144	между собой и	1	1
145	время они как	1	1
146	как одна из	1	1
147	в связь с	1	1
148	тогда как в	3	1
149	в таких случаях	1	1
150	что и в	1	1
151	приводит его к	1	1
152	не мог быть	1	1
153	в основе своей	2	1
154	на две части	1	1
155	что до появления	1	1
