N	3gram	Berdyaev_O	Freidism
1	не может быть	2	14
2	в самом деле	1	10
3	в том что	1	9
4	во всяком случае	1	8
5	и прежде всего	1	7
6	сам по себе	1	4
7	в первый период	1	4
8	не могут быть	2	4
9	в этом отношении	1	4
10	в этот период	1	3
11	для того чтобы	3	3
12	о том что	1	3
13	а вовсе не	1	3
14	не в силах	1	3
15	и не может	1	3
16	и есть та	1	2
17	он не только	1	2
18	в другом месте	1	2
19	нужно отметить что	1	2
20	он никогда не	1	1
21	никогда и нигде	1	1
22	он должен был	1	1
23	он в глубине	1	1
24	как будто бы	1	1
25	он еще не	1	1
26	в противоречии с	1	1
27	что же это	2	1
28	но и в	2	1
29	же это за	2	1
30	от того что	1	1
31	по сравнению с	1	1
32	а иногда и	1	1
33	в этом нужно	1	1
34	как бы в	1	1
35	он и не	1	1
36	и влечет к	1	1
37	положительное учение о	1	1
38	что он был	1	1
39	хотя и не	1	1
40	друг с другом	1	1
41	самое совершенное произведение	1	1
42	нигде и никогда	1	1
43	как и все	2	1
44	люди а не	1	1
45	бросается в глаза	1	1
46	смысле этого слова	1	1
47	было для него	1	1
48	том что в	1	1
49	и никогда не	2	1
50	приходит в голову	1	1
51	человека и все	1	1
52	ее в этом	1	1
53	и все же	1	1
54	никогда не являлось	1	1
55	но никогда не	1	1
56	дана уже в	1	1
57	то что говорит	1	1
58	это было бы	2	1
