N	3gram	Trubetskoy	Psycholo
1	в том что	3	78
2	для того чтобы	5	70
3	на то что	2	55
4	в самом деле	1	51
5	о том что	4	34
6	совершенно ясно что	1	33
7	то же самое	2	31
8	с точки зрения	6	29
9	с одной стороны	7	28
10	не может быть	1	23
11	до сих пор	5	23
12	с другой стороны	1	20
13	мы видим что	1	16
14	не только не	1	16
15	с самого начала	2	16
16	так же как	3	14
17	во всяком случае	6	14
18	в то время	1	14
19	в этом отношении	2	14
20	заключает в себе	2	13
21	и в этом	2	13
22	указывает на то	1	12
23	что в этом	1	12
24	этой точки зрения	2	12
25	в конце концов	3	12
26	тот факт что	1	11
27	то что он	2	11
28	по сравнению с	2	11
29	с этой точки	2	10
30	вместе с тем	8	10
31	не в том	1	10
32	сами по себе	1	10
33	потому что в	1	9
34	в отличие от	1	9
35	точно так же	3	9
36	в данном случае	1	9
37	друг с другом	5	8
38	смысле этого слова	1	8
39	речь идет о	1	8
40	и таким образом	3	8
41	что в этой	1	8
42	с тем что	1	8
43	состоит в том	1	7
44	а с другой	5	7
45	только то что	1	7
46	психологической точки зрения	1	7
47	в свою очередь	1	7
48	можно сказать что	2	7
49	что и в	1	7
50	с психологической точки	1	6
51	и тот же	1	6
52	тем не менее	3	6
53	более или менее	5	6
54	именно потому что	1	6
55	друг к другу	1	6
56	о том как	1	5
57	в таком случае	1	5
58	сказать что в	1	5
59	и вместе с	4	5
60	один и тот	1	5
61	в том виде	2	5
62	и в результате	1	5
63	несмотря на все	1	5
64	мы видели что	1	5
65	как бы в	1	5
66	не имеет никакого	1	5
67	самом деле если	1	4
68	а между тем	1	4
69	в настоящее время	1	4
70	что в таком	1	4
71	и того же	1	4
72	а в том	1	4
73	к тому же	4	4
74	и в этой	1	4
75	таким образом в	2	4
76	мы уже говорили	1	4
77	то или иное	2	4
78	есть как бы	2	4
79	одного и того	1	4
80	в этой области	1	4
81	и никогда не	1	4
82	только тогда когда	1	4
83	что это есть	1	4
84	все более и	1	4
85	более и более	1	4
86	но совершенно ясно	1	4
87	и в сущности	1	4
88	и что он	1	4
89	это и есть	1	4
90	в прямом смысле	1	3
91	и что она	1	3
92	не потому что	1	3
93	по отношению к	1	3
94	к этому что	1	3
95	с тем чтобы	4	3
96	все это было	1	3
97	может быть и	2	3
98	иметь в виду	1	3
99	что все эти	1	3
100	в том или	1	3
101	бы то ни	2	3
102	потому что и	2	3
103	то же время	2	3
104	ясно что и	1	3
105	по тому же	1	3
106	том или ином	1	3
107	ничего общего с	2	3
108	в то же	2	3
109	с тем и	2	3
110	после того как	1	3
111	с этим и	1	2
112	он как бы	1	2
113	а следовательно и	1	2
114	мы должны признать	2	2
115	а не как	1	2
116	из этих частей	1	2
117	у него в	1	2
118	не совпадает с	1	2
119	в которых этот	1	2
120	так или иначе	3	2
121	так и в	1	2
122	но при этом	1	2
123	в одном из	1	2
124	в связи с	3	2
125	той или иной	2	2
126	и только в	1	2
127	по крайней мере	5	2
128	которые могли бы	1	2
129	может быть в	1	2
130	и для того	2	2
131	при этом не	1	2
132	из этих слов	1	2
133	мы имеем в	1	2
