N	4gram	Vinokur_Vv	Vladivir
1	дело в том что	3	11
2	в то же время	6	9
3	в том что в	1	5
4	не что иное как	5	4
5	не говоря уже о	1	4
6	также и то что	1	4
7	и в этом смысле	1	4
8	еще и потому что	1	4
9	так или иначе но	2	3
10	в том что он	1	3
11	заключается в том что	2	3
12	словаря брокгауза и ефрона	1	2
13	энциклопедического словаря брокгауза и	1	2
14	до тех пор пока	1	2
15	говоря уже о том	1	2
16	уже о том что	1	2
17	с одной стороны и	3	2
18	отчет в том что	1	2
19	одно и то же	2	2
20	в связи с этим	1	2
21	бы то ни было	1	2
22	но вместе с тем	1	2
23	и тем не менее	3	2
24	но в то же	3	2
25	есть не что иное	3	2
26	с этой точки зрения	2	1
27	состоит в том что	2	1
28	том виде в каком	1	1
29	может быть и не	1	1
30	то что можно назвать	1	1
31	а это в свою	1	1
32	здесь не может быть	1	1
33	в том что с	1	1
34	что в этом отношении	1	1
35	в каждой из этих	1	1
36	одной и той же	2	1
37	это в свою очередь	1	1
38	в том виде в	1	1
39	в собственном смысле слова	1	1
40	лишь в том что	1	1
41	здесь как и везде	1	1
42	приходит к выводу что	1	1
43	наряду с этим в	1	1
44	что в этом смысле	1	1
45	но во всяком случае	1	1
46	нечего и говорить о	1	1
47	как мы уже знаем	2	1
48	еще не значит что	1	1
49	тем не менее не	1	1
50	мы имеем дело с	1	1
51	и говорить о том	1	1
52	а в том чтобы	1	1
53	и т д в	2	1
54	то более то менее	1	1
55	так а не иначе	1	1
56	заключается в том чтобы	1	1
57	не может быть никакой	1	1
58	и то что в	1	1
59	тех пор пока не	1	1
60	и в конце концов	1	1
61	как это было у	1	1
62	отдать себе отчет в	1	1
63	говорить о том что	1	1
64	какой бы то ни	1	1
65	к выводу что и	1	1
66	ответа на свои вопросы	1	1
