N	3gram	Savitsky_E	Morfolog
1	и т д	1	60
2	не может быть	2	9
3	в связи с	1	9
4	с точки зрения	16	6
5	связи с этим	1	5
6	с другой стороны	2	5
7	а также и	1	5
8	в том что	6	4
9	независимо от того	1	4
10	не могут быть	1	4
11	к тому что	1	4
12	на то что	2	3
13	в большинстве случаев	2	3
14	для того чтобы	5	3
15	в то время	1	3
16	бы то ни	4	3
17	в том случае	1	3
18	в последнем случае	1	3
19	то время как	1	3
20	мы увидим что	1	2
21	то что в	2	2
22	говорить о том	1	2
23	более или менее	1	2
24	том случае если	1	2
25	хотя и не	1	2
26	можно было бы	3	2
27	в данном случае	2	2
28	но так как	1	2
29	то ни было	4	2
30	тех случаях когда	1	2
31	во всяком случае	3	2
32	в тех случаях	1	2
33	с одной стороны	8	2
34	в этом отношении	3	2
35	друг к другу	1	2
36	может быть и	1	2
37	в свою очередь	2	1
38	и тот же	1	1
39	совершенно очевидно также	1	1
40	т е не	1	1
41	к тому или	1	1
42	вопрос о характере	1	1
43	в других случаях	1	1
44	в своих недрах	1	1
45	в применении к	3	1
46	со стороны тех	1	1
47	так как мы	1	1
48	он не дает	1	1
49	то мы увидим	1	1
50	один и тот	1	1
51	не более как	1	1
52	что же касается	1	1
53	с этой точки	5	1
54	в некоторых случаях	1	1
55	ответить на этот	1	1
56	но как бы	1	1
57	можно сказать что	3	1
58	только в том	2	1
59	и когда мы	1	1
60	этот вопрос мы	1	1
61	в то же	15	1
62	тех или иных	1	1
63	в качестве примера	1	1
64	на этот вопрос	1	1
65	нужно заметить что	2	1
66	во многих отношениях	1	1
67	это можно утверждать	1	1
68	в противном случае	1	1
69	друг с другом	3	1
70	и в начале	1	1
71	во всех случаях	3	1
72	не означает что	1	1
73	той или иной	4	1
74	это мы видим	1	1
75	вместо того чтобы	1	1
76	это один из	1	1
77	во всех этих	1	1
78	всех этих случаях	1	1
79	или вовсе не	1	1
80	хотя бы только	1	1
81	нужно помнить что	1	1
82	мы видим как	1	1
83	этой точки зрения	5	1
84	между тем в	3	1
85	это значит что	1	1
86	и в качестве	1	1
87	между прочим и	2	1
88	то же время	14	1
89	в пределах этих	2	1
90	мы не можем	1	1
91	как бы то	1	1
