1	в то же время	4	7
2	одно и то же	5	3
3	одного и того же	1	3
4	ни в коем случае	1	2
5	и в то же	3	2
6	с этой точки зрения	4	2
7	и в самом деле	1	2
8	в том что он	2	2
9	в коем случае не	1	2
10	бы то ни было	12	2
11	в одном и том	1	1
12	бы вбирает в себя	1	1
13	не содержит в себе	1	1
14	с одной стороны и	1	1
15	том что он не	1	1
16	о том о чем	1	1
17	как бы вбирает в	1	1
18	еще и потому что	1	1
19	заключается в том что	2	1
20	какой бы то ни	1	1
21	не что иное как	12	1
22	одном и том же	1	1
23	нельзя а можно только	1	1
24	чего бы то ни	2	1
25	относится не только к	1	1
26	с самим собою в	1	1
27	я в свою очередь	1	1
28	мы имеем дело не	2	1
29	сама по себе а	1	1
30	в основе своей является	1	1
31	но в то же	1	1
32	не может быть и	1	1
33	есть не что иное	8	1
