N	2gram	Tiupa_Hudo	EvropaiE
1	и в	23	37
2	в отношении	4	32
3	в пределах	3	25
4	точки зрения	11	23
5	что в	7	21
6	не только	20	18
7	с точки	3	17
8	в то	8	16
9	то же	12	15
10	отношении к	3	15
11	в качестве	31	14
12	и не	16	14
13	но и	14	14
14	же время	7	14
15	в своем	4	14
16	но в	10	14
17	в этом	12	12
18	в том	20	11
19	в их	5	11
20	в области	8	11
21	так и	12	10
22	в себе	13	9
23	прежде всего	5	9
24	только в	7	9
25	так же	2	9
26	не может	9	9
27	отнюдь не	2	9
28	с одной	3	8
29	в ее	6	8
30	в своей	7	8
31	одной стороны	3	8
32	между тем	4	8
33	было бы	1	8
34	к тому	4	8
35	так как	1	7
36	того что	5	7
37	а также	6	7
38	как и	3	7
39	между прочим	1	7
40	по своему	3	7
41	также и	1	7
42	с другой	9	7
43	то есть	26	6
44	с этой	3	6
45	в последние	1	6
46	и даже	1	6
47	вслед за	2	6
48	и на	3	6
49	том что	9	6
50	вовсе не	2	6
51	во всех	3	6
52	может быть	19	6
53	того чтобы	5	6
54	для того	5	6
55	стороны и	1	6
56	то что	5	6
57	как бы	11	6
58	на то	1	6
59	в той	3	5
60	тем самым	5	5
61	этой точки	2	5
62	не в	9	5
63	но не	13	5
64	от этого	1	5
65	со стороны	5	5
66	и потому	2	5
67	же как	1	5
68	в частности	18	5
69	как мы	1	5
70	одной из	2	5
71	столь же	2	5
72	но если	1	5
73	и по	2	5
74	в перспективе	1	4
75	в самом	7	4
76	бы то	2	4
77	то в	2	4
78	даже в	3	4
79	ни было	2	4
80	того или	4	4
81	для нас	1	4
82	иными словами	1	4
83	не на	5	4
84	и притом	3	4
85	именно в	2	4
86	по себе	2	4
87	не имеет	1	4
88	в каком	2	4
89	культуры в	3	4
90	тем более	2	4
91	той или	5	4
92	в полной	1	4
93	лежат в	1	4
94	то ни	2	4
95	или иного	4	4
96	как совокупность	3	4
97	как это	7	4
98	несмотря на	2	4
99	сказать что	4	4
100	можно сказать	6	4
101	во многих	1	4
102	или иной	9	4
103	мира в	2	4
104	и к	3	3
105	говорит о	1	3
106	но на	2	3
107	ее в	2	3
108	что и	2	3
109	в результате	1	3
110	или иную	2	3
111	не является	5	3
112	как было	1	3
113	к настоящему	1	3
114	не более	1	3
115	и некоторые	2	3
116	дело в	1	3
117	тем что	1	3
118	в таком	3	3
119	как в	2	3
120	жизни в	2	3
121	мира и	2	3
122	и со	1	3
123	по признаку	1	3
124	по своим	1	3
125	в известном	2	3
126	бы ни	1	3
127	в них	2	3
128	тем в	1	3
129	бы и	1	3
130	в данном	4	3
131	идет о	2	3
132	в свою	3	3
133	не дает	1	3
134	ту или	2	3
135	всего лишь	6	3
136	представляет собой	11	3
137	потому что	3	3
138	время в	1	3
139	и тем	4	3
140	не будет	3	3
141	и для	3	3
142	заключает в	1	3
143	этом смысле	3	3
144	себе в	1	3
145	в прошлом	1	3
146	известной степени	3	3
147	существования в	2	3
148	к ним	1	3
149	известном смысле	2	3
150	в сфере	1	3
151	и от	1	3
152	место в	5	3
153	о том	2	3
154	и прежде	3	3
155	того же	3	3
156	в культуре	3	3
157	из них	1	3
158	их отношении	1	3
159	в известной	1	3
160	никогда не	2	3
161	всего в	1	2
162	культура есть	1	2
163	таким образом	3	2
164	иначе говоря	5	2
165	именно к	1	2
166	и то	4	2
167	в другой	1	2
168	во втором	4	2
169	мы видим	1	2
170	по преимуществу	3	2
171	если в	1	2
172	на язык	1	2
173	и того	3	2
174	чем на	1	2
175	в его	11	2
176	свою очередь	2	2
177	значения для	1	2
178	что это	1	2
179	хотя и	4	2
180	с этим	1	2
181	какой бы	1	2
182	ни столь	2	2
183	из того	1	2
184	например с	1	2
185	с другими	5	2
186	другой стороны	6	2
187	в европейской	2	2
188	в этих	4	2
189	культуры не	1	2
190	не могут	1	2
191	и наиболее	1	2
192	также в	1	2
193	но с	1	2
194	в своих	1	2
195	при условии	2	2
196	от друга	1	2
197	если бы	3	2
198	или в	2	2
199	заключается в	2	2
200	стороны в	1	2
201	в какой	2	2
202	имеет место	3	2
203	вместе с	1	2
204	и как	4	2
205	нас к	1	2
206	есть в	3	2
207	не есть	1	2
208	в порядке	2	2
209	в мире	24	2
210	между собой	2	2
211	между ними	5	2
212	поскольку он	1	2
213	в сторону	2	2
214	друг от	1	2
215	а именно	3	2
216	на них	1	2
217	большей части	2	2
218	которое существует	1	2
219	ними и	2	2
220	но как	2	2
221	только к	1	2
