N	4gram	Potebnia_M	EvropaiE
1	в то же время	8	14
2	с одной стороны и	1	6
3	бы то ни было	1	4
4	в их отношении к	1	3
5	заключается в том что	1	2
6	и та и другая	2	1
7	и то и другое	1	1
8	не только в том	1	1
9	и в некотором смысле	1	1
10	дело в том что	1	1
11	в том случае если	1	1
12	на то что в	1	1
13	одна и та же	2	1
14	в большей или меньшей	1	1
15	мы оставим в стороне	1	1
16	но и эта последняя	1	1
17	рано или поздно не	1	1
18	что как бы ни	1	1
19	только в том случае	1	1
20	в то время как	3	1
21	не заключает в себе	3	1
22	только в том смысле	1	1
23	не говоря уже о	1	1
24	одного и того же	2	1
25	что само по себе	1	1
26	в себе не только	1	1
27	так как мы не	1	1
28	один и тот же	2	1
29	и во многих других	1	1
30	в том смысле что	2	1
