N	4gram	Tiupa_Hudo	Russkaja
1	в то же время	11	10
2	во что бы то	1	3
3	в том случае если	2	3
4	что бы то ни	1	3
5	бы то ни стало	1	3
6	лишь в том случае	1	2
7	противоречие с самим собой	1	2
8	только в том случае	1	2
9	мы уже знаем что	1	1
10	и то и другое	1	1
11	дело в том что	1	1
12	при таком взгляде на	1	1
13	и в этом случае	1	1
14	в этом и состоит	1	1
15	заключается в том что	1	1
16	только для того чтобы	1	1
17	сводится к тому что	1	1
18	к той или иной	1	1
19	но в то же	3	1
20	в том числе и	1	1
21	несмотря на то что	1	1
22	точно так же как	1	1
