N	3gram	Vygotskiy_	Vladivir
1	в том что	41	29
2	о том что	3	22
3	тем не менее	6	18
4	и то что	3	14
5	в то время	5	13
6	во всяком случае	10	12
7	в связи с	8	12
8	содержит в себе	2	11
9	более или менее	3	11
10	в конце концов	1	11
11	не может быть	5	10
12	вместе с тем	11	10
13	с точки зрения	11	10
14	в этом смысле	7	9
15	на этот раз	2	9
16	а также и	1	8
17	на то что	5	8
18	точно так же	4	7
19	это значит что	6	7
20	на первый план	5	7
21	в свое время	2	7
22	так или иначе	1	6
23	как это мы	1	6
24	само по себе	3	6
25	в данном случае	1	6
26	том что в	3	6
27	в отличие от	8	6
28	с другой стороны	5	6
29	и в этом	2	6
30	как мы видели	4	6
31	том что он	1	6
32	но даже и	1	5
33	и в его	1	5
34	бы то ни	1	5
35	и в том	1	5
36	то что в	3	5
37	не только в	1	5
38	то время как	5	5
39	что и в	6	5
40	в дальнейшем мы	1	4
41	не содержит в	1	4
42	можно сказать что	1	4
43	как мы уже	3	4
44	в том же	1	4
45	для того чтобы	14	4
46	в этом отношении	9	4
47	сам по себе	2	4
48	сказать что в	1	4
49	и вместе с	2	4
50	мы увидим ниже	1	4
51	что в этом	1	4
52	в том чтобы	2	4
53	заключается в том	18	4
54	в себе и	2	4
55	не что иное	2	4
56	мы будем говорить	1	4
57	можно было бы	8	4
58	что иное как	2	4
59	с одной стороны	8	4
60	что он не	2	3
61	ни в каком	1	3
62	хотя бы и	2	3
63	своем учении о	1	3
64	в самом деле	4	3
65	в том числе	3	3
66	мы знаем что	1	3
67	в том случае	2	3
68	ничего общего с	2	3
69	и в отношении	3	3
70	а с другой	4	3
71	и как мы	2	3
72	не только на	1	3
73	не только не	1	3
74	в последнее время	4	3
75	по этому поводу	4	3
76	к тому что	1	3
77	только то что	1	3
78	раз и навсегда	1	3
79	в свою очередь	3	3
80	в этом же	2	3
81	не имеет никакого	1	3
82	в связи со	1	3
83	мы должны сказать	2	3
84	только в том	4	3
85	должны сказать что	2	3
86	в своем учении	1	3
87	мы видели выше	1	3
88	с самого начала	6	3
89	в первую очередь	2	3
90	так же как	9	2
91	но только в	1	2
92	одной стороны и	1	2
93	и тот же	6	2
94	а не на	1	2
95	от того чтобы	1	2
96	не подлежит никакому	2	2
97	уже содержит в	1	2
98	и на этот	1	2
99	то что с	2	2
100	в этот период	1	2
101	в течение всего	1	2
102	совершенно так же	2	2
103	также и не	1	2
104	мы сейчас увидим	1	2
105	подлежит никакому сомнению	2	2
106	так и в	2	2
107	до сих пор	3	2
108	есть не что	1	2
109	с ним в	1	2
110	это нисколько не	1	2
111	в этой области	2	2
112	из них не	1	2
113	так как это	2	2
114	не имеет ничего	1	2
115	то ни было	1	2
116	так как он	2	2
117	для нас важно	1	2
118	так как в	2	2
119	только и может	1	2
120	с теми же	1	2
121	вопрос об отношении	2	2
122	за то что	1	2
123	едва ли можно	1	2
124	один и тот	6	2
125	это можно считать	1	2
126	бы если бы	1	2
127	связи с этим	2	2
128	независимо от того	3	2
129	в окончательном виде	1	2
130	так же и	1	2
131	одно и то	6	2
132	и то же	6	2
133	с первого же	1	2
134	в этом случае	4	2
135	и что в	2	2
136	отрицать что в	1	2
137	оно не может	1	2
138	с тем что	4	2
139	то обстоятельство что	4	2
140	как мы увидим	2	2
141	и все же	1	2
142	том случае если	2	2
143	в котором все	1	2
144	как это делает	1	2
145	то что мы	2	2
146	но на этот	1	2
147	если бы мы	2	2
148	после того как	1	2
149	и это самое	1	2
150	о нем с	1	1
151	при помощи которых	1	1
152	мы и в	1	1
153	никакого сомнения в	1	1
154	все больше и	1	1
155	благодаря тому что	1	1
156	в самом начале	1	1
157	но все эти	1	1
158	в процессе мышления	1	1
159	значение для всей	1	1
160	и как бы	2	1
161	как и всякая	1	1
162	да едва ли	1	1
163	о которой мы	1	1
164	со всеми своими	1	1
165	не только то	1	1
166	но и по	1	1
167	и даже не	1	1
168	роль в процессе	2	1
169	мы видим что	2	1
170	отнюдь не является	1	1
171	что уже в	2	1
172	больше и больше	1	1
173	в известной степени	1	1
174	как это делают	2	1
175	свое время был	1	1
176	к выводу что	2	1
177	как мы говорили	1	1
178	от низшего к	1	1
179	является не просто	2	1
180	но и у	1	1
181	и в результате	3	1
182	на одной и	1	1
183	обычной точки зрения	1	1
184	не выходит за	1	1
185	указывает на то	2	1
186	но это нисколько	1	1
187	далеко не всегда	1	1
188	потому что она	1	1
189	сказала что она	1	1
190	с целым рядом	1	1
191	тот же самый	1	1
192	самом деле если	1	1
193	тогда когда мы	1	1
194	более высокой ступени	1	1
195	том виде в	1	1
196	том что она	1	1
197	важную роль в	1	1
198	того с чего	1	1
199	в себе свое	1	1
200	является то что	4	1
201	он дает в	1	1
202	кроме того что	1	1
203	именно в этой	1	1
204	в приведенных выше	1	1
205	в каком случае	1	1
206	не потому что	1	1
207	а также в	1	1
208	как он говорит	1	1
209	нечто такое что	1	1
210	в такой же	2	1
211	не свидетельствует о	1	1
212	той или иной	2	1
213	с тем и	4	1
214	на основании только	1	1
215	то что этот	1	1
216	сказать что на	1	1
217	на всех этапах	1	1
218	и тем самым	3	1
219	во многих случаях	1	1
220	дальнейшем мы будем	1	1
221	и в нашем	1	1
222	по себе не	1	1
223	необходимо различать два	1	1
224	виде в каком	1	1
225	слов которые не	2	1
226	и я не	1	1
227	что в основе	7	1
228	чем иным как	1	1
229	этот вопрос в	1	1
230	здесь как и	1	1
231	здесь мы должны	1	1
232	имеет дело с	2	1
233	этом мы будем	1	1
234	в целом и	2	1
235	то же самое	9	1
236	как в его	1	1
237	сама по себе	1	1
238	с того с	1	1
239	и в связи	1	1
240	в высшей степени	11	1
241	но все же	1	1
242	как мы сейчас	1	1
243	бы его ни	1	1
244	не только у	2	1
245	таким образом после	1	1
246	в известном смысле	2	1
247	в буквальном смысле	1	1
248	не доходит до	1	1
249	о том как	1	1
250	да и не	1	1
251	его личности и	1	1
252	вопросу о том	1	1
253	не просто в	1	1
254	было бы с	1	1
255	не мог бы	3	1
256	от нее в	2	1
257	из других источников	1	1
258	это то что	1	1
259	на каждом шагу	4	1
260	что так как	1	1
261	был свободен от	1	1
262	собственном смысле слова	3	1
263	если только не	1	1
264	человека и его	1	1
265	с этим мы	1	1
266	и не могло	1	1
267	и во всяком	2	1
268	отношения между двумя	1	1
269	который как мы	1	1
270	и только в	1	1
271	что мы должны	1	1
272	смысле как мы	1	1
273	того что это	1	1
274	но и в	1	1
275	мы очень часто	1	1
276	как и для	1	1
277	в том смысле	3	1
278	во всем его	1	1
279	с этой точки	4	1
280	выводу что и	1	1
281	не мог не	1	1
282	не в плане	1	1
283	ни в какой	5	1
284	низшего к высшему	1	1
285	том что это	1	1
286	так что все	1	1
287	как и сам	1	1
288	очень легко понять	1	1
289	однако и здесь	1	1
290	другой стороны мы	1	1
291	того что мы	2	1
292	и той же	5	1
293	именно то что	1	1
294	тем и другим	1	1
295	на данной стадии	2	1
296	в силу которого	1	1
297	на той ступени	1	1
298	но тем что	1	1
