N	2gram	Medvedev_U	Sovremen
1	не может	7	17
2	может быть	6	12
3	таким образом	2	11
4	мы не	2	9
5	в этом	7	7
6	и в	14	7
7	мы можем	1	6
8	как и	3	6
9	ничего не	2	6
10	и не	8	6
11	прежде всего	8	5
12	что же	1	5
13	это не	3	4
14	не только	10	4
15	нет и	1	4
16	их в	1	4
17	в том	2	4
18	и потому	1	3
19	то же	5	3
20	мы получаем	2	3
21	не в	2	3
22	а не	10	3
23	в системе	2	3
24	все это	5	3
25	у нас	3	3
26	в конце	2	3
27	и т.д	3	3
28	было бы	3	3
29	в этой	4	3
30	он в	1	3
31	и все	1	3
32	в себе	2	3
33	что она	2	3
34	он может	1	3
35	состоит из	1	3
36	все же	3	3
37	при таком	2	3
38	в области	3	3
39	отнюдь не	1	3
40	в нем	1	3
41	но в	3	3
42	что в	1	2
43	в самом	2	2
44	и что	1	2
45	друг с	1	2
46	то и	1	2
47	с одной	1	2
48	в его	2	2
49	то ни	3	2
50	всего только	1	2
51	что при	1	2
52	в некоторых	2	2
53	по мнению	1	2
54	из которых	1	2
55	что такое	4	2
56	на его	1	2
57	у него	1	2
58	не могут	2	2
59	в виде	1	2
60	и даже	1	2
61	самом деле	2	2
62	в которой	1	2
63	же самое	2	2
64	той же	1	2
65	могут быть	2	2
66	в таком	1	2
67	уже не	1	2
68	что все	2	2
69	приводит к	1	2
70	форма в	1	2
71	с другом	1	2
72	тот же	1	2
73	все они	2	1
74	бы то	3	1
75	этого и	1	1
76	именно к	1	1
77	с новой	1	1
78	его и	2	1
79	этом случае	1	1
80	в свое	1	1
81	в данном	1	1
82	до сих	2	1
83	только к	3	1
84	все его	1	1
85	но верно	1	1
86	он уже	1	1
87	еще раз	1	1
88	все элементы	1	1
89	оно конечно	1	1
90	в процессе	1	1
91	данном случае	1	1
92	его работы	1	1
93	этот процесс	1	1
94	очень часто	1	1
95	должно быть	1	1
96	к области	2	1
97	общего и	1	1
98	почти не	1	1
99	она не	1	1
100	в течение	1	1
101	она в	1	1
102	одной стороны	1	1
103	это то	1	1
104	мы имеем	1	1
105	и у	2	1
106	быть в	1	1
107	если у	1	1
108	в ней	1	1
109	ни было	3	1
110	своими собственными	1	1
111	это значит	1	1
112	он называет	1	1
113	только возможно	1	1
114	с другой	4	1
115	а это	1	1
116	в этот	1	1
117	это уже	2	1
118	он не	1	1
119	мы снова	1	1
120	что с	1	1
121	и вся	1	1
122	все что	1	1
123	не приходится	2	1
124	если нет	1	1
125	в известном	1	1
126	смысле можно	1	1
127	самое что	1	1
128	сколько угодно	2	1
129	случае он	1	1
130	как всякая	1	1
131	они относятся	1	1
132	конечно не	4	1
133	но что	1	1
134	только в	2	1
135	и отчетливо	1	1
136	же время	3	1
137	не случайно	2	1
138	которых она	1	1
139	конечно нет	2	1
140	без труда	1	1
141	в конечном	4	1
142	счете только	1	1
143	не было	1	1
144	с его	2	1
145	если бы	2	1
146	а о	2	1
147	этого не	1	1
148	определяет собою	1	1
149	равно как	1	1
150	их и	2	1
151	крайней мере	2	1
152	же как	1	1
153	по существу	2	1
154	сказать что	1	1
155	и эта	1	1
156	форму и	2	1
157	почему и	1	1
158	но для	1	1
159	затем он	1	1
160	и действительно	1	1
161	конечном счете	4	1
162	в своем	1	1
163	этом смысле	2	1
164	же в	1	1
165	том что	2	1
166	что такой	1	1
167	метода не	1	1
168	же остается	1	1
169	и прежде	1	1
170	на эту	2	1
171	но не	2	1
172	т.д пока	1	1
173	но нам	1	1
174	но если	1	1
175	правда не	1	1
176	по себе	2	1
177	к этому	1	1
178	он ставит	1	1
179	в то	3	1
180	и только	5	1
181	по его	1	1
182	является только	1	1
183	этой области	3	1
184	как целого	1	1
185	но это	2	1
186	независимо от	1	1
187	и для	2	1
188	познакомиться с	1	1
189	и это	1	1
190	науки является	1	1
191	о том	1	1
192	сих пор	2	1
193	по крайней	2	1
194	образом на	1	1
195	но конечно	2	1
196	человека и	1	1
197	никогда не	1	1
