N	4gram	Vygotskiy_	Morfolog
1	как мы увидим ниже	1	4
2	состоит в том что	3	3
3	в то время как	7	3
4	в этом случае не	1	3
5	в собственном смысле слова	1	3
6	друг к другу и	1	2
7	приводят к тому что	1	2
8	не что иное как	1	2
9	но если это так	1	2
10	с этой точки зрения	4	1
11	можно было бы показать	1	1
12	в этом случае он	1	1
13	то можно было бы	1	1
14	что в основе ее	1	1
15	в том что он	2	1
16	вопрос о том как	1	1
17	одно и то же	3	1
18	если в одном случае	1	1
19	ответить на этот вопрос	1	1
20	в то же время	1	1
21	мы видим таким образом	1	1
22	прежде чем перейти к	3	1
23	приводит к тому что	3	1
24	в том или другом	1	1
25	с самого начала в	1	1
26	видим таким образом что	1	1
27	есть не что иное	1	1
