N	2gram	Vinokur_St	ViktorSh
1	в книге	1	3
2	конце концов	2	2
3	в конце	5	2
4	и в	61	2
5	в том	56	2
6	том что	49	2
7	в другом	5	1
8	но это	9	1
9	одно и	1	1
10	столь же	5	1
11	том же	3	1
12	г стр	1	1
13	по существу	3	1
14	ведь это	1	1
15	разве это	1	1
16	хочу сказать	2	1
17	в самом	14	1
18	в одессе	1	1
19	о или	1	1
20	один пример	1	1
21	что слово	1	1
22	для них	2	1
23	а только	1	1
24	то я	1	1
25	именно в	8	1
26	этому и	1	1
27	ни к	1	1
28	и стоит	1	1
29	другое дело	3	1
30	самом деле	14	1
31	за свою	3	1
32	более чем	3	1
33	другом месте	2	1
34	но разве	3	1
35	ясно что	10	1
36	стр и	5	1
37	с большой	1	1
38	в частности	6	1
39	и то	6	1
40	так в	1	1
41	крайней мере	2	1
42	не хочу	3	1
43	не хотел	2	1
44	этом и	2	1
45	время в	1	1
46	и его	11	1
47	даже не	5	1
48	не стоило	1	1
49	значительной степени	3	1
50	хотя бы	8	1
51	по поводу	13	1
52	стоило бы	1	1
53	далеко не	1	1
54	тем более	4	1
55	по крайней	2	1
56	впрочем не	1	1
57	в которых	5	1
58	к этому	4	1
59	только в	11	1
60	потому что	13	1
61	дело именно	1	1
62	в значительной	2	1
63	в их	3	1
64	и почти	1	1
65	аргументацию в	1	1
66	и только	3	1
67	то же	7	1
68	чего не	1	1
69	не будем	1	1
70	и обработки	1	1
71	и не	23	1
72	гораздо более	5	1
73	я не	13	1
74	дело в	9	1
75	да и	4	1
76	в этом	37	1
77	так как	7	1
78	все это	13	1
