N	3gram	Bakhtin_Pr	RusskieA
1	в том что	6	49
2	состоит в том	1	29
3	тем не менее	2	14
4	в этом случае	1	12
5	о том что	3	10
6	и в других	1	9
7	в данном случае	1	8
8	не может быть	8	6
9	так же как	1	6
10	после того как	1	6
11	и в другие	1	6
12	в связи с	1	5
13	к тому что	1	5
14	мы видели что	2	5
15	не что иное	1	4
16	как мы уже	5	4
17	в отличие от	1	4
18	в этих случаях	1	4
19	что иное как	1	4
20	на себя внимание	2	4
21	можно было бы	2	4
22	во всяком случае	1	4
23	мы не будем	2	4
24	по отношению к	5	3
25	более или менее	3	3
26	до сих пор	8	3
27	до некоторой степени	1	3
28	самом же деле	2	3
29	на самом же	2	3
30	на то что	2	3
31	с точки зрения	13	3
32	все же не	1	3
33	может быть и	2	3
34	друг к другу	1	3
35	о характере этого	1	2
36	мы уже знаем	1	2
37	ничего общего не	1	2
38	не будем останавливаться	1	2
39	в большинстве случаев	9	2
40	дело не в	1	2
41	об этом не	1	2
42	для наших целей	1	2
43	может быть только	1	2
44	и некоторые другие	1	2
45	друг с другом	6	2
46	из них в	2	2
47	том что на	1	2
48	так как это	1	2
49	с другой стороны	3	2
50	для этой цели	1	2
51	равно как и	1	2
52	но она не	1	2
53	мы увидим что	1	2
54	как и в	4	2
55	можно сказать что	6	2
56	в этом и	1	2
57	в равной степени	1	2
58	не только в	1	2
59	и в этом	1	2
60	но тем не	1	2
61	и в некоторых	1	2
62	не будем здесь	1	2
63	в этом отношении	1	2
64	и затем в	1	1
65	а может быть	1	1
66	принадлежат к числу	1	1
67	в разных вариациях	1	1
68	мы наблюдаем в	1	1
69	были связаны с	1	1
70	греческой и особенно	1	1
71	и наконец в	2	1
72	этом мы можем	1	1
73	не в этом	1	1
74	к этому образу	1	1
75	в xix веке	3	1
76	сих пор в	1	1
77	до наших дней	3	1
78	же деле это	1	1
79	в предыдущей главе	1	1
80	и по своим	1	1
81	но далеко не	1	1
82	от него он	1	1
83	что для этого	1	1
84	два или три	2	1
85	жизни в этом	1	1
86	же деле эти	1	1
87	далеко не всегда	1	1
88	потому что она	1	1
89	для них таким	1	1
90	перед тем как	1	1
91	его жизнь в	1	1
92	все то что	2	1
93	в таком случае	1	1
94	которую можно назвать	1	1
95	как это не	1	1
96	прямо и непосредственно	1	1
97	в последний раз	2	1
98	связанные с ним	1	1
99	а между тем	2	1
100	в царстве мертвых	2	1
101	как мы видим	1	1
102	здесь не в	1	1
103	один из самых	1	1
104	прямо или косвенно	1	1
105	и на земле	1	1
106	них таким же	1	1
107	к тому же	1	1
108	на этот вопрос	1	1
109	этим как бы	1	1
110	и во многих	2	1
111	мы видим что	1	1
112	в них нет	1	1
113	вся его жизнь	1	1
114	то же самое	1	1
115	не входит в	1	1
116	сама по себе	2	1
117	обычно в более	1	1
118	во всех других	2	1
119	так как только	1	1
120	но и этого	1	1
121	или во всяком	1	1
122	и особенно римской	1	1
123	в применении к	1	1
124	все это позволяет	1	1
125	со смехом и	1	1
126	остановимся на некоторых	3	1
127	в таком месте	2	1
128	и один из	1	1
129	прежде всего как	1	1
130	и др для	1	1
131	вряд ли мы	1	1
132	и так называемый	1	1
133	в одном из	1	1
134	между собою и	1	1
135	достаточно чтобы сделать	1	1
136	так как он	1	1
137	а вместе с	1	1
138	начиная с xvii	1	1
139	это приводило к	1	1
140	одним из самых	1	1
141	и может быть	1	1
142	но и в	2	1
143	и в дальнейшем	2	1
144	со всеми его	1	1
145	как один из	1	1
146	на некоторое время	1	1
147	а следовательно и	2	1
148	сказать что в	1	1
149	иногда и в	1	1
150	одном из своих	1	1
151	при этом не	1	1
152	где есть в	1	1
153	нужно заметить что	1	1
154	хотя они и	1	1
155	хотя и не	3	1
156	всякую связь с	1	1
157	дело в том	3	1
158	и до сих	2	1
159	освободиться от своих	1	1
160	что мы имеем	1	1
161	там где есть	1	1
162	смысле этого слова	2	1
163	но и во	1	1
164	как и все	1	1
165	и все другие	1	1
166	же а не	1	1
167	на них нужно	1	1
168	и что с	1	1
169	не имеет с	1	1
170	в них в	1	1
171	и между ними	1	1
172	к этому типу	1	1
173	с ней и	1	1
174	у него нет	1	1
175	в собственном смысле	3	1
176	в новое время	4	1
177	непосредственное влияние на	2	1
178	может быть использована	1	1
179	и связанных с	1	1
180	со смертью и	2	1
181	потому что они	1	1
182	общего не имеет	1	1
183	остановиться несколько подробнее	2	1
184	с земли на	2	1
185	только в тех	1	1
