N	2gram	Tiupa_Disk	Sovremen
1	не может	17	17
2	может быть	29	12
3	точки зрения	6	12
4	таким образом	4	11
5	мы не	2	9
6	в каждом	2	8
7	в этом	29	7
8	и в	27	7
9	мы можем	1	6
10	в результате	3	6
11	как и	27	6
12	ничего не	1	6
13	и не	25	6
14	с точки	3	5
15	прежде всего	17	5
16	что же	4	5
17	все эти	2	5
18	в условиях	1	5
19	и наконец	2	5
20	а в	5	4
21	вопрос о	2	4
22	это не	5	4
23	не только	36	4
24	мы должны	1	4
25	с помощью	1	4
26	как бы	9	4
27	нет и	1	4
28	их в	2	4
29	жизни и	2	4
30	вместе с	3	4
31	в целом	5	4
32	в том	29	4
33	из них	6	4
34	мы видели	1	4
35	и к	4	3
36	и потому	3	3
37	и мы	1	3
38	с самого	2	3
39	когда мы	1	3
40	уже в	2	3
41	то же	12	3
42	при этом	22	3
43	не в	8	3
44	а не	35	3
45	в системе	1	3
46	все это	2	3
47	в одном	5	3
48	самого начала	2	3
49	в конце	1	3
50	и т.д	5	3
51	было бы	1	3
52	в первом	4	3
53	в этой	5	3
54	из двух	5	3
55	он в	1	3
56	и все	5	3
57	на две	1	3
58	мы называем	1	3
59	в себе	22	3
60	следующим образом	1	3
61	не подлежит	2	3
62	что она	1	3
63	одна из	1	3
64	все же	8	3
65	при таком	1	3
66	в области	3	3
67	отличается от	3	3
68	между собой	2	3
69	отнюдь не	11	3
70	в нем	16	3
71	но в	15	3
72	еще не	20	3
73	с этим	3	2
74	что в	8	2
75	этих двух	1	2
76	тем не	1	2
77	в самом	4	2
78	значение в	1	2
79	и что	2	2
80	и пространства	2	2
81	отличие от	13	2
82	такие же	1	2
83	которой он	1	2
84	то и	1	2
85	с одной	12	2
86	принципиально не	2	2
87	в отличие	13	2
88	такого рода	11	2
89	в свою	3	2
90	из этих	3	2
91	в его	9	2
92	во всяком	3	2
93	не дает	1	2
94	можно назвать	2	2
95	с совершенно	1	2
96	что это	1	2
97	или же	1	2
98	быть и	2	2
99	в некоторых	1	2
100	по мнению	1	2
101	из которых	1	2
102	что такое	1	2
103	если же	1	2
104	говорить о	3	2
105	на его	4	2
106	в науке	2	2
107	в третьем	1	2
