N	3gram	Losev_Vlad	VrazhdaK
1	и все же	2	5
2	в вестнике европы	3	4
3	то же время	7	4
4	в то же	7	4
5	в связи с	7	3
6	в январе года	1	3
7	в том что	13	2
8	в этот момент	1	2
9	не может быть	4	2
10	в мае года	1	2
11	в письме к	12	2
12	но в то	2	2
13	в году и	2	2
14	в ноябре года	2	2
15	в эти годы	7	2
16	он не только	2	2
17	как раз в	1	2
18	и что в	1	2
19	в те годы	3	2
20	вестнике европы №	1	2
21	и о том	1	2
22	в году в	3	2
23	только при помощи	1	1
24	что он сам	1	1
25	в полной уверенности	1	1
26	не было бы	1	1
27	он был очень	1	1
28	в россию его	1	1
29	но в этот	1	1
30	в котором он	1	1
31	в ответ на	2	1
32	в петербурге и	2	1
33	никто из них	1	1
34	он писал я	1	1
35	в этот период	1	1
36	а также в	1	1
37	вышла в году	2	1
38	в бесах мы	1	1
39	в свою очередь	2	1
40	же время и	1	1
41	в то время	6	1
42	года он пишет	1	1
43	в конце концов	6	1
44	одно и то	1	1
45	и в котором	1	1
46	о нем в	1	1
47	уже марта года	1	1
48	равно как и	1	1
49	в письмах и	1	1
50	в конце жизни	1	1
51	в той же	1	1
52	точно так же	2	1
53	что уже в	1	1
54	но это не	2	1
55	и во многом	1	1
56	на то что	6	1
57	полной уверенности что	1	1
58	и в то	3	1
59	к себе на	1	1
60	то он оказался	1	1
61	по крайней мере	1	1
62	письме к в	1	1
63	и никогда не	1	1
64	вот в чем	1	1
65	же время с	1	1
66	в этом смысле	4	1
67	того же года	8	1
68	заключается в том	1	1
69	а с другой	1	1
70	в июле года	2	1
71	что в нем	1	1
72	и то что	7	1
73	не только не	1	1
74	лет от роду	1	1
75	о том что	9	1
76	и это было	1	1
77	первое заграничное путешествие	1	1
78	в высшей степени	1	1
79	что как раз	1	1
80	эти годы он	2	1
81	его отношение к	1	1
82	в году когда	1	1
83	в это время	5	1
84	на этот раз	7	1
85	в том же	3	1
86	том же письме	1	1
87	во всяком случае	8	1
88	и и с	1	1
89	а следовательно и	1	1
90	тем не менее	8	1
91	все равно не	1	1
92	то что я	1	1
93	н к михайловского	2	1
94	никогда не переставал	1	1
95	к нему с	1	1
96	на первый план	4	1
97	с другой стороны	3	1
98	года и в	1	1
99	и стал на	1	1
100	влюбился в него	1	1
101	у него в	2	1
102	года в париже	1	1
103	же письме к	1	1
104	м м стасюлевичу	4	1
105	что у него	2	1
106	это и есть	1	1
107	и в ней	1	1
108	тем более что	2	1
109	что для нас	1	1
110	не только как	1	1
111	и то же	1	1
112	между прочим и	2	1
113	да и в	1	1
114	в этом отношении	2	1
115	и не может	1	1
116	в марте года	2	1
117	и в этом	1	1
118	через год в	1	1
119	что никто из	1	1
120	ответ на это	2	1
121	может быть и	1	1
122	в сентябре года	1	1
