N	3gram	Losev_Prob	Russkaja
1	в то же	4	10
2	с точки зрения	3	9
3	в том что	7	7
4	на самом деле	6	6
5	во всяком случае	11	6
6	для того чтобы	9	6
7	а между тем	1	5
8	до сих пор	6	5
9	в том случае	2	4
10	не может быть	5	4
11	на то что	12	4
12	к тому чтобы	1	4
13	более или менее	7	4
14	бы то ни	2	4
15	во что бы	2	3
16	что бы то	2	3
17	той или иной	5	3
18	в конце концов	11	3
19	вместе с тем	2	3
20	можно было бы	4	3
21	в данном случае	10	3
22	в этом случае	6	3
23	и то что	9	3
24	самого себя и	1	3
25	не может не	1	3
26	том случае если	1	3
27	и не может	1	3
28	то ни стало	2	3
29	в том и	1	2
30	и в том	1	2
31	ни одна из	2	2
32	того или иного	6	2
33	в значительной мере	2	2
34	том и в	1	2
35	точно так же	7	2
36	и тем самым	4	2
37	в противоречие с	1	2
38	чтобы понять что	1	2
39	и в другом	1	2
40	по самому своему	2	2
41	о том что	16	2
42	только в том	4	2
43	не могут не	1	2
44	сама по себе	6	2
45	однако отнюдь не	1	2
46	к тому что	1	2
47	а следовательно и	1	2
48	в другом случае	2	2
49	друг от друга	1	2
50	в настоящее время	17	2
51	мы говорили в	1	2
52	том случае когда	1	1
53	со стороны их	1	1
54	указывает на ее	1	1
55	должны были бы	2	1
56	тем что они	1	1
57	само собой разумеется	1	1
58	необходимо иметь в	1	1
59	та или другая	1	1
60	хотя в то	1	1
61	в самом деле	4	1
62	те или другие	2	1
63	говорить не о	1	1
64	указывает на то	3	1
65	и как бы	2	1
66	и в частности	3	1
67	чтобы она стала	1	1
68	что оно есть	1	1
69	и с точки	1	1
70	может и должно	1	1
71	от того чтобы	1	1
72	дело в том	3	1
73	в себе всегда	1	1
74	сказать только то	1	1
75	отнюдь не всякий	1	1
76	о котором мы	1	1
77	является не только	1	1
78	не существуют в	2	1
79	но в то	1	1
80	всех этих случаях	1	1
81	но и этот	1	1
82	и в своем	1	1
83	котором мы говорили	1	1
84	что же это	1	1
85	и должно быть	1	1
86	мы не знаем	1	1
87	но для этого	1	1
88	самое большее что	1	1
89	том числе и	2	1
90	внутренней и внешней	1	1
91	то естественно что	1	1
92	до известной степени	1	1
93	так же как	2	1
94	и только в	2	1
95	но можно ли	2	1
96	тех или иных	2	1
97	между собой и	2	1
98	только один из	1	1
99	есть то что	1	1
100	собой и не	2	1
101	от того что	1	1
102	во всех этих	2	1
103	даже и в	3	1
104	в том чтобы	1	1
105	не только от	1	1
106	отражением того или	1	1
107	по крайней мере	8	1
108	и если эта	1	1
109	и на то	1	1
110	но не о	1	1
111	заключается в том	2	1
112	а в том	1	1
113	и в других	3	1
114	несмотря на то	1	1
115	с самого начала	2	1
116	близких друг к	1	1
117	что на этой	1	1
118	так как это	1	1
119	и что в	2	1
120	всяком случае не	1	1
121	о которых мы	2	1
122	также и то	4	1
123	можно было говорить	2	1
124	идет речь не	1	1
125	и того же	2	1
126	сих пор мы	3	1
127	то в этой	1	1
128	то что для	1	1
129	не есть только	5	1
130	на первый взгляд	2	1
131	что не только	1	1
132	тем что он	2	1
133	он не может	1	1
134	в связи с	7	1
135	то же самое	9	1
136	случае не будет	1	1
137	есть по существу	1	1
138	мы говорили выше	2	1
139	жизни и тем	1	1
140	в том же	1	1
141	между собой все	1	1
142	при ближайшем рассмотрении	1	1
143	в том числе	2	1
144	что все это	1	1
145	тем не менее	25	1
146	в результате этого	1	1
147	но как бы	1	1
148	но все же	1	1
149	того и другого	1	1
150	только то что	6	1
151	что в последние	1	1
152	всегда помнить что	1	1
153	решения вопроса о	1	1
154	речь не будет	1	1
155	говорить о том	1	1
156	которых мы говорили	1	1
157	от нас и	1	1
158	в этом отношении	2	1
159	было говорить о	3	1
160	перед нами не	1	1
161	вопрос о том	2	1
162	потому что и	1	1
163	то есть не	1	1
164	и для чего	1	1
165	и не только	1	1
166	только в этом	2	1
167	не просто в	1	1
168	к которой они	1	1
169	так же и	4	1
170	в его целом	1	1
171	он всегда будет	1	1
172	отказаться от того	1	1
173	но даже и	1	1
174	только в виде	1	1
175	то и другое	3	1
176	тот или иной	3	1
177	можно сказать только	2	1
178	или хотя бы	2	1
179	к тому же	1	1
180	которую можно назвать	1	1
181	этой цели мы	1	1
182	сводится к тому	1	1
183	одного и того	2	1
184	потому что они	1	1
185	и в этом	5	1
186	друг к другу	2	1
