N	4gram	Bakhtin_Fr	Analitik
1	в то же время	12	14
2	не что иное как	1	6
3	одного и того же	1	6
4	в той или иной	1	5
5	есть не что иное	1	5
6	в том или ином	2	4
7	дело в том что	2	3
8	то же время в	1	2
9	заключается в том что	1	2
10	но в то же	3	2
11	то же время они	1	2
12	мы имеем в виду	2	1
13	нашли свое отражение в	1	1
14	в течение двадцати лет	1	1
15	как бы в точке	1	1
16	в большей или меньшей	1	1
17	большей или меньшей степени	1	1
18	мы уже говорили о	2	1
19	на самом же деле	1	1
20	бы оно ни было	2	1
21	в том числе и	2	1
22	что в конце концов	1	1
23	был в значительной степени	1	1
24	одним и тем же	1	1
25	с одной стороны с	1	1
26	мы видим что в	1	1
27	той или иной мере	1	1
