N	3gram	Savitsky_P	Narrotol
1	в том что	4	18
2	не только в	4	13
3	в отличие от	1	11
4	не может быть	1	8
5	то же время	7	8
6	в то же	7	8
7	и тем самым	1	6
8	в известном смысле	1	6
9	с одной стороны	3	6
10	для того чтобы	1	5
11	но и в	2	5
12	начала и конца	1	4
13	во всяком случае	1	4
14	заключает в себе	2	3
15	и не может	1	3
16	с точки зрения	3	3
17	и то что	1	3
18	и в то	2	2
19	не в том	1	2
20	более или менее	1	2
21	в частности в	1	2
22	сами по себе	3	2
23	в отрыве от	1	2
24	так же как	1	2
25	как она есть	1	1
26	одной стороны и	2	1
27	в большинстве случаев	1	1
28	в этом смысле	1	1
29	по сравнению с	1	1
30	в том числе	2	1
31	было в прошлом	1	1
32	в ней не	2	1
33	в определенный момент	1	1
34	друг с другом	1	1
35	он живет в	1	1
36	только в ее	1	1
37	само по себе	1	1
38	в полной мере	2	1
39	том что в	1	1
40	и вот как	1	1
41	но в этом	1	1
42	что с точки	1	1
43	и не столько	1	1
44	не связаны с	1	1
45	том числе и	1	1
46	с другой стороны	1	1
47	да и не	1	1
48	или хотя бы	1	1
49	и т д	1	1
50	же в этой	1	1
51	не может идти	1	1
52	именно в рамках	1	1
53	в xix в	1	1
54	и быть может	1	1
55	и тем более	1	1
56	тем более что	1	1
57	и не только	2	1
58	тех кто не	1	1
59	что происходит и	1	1
60	в том виде	1	1
