N	2gram	Vygotskiy_	Otkroven
1	у него	2	22
2	и в	37	19
3	и не	15	13
4	но и	23	13
5	в этом	32	12
6	а не	5	11
7	не только	29	11
8	не в	9	11
9	может быть	19	11
10	вопрос о	11	10
11	человека и	6	10
12	и все	7	10
13	в нем	2	10
14	к человеку	1	9
15	потому что	11	9
16	прежде всего	12	9
17	не было	1	9
18	в самой	4	9
19	никогда не	8	9
20	и он	1	8
21	от него	1	7
22	ни с	1	7
23	в его	16	7
24	он всегда	1	7
25	он не	11	7
26	лишь в	9	7
27	до конца	1	7
28	все это	9	6
29	как и	20	6
30	в самом	16	5
31	в том	47	5
32	для него	5	5
33	него в	1	5
34	в этой	13	5
35	а в	4	5
36	до самого	1	5
37	о его	1	5
38	то что	32	5
39	что в	25	4
40	и мысли	2	4
41	только и	1	4
42	того чтобы	23	4
43	не может	16	4
44	что не	2	4
45	в самую	1	4
46	человек и	1	4
47	все эти	6	4
48	и его	10	4
49	он сам	3	4
50	его мысли	5	4
51	с его	7	4
52	и от	4	3
53	все что	4	3
54	что человек	1	3
55	и вот	3	3
56	хотя бы	7	3
57	это не	5	3
58	для того	19	3
59	с ним	3	3
60	мысли и	7	3
61	когда он	5	3
62	быть может	1	3
63	в этих	3	3
64	не могут	1	3
65	природы но	1	3
66	в своих	6	3
67	о природе	5	3
68	как бы	16	3
69	было бы	12	3
70	могут быть	5	3
71	в себе	8	3
72	и есть	2	3
73	во имя	1	3
74	что он	16	3
75	это было	1	3
76	и ее	9	3
77	кроме человека	1	3
78	о том	14	3
79	того что	28	3
80	к нему	1	3
81	еще не	1	3
82	всего в	3	2
83	человека к	4	2
84	и к	9	2
85	как к	1	2
86	природы в	1	2
87	и потому	3	2
88	так и	12	2
89	что они	5	2
90	и то	3	2
91	но никогда	1	2
92	все же	6	2
93	что у	3	2
94	не могли	2	2
95	так как	11	2
96	при чтении	1	2
97	должно быть	4	2
98	к этой	4	2
99	к ней	1	2
100	его не	3	2
101	уже в	8	2
102	в другом	7	2
103	личности и	1	2
104	ничего кроме	3	2
105	так что	2	2
106	в своем	10	2
107	с тем	8	2
108	и из	2	2
109	этом он	1	2
110	с которой	2	2
111	в которой	6	2
112	ее в	3	2
113	о которой	2	2
114	одно из	3	2
115	что и	3	2
116	которую он	1	2
117	потребность в	5	2
118	от самого	1	2
119	у кого	1	2
120	в истории	7	2
121	должен был	1	2
122	чем в	1	2
123	ведь это	1	2
124	ко всем	3	2
125	вместо того	3	2
126	не очень	1	2
127	и с	10	2
128	что же	3	2
129	и там	1	2
