N	3gram	Vinokur_Vv	Problemy
1	то же время	6	26
2	в то же	6	26
3	с точки зрения	4	25
4	по отношению к	4	18
5	и т п	5	18
6	в этом смысле	10	16
7	на самом деле	1	15
8	не может быть	10	14
9	но в то	3	11
10	в конце концов	2	11
11	до сих пор	7	10
12	в самом деле	6	9
13	с другой стороны	5	9
14	с самого начала	1	9
15	во всяком случае	5	9
16	в том что	15	8
17	сама по себе	3	7
18	бы то ни	1	7
19	и т д	39	7
20	и в этом	4	7
21	себе самому и	1	6
22	в отличие от	4	6
23	то ни было	1	6
24	том что он	1	6
25	в той или	1	5
26	хотя бы и	2	5
27	сам по себе	2	5
28	в зависимости от	3	5
29	той или иной	3	5
30	по крайней мере	4	5
31	но все же	4	5
32	подобно тому как	2	5
33	можно было бы	4	5
34	и не в	1	4
35	его отношение к	1	4
36	тем не менее	9	4
37	именно потому что	1	4
38	а между тем	2	4
39	более или менее	1	4
40	само по себе	4	4
41	смысле этого слова	2	4
42	и прежде всего	1	4
43	как если бы	1	4
44	что может быть	3	4
45	о том что	13	4
46	в этом отношении	4	4
47	что в нем	2	4
48	может быть и	2	4
49	и в целом	1	3
50	все то что	1	3
51	никак не может	1	3
52	можно сказать что	3	3
53	к своему предмету	1	3
54	потому что она	1	3
55	и то же	2	3
56	как мы уже	2	3
57	в настоящее время	1	3
58	в данном случае	4	3
59	большей или меньшей	3	3
60	как мы знаем	1	3
61	не только слово	1	3
62	и в самом	3	3
63	на этот вопрос	5	3
64	в большей или	1	3
65	как мы видели	3	3
66	одно и то	2	3
67	или меньшей степени	1	3
68	на тему о	1	3
69	в этом случае	6	3
70	т е в	4	3
71	в каждом своем	1	2
72	так чтобы в	1	2
73	как будто бы	2	2
74	во второй части	1	2
75	или иной степени	1	2
76	которые были бы	1	2
77	т е все	1	2
78	в том же	1	2
79	для того чтобы	22	2
80	в свою очередь	2	2
81	дело в том	3	2
82	у него в	1	2
83	имеют первостепенное значение	1	2
84	так как не	1	2
85	т е не	2	2
86	которая как мы	1	2
87	вместе с тем	3	2
