N	2gram	Bakhtin_fo	VerxiiNi
1	и в	84	26
2	таким образом	14	22
3	с тем	5	18
4	в этом	41	15
5	вместе с	9	15
6	точки зрения	14	13
7	как бы	11	12
8	в том	16	11
9	не только	16	10
10	и с	10	10
11	может быть	18	10
12	из этих	5	10
13	после смерти	1	10
14	что в	9	9
15	так как	12	9
16	связи с	14	9
17	но и	14	9
18	в области	1	9
19	в общем	1	8
20	и у	8	8
21	и не	19	8
22	как на	2	8
23	главным образом	1	8
24	с другой	4	8
25	но не	9	8
26	с одной	5	7
27	но все	6	7
28	в эпоху	5	7
29	связанные с	5	7
30	том что	7	7
31	потому что	11	7
32	одной стороны	3	7
33	то что	13	7
34	но в	16	7
35	из них	8	7
36	так и	17	6
37	в конце	11	6
38	несмотря на	1	6
39	все это	10	6
40	что и	5	6
41	в отношении	5	6
42	представление о	1	6
43	все эти	12	6
44	все же	12	6
45	к тому	6	6
46	о том	4	6
47	во всяком	5	6
48	и потому	4	6
49	всяком случае	1	6
50	мы должны	2	6
51	и т.д	2	6
52	с точки	9	6
53	в себе	7	6
54	того же	9	6
55	и к	4	5
56	до сих	4	5
57	том числе	7	5
58	в его	19	5
59	к жизни	2	5
60	тому же	2	5
61	в мире	4	5
62	не имеет	5	5
63	с другом	5	5
64	сих пор	4	5
65	того чтобы	11	5
66	для того	12	5
67	так же	7	5
68	лишь в	8	5
69	отношение к	5	5
70	одной из	3	5
71	образом в	1	5
72	богов и	2	5
73	друг с	5	5
74	а не	7	5
75	и для	12	5
76	никогда не	8	5
77	в самом	9	4
78	попадает в	2	4
79	что оно	1	4
80	ничем не	1	4
81	то есть	42	4
82	и по	5	4
83	то же	18	4
84	из которых	1	4
85	только в	12	4
86	в этих	6	4
87	с другими	3	4
88	целый ряд	2	4
89	учение о	1	4
90	что он	2	4
91	и вместе	1	4
92	в которых	4	4
93	в смысле	5	4
94	в котором	8	4
95	в течение	2	4
96	и тогда	1	4
97	он не	6	4
98	и что	1	4
99	далеко не	3	4
100	а в	6	4
101	в этой	3	4
102	числе и	4	4
103	бога и	2	4
104	и от	3	4
105	не может	8	4
106	что все	4	4
107	на этот	1	4
108	в виде	1	4
109	в то	13	4
110	и только	3	4
111	в нем	28	4
112	во время	7	4
113	в так	1	4
114	уже с	1	3
115	и другие	6	3
116	с этой	3	3
117	и при	1	3
118	при этом	8	3
119	для него	5	3
120	из всех	1	3
121	что это	1	3
122	богослужения и	1	3
123	в качестве	6	3
124	в результате	6	3
125	и даже	5	3
126	если бы	6	3
127	в которой	3	3
128	в народных	1	3
129	с ней	1	3
130	с самого	3	3
131	в таком	4	3
132	в связи	13	3
133	ясно что	2	3
134	и как	12	3
135	как о	1	3
136	же как	2	3
137	но по	2	3
138	если в	1	3
139	к концу	3	3
140	путь к	1	3
141	в других	9	3
142	а так	1	3
143	и нет	2	3
144	можно сказать	2	3
145	друг за	2	3
146	каждая из	1	3
147	хотя бы	2	3
148	в значительной	3	3
149	так что	4	3
150	так называемые	1	3
151	у них	4	3
152	когда он	1	3
153	всякое бытие	1	3
154	в одном	10	3
155	оказывается что	2	3
156	и те	4	3
157	не вполне	1	3
158	к ним	3	3
159	и о	1	3
160	культуры и	1	3
161	отношению к	5	3
162	в своем	8	3
163	уже не	5	3
164	в народном	1	3
165	к этому	5	3
166	конце концов	1	3
167	того что	5	3
168	литературы мы	1	2
169	связан с	2	2
170	такое положение	1	2
171	все что	2	2
172	для всех	3	2
173	один из	5	2
174	с богослужением	1	2
175	и здесь	2	2
176	ему в	3	2
177	и на	13	2
178	связанных с	3	2
179	иной характер	2	2
180	на небе	1	2
181	благодаря этому	1	2
182	эпоху когда	1	2
183	и люди	1	2
184	уже в	5	2
185	тогда когда	2	2
186	мы имеем	2	2
