N	2gram	Tiupa_Hudo	KFilosof
1	может быть	19	45
2	в его	11	42
3	в нем	6	32
4	не может	9	29
5	и не	16	28
6	и в	23	28
7	в бытии	1	26
8	по отношению	10	26
9	в котором	1	24
10	не есть	1	22
11	для меня	2	22
12	отношению к	10	22
13	в себе	13	21
14	только в	7	18
15	и его	12	18
16	в своем	4	17
17	в ее	6	17
18	а не	13	17
19	в этом	12	15
20	для него	5	13
21	не в	9	13
22	точки зрения	11	13
23	к нему	3	12
24	ни в	5	12
25	но не	13	12
26	и это	2	12
27	в своей	7	11
28	все эти	2	11
29	во всех	3	11
30	все это	2	10
31	это не	4	10
32	с точки	3	10
33	и есть	1	10
34	бытия и	1	10
35	от себя	3	10
36	и для	3	10
37	в целом	3	10
38	в их	5	9
39	но и	14	9
40	как бы	11	9
41	в единстве	1	8
42	не было	1	8
43	если бы	3	8
44	в мире	24	8
45	со стороны	5	8
46	было бы	1	8
47	лишь в	7	8
48	в себя	4	8
49	жизни и	1	8
50	себя в	8	8
51	и здесь	1	7
52	со мной	1	7
53	что и	2	7
54	должен быть	2	7
55	вовсе не	2	7
56	уже не	6	7
57	то что	5	7
58	на основе	2	7
59	для себя	4	7
60	момент в	1	7
61	отнюдь не	2	7
62	мир как	1	6
63	должно быть	1	6
64	поступок в	1	6
65	я не	2	6
66	не имеет	1	6
67	и я	1	6
68	в том	20	6
69	и действительно	1	6
70	отношение к	7	6
71	место в	5	6
72	он не	4	6
73	мира в	2	6
74	проникает в	1	5
75	от его	1	5
76	в событии	1	5
77	то же	12	5
78	мы имеем	6	5
79	не только	20	5
80	эстетического созерцания	3	5
81	с ним	2	5
82	но как	2	5
83	его в	4	5
84	не знает	4	5
85	в основе	7	5
86	но в	10	5
87	именно в	2	5
88	бы быть	1	5
89	как и	3	5
90	все же	1	5
91	жизни в	2	5
92	себя и	3	5
93	еще не	4	5
94	время и	1	5
95	в одном	3	5
96	ни одно	2	5
97	от своей	1	5
98	а в	13	5
99	я и	7	5
100	его как	1	5
101	жизни как	4	5
102	в контексте	3	5
103	никогда не	2	5
104	что в	7	4
105	при этом	19	4
106	ни было	2	4
107	что это	1	4
108	не как	2	4
109	для нас	1	4
110	прежде всего	5	4
111	в своих	1	4
112	места в	1	4
113	нет в	1	4
114	с ними	2	4
115	мира и	2	4
116	том что	9	4
117	в чем	2	4
118	в каком	2	4
119	это мир	1	4
120	ценностного центра	3	4
121	и жизни	1	4
122	входит в	4	4
123	во всей	3	4
124	могла бы	2	4
125	не по	1	4
126	между тем	4	4
127	здесь мы	1	4
128	времени и	2	4
129	тем самым	5	4
130	и т.д	4	4
131	к ним	1	4
132	себя а	1	4
133	жизни но	2	3
134	от него	1	3
135	и может	2	3
136	и на	3	3
137	на язык	1	3
138	этого мира	1	3
139	и пр	1	3
140	всем его	1	3
141	действительной жизни	1	3
142	того что	5	3
143	сознания и	1	3
144	в виду	5	3
145	и делает	1	3
146	самом деле	2	3
147	тем что	1	3
148	но для	1	3
149	в акте	3	3
150	меня в	1	3
151	стороны в	1	3
152	не дает	1	3
153	рядом с	1	3
154	не менее	5	3
155	по своему	3	3
156	бы не	2	3
157	здесь не	2	3
158	его жизни	1	3
159	поскольку он	1	3
160	себе и	1	3
161	в момент	3	3
162	своей значимости	1	3
163	и другого	1	3
164	той или	5	3
165	в каждом	1	3
166	себя не	1	3
167	это и	2	3
168	того или	4	3
169	бы и	1	3
170	данный момент	2	3
171	что не	1	3
172	с моей	1	3
173	в свою	3	3
174	лежат в	1	3
175	не должно	1	3
176	во мне	2	3
177	в другом	4	3
178	для того	5	3
179	быть и	2	3
180	вступает в	2	3
181	к чему	1	3
182	этом смысле	3	3
183	человека и	2	3
184	с человеком	2	3
185	из его	1	3
186	не быть	1	3
187	могут быть	5	3
188	до конца	1	3
189	нигде не	1	3
190	о том	2	3
191	тем как	1	3
192	в данный	2	3
193	в то	8	3
194	для которого	2	3
195	события в	2	3
196	или иного	4	3
197	и совершенно	1	3
198	тот же	1	3
199	и тем	4	3
200	котором он	1	3
201	или иным	4	2
202	бы то	2	2
203	как к	5	2
204	которой я	1	2
205	ответственность за	1	2
206	один из	2	2
207	вступить в	1	2
208	я уже	1	2
209	и конечно	1	2
210	мышления и	2	2
211	может не	1	2
212	чего не	1	2
213	в единое	3	2
214	и того	3	2
215	других для	1	2
216	эстетическая деятельность	5	2
217	ценностный центр	1	2
218	случае мы	1	2
219	оценки и	1	2
220	дело с	1	2
221	переживание переживания	1	2
222	тому что	2	2
223	есть его	1	2
224	тем не	3	2
225	так и	12	2
226	жить и	2	2
227	из которых	2	2
228	в принципе	8	2
229	и то	4	2
230	в качестве	31	2
231	смыслу и	1	2
232	сводится к	11	2
233	и само	1	2
234	акта в	1	2
235	смысла в	1	2
236	по себе	2	2
237	со всеми	1	2
238	оно не	2	2
239	если не	1	2
240	говорим о	1	2
241	из нее	1	2
242	всех его	1	2
243	в сознании	1	2
244	мы говорим	1	2
245	дело в	1	2
246	вокруг него	1	2
247	в мир	1	2
248	в составе	1	2
249	дело здесь	1	2
250	не следует	4	2
251	в жизни	3	2
252	не остается	1	2
253	и эстетический	1	2
254	и как	4	2
