N	2gram	Losev_Prob	VeschiIm
1	т е	2	81
2	не есть	49	79
3	и не	63	57
4	вещи есть	32	55
5	не только	37	48
6	то что	72	48
7	не может	18	46
8	и в	64	45
9	вещи и	13	40
10	и есть	7	40
11	и т	13	39
12	может быть	29	39
13	т д	12	38
14	а не	21	37
15	значит что	6	32
16	это значит	4	30
17	что я	1	26
18	общения с	1	25
19	потому что	24	25
20	не просто	30	24
21	было бы	16	24
22	только в	19	23
23	по себе	20	23
24	что она	8	23
25	в себе	16	23
26	с вещью	1	22
27	сказать что	33	22
28	в смысле	2	22
29	и что	21	22
30	как бы	18	20
31	что такое	23	20
32	и следовательно	6	20
33	что это	4	19
34	что же	18	19
35	с нею	2	19
36	но и	23	19
37	и ее	9	19
38	в этом	30	18
39	вещь и	3	18
40	все же	7	18
41	есть только	16	18
42	так как	16	17
43	что мы	23	17
44	прежде всего	17	17
45	и это	13	17
46	есть не	10	17
47	таким образом	9	16
48	вещи но	3	16
49	оно есть	1	16
50	самой вещи	2	16
51	того что	18	16
52	как раз	20	16
53	от всего	4	15
54	как и	7	15
55	уже не	9	15
56	в том	19	15
57	вещи с	1	15
58	в ней	1	15
59	но это	11	14
60	и то	15	14
61	вещь есть	1	14
62	не в	6	14
63	в самом	10	13
64	не будет	11	13
65	том что	26	13
66	и больше	2	13
67	есть и	4	13
68	и для	10	13
69	и явление	3	13
70	то ни	3	13
71	что в	21	12
72	и с	12	12
73	вещи как	4	12
74	бы то	2	12
75	то же	10	12
76	и даже	19	12
77	есть нечто	13	12
78	есть то	5	12
79	о том	25	12
80	еще не	18	12
81	есть ни	8	12
82	не что	5	12
83	если мы	16	12
84	точки зрения	5	12
85	но если	6	12
86	она есть	5	12
87	ничего не	20	12
88	что они	5	12
89	что иное	5	12
90	ни было	1	12
91	не значит	4	12
92	совершенно не	7	12
93	что и	2	12
94	смысл вещи	3	12
95	между собою	9	12
96	и как	10	12
97	смысл и	3	12
98	вещей и	1	12
99	если она	1	12
100	иное как	5	12
101	и их	4	11
102	содержит в	7	11
103	не менее	26	11
104	себя в	1	11
105	д и	4	11
106	и пр	4	11
107	еще и	9	11
108	тем не	25	11
109	ни в	13	11
110	что не	8	11
111	вовсе не	60	11
112	предполагает что	4	11
113	также и	22	11
114	в то	7	11
115	и только	7	11
116	вещи не	5	11
117	вещи в	4	10
118	по крайней	8	10
119	учение об	1	10
120	в чем	3	10
121	крайней мере	8	10
122	что оно	4	10
123	сама вещь	1	10
124	ясно что	7	10
125	с ее	1	10
126	есть ли	2	10
127	я и	2	9
128	с ним	4	9
129	в результате	6	9
130	со стороны	2	9
131	бы и	5	9
132	то и	7	9
133	хотя бы	15	9
134	нисколько не	3	9
135	как вещь	1	9
136	говорить о	14	9
137	в своем	7	9
138	общается с	1	9
139	ни с	1	9
