N	3gram	Tiupa_Hudo	Mirosoze
1	не может быть	4	28
2	в том что	8	9
3	но он не	2	9
4	это и есть	1	9
5	для того чтобы	5	7
6	и в этой	1	6
7	о том что	1	6
8	в отношении к	2	5
9	на этом пути	1	5
10	прежде всего в	1	5
11	может быть и	2	5
12	что он не	1	4
13	по отношению к	10	4
14	заключает в себе	1	4
15	он обращен к	1	4
16	добро и зло	1	4
17	и в самом	3	4
18	в то время	1	4
19	не что иное	1	4
20	что иное как	1	4
21	для него не	1	3
22	как бы не	2	3
23	может быть назван	1	3
24	том что он	2	3
25	есть не что	1	3
26	к тому что	2	3
27	а не только	1	3
28	так же как	1	3
29	в значительной степени	2	3
30	как и в	1	3
31	может быть постигнут	1	2
32	в е годы	1	2
33	именно потому что	1	2
34	и для него	1	2
35	никогда не бывает	1	2
36	не для себя	1	2
37	для себя а	1	2
38	он не только	1	2
39	так и не	4	2
40	себя а для	1	2
41	в себе и	1	2
42	ивана карамазова в	1	2
43	с самим собою	1	2
44	в каждом человеке	1	2
45	подобно тому как	3	2
46	не могут быть	1	2
47	по своей природе	2	2
48	как бы в	1	2
49	точки зрения у	1	1
50	в самом начале	1	1
51	мере в какой	1	1
52	сойти с ума	1	1
53	преступлении и наказании	1	1
54	но во всех	2	1
55	с ним как	1	1
56	в той мере	1	1
57	только о том	1	1
58	он мог бы	1	1
59	к нему как	1	1
60	он ни был	1	1
61	в xix веке	1	1
62	жизни не в	1	1
63	в самом деле	2	1
64	для себя и	1	1
65	который может быть	1	1
66	в этом втором	1	1
67	не несет в	1	1
68	во втором случае	1	1
69	не знает личности	1	1
70	каждый человек в	1	1
71	в том случае	1	1
72	в себе самом	1	1
73	а также в	1	1
74	не сама по	1	1
75	и состоит чтобы	1	1
76	свободного выбора в	1	1
77	речь идет о	1	1
78	ибо и в	1	1
79	в зависимости от	1	1
80	того что составляет	1	1
81	в этом мире	2	1
82	и тем самым	1	1
83	по ту сторону	1	1
84	в отличие от	7	1
85	точки зрения в	1	1
86	той мере в	1	1
87	и по отношению	1	1
88	что в основе	2	1
89	но не в	1	1
90	в себе в	1	1
91	на наших глазах	2	1
92	если бы для	1	1
93	с другой стороны	6	1
94	на земле ты	1	1
95	и в том	1	1
96	со своей стороны	1	1
97	могли бы быть	1	1
98	это ведет к	1	1
99	и глубже чем	1	1
100	в чистом виде	1	1
101	и не быть	1	1
102	в другом и	1	1
103	он не принадлежит	1	1
104	не все человеческие	1	1
105	лишь для того	1	1
106	той или иной	5	1
107	и как бы	1	1
108	не могли быть	1	1
109	мы видим в	1	1
110	с точки зрения	3	1
111	к новой жизни	1	1
112	в иной в	1	1
113	имеем в виду	3	1
114	в иных случаях	1	1
115	в то же	7	1
116	отношению к нему	1	1
117	у достоевского в	1	1
118	в своем сознании	1	1
119	то же время	7	1
120	знает личности как	1	1
121	у нее нет	1	1
122	я уже не	1	1
123	но в действительности	1	1
124	от всех и	1	1
125	мы имеем в	3	1
126	несет в себе	3	1
127	если он не	1	1
128	с самим собой	1	1
129	жизни а не	1	1
130	том случае если	1	1
131	та или иная	1	1
132	в преступлении и	1	1
133	с одной стороны	3	1
134	в узком и	1	1
135	сама по себе	2	1
136	может быть названо	2	1
137	это было бы	1	1
138	в своей собственной	1	1
